record_no,line_no,text
2021-0089,7,"the study suggests the full implementation of the cashless policy, proper education of the populace and guidelines to check electronic fraud"
2021-0090,0,this paper conducted a comprehensive analysis based on bibliometrics and science mapping analysis
2021-0090,1,"first, 848 publications were obtained from web of science"
2021-0090,2,"their fundamental characteristics were analyzed, including the types, annual publications, hot research directions, and foci (by theme analysis, co-occurrence analysis, and timeline analysis of author keywords)"
2021-0090,3,"next, the prolific objects (at the level of countries/regions, institutions, journals, and authors) and corresponding pivotal cooperative relationship networks were used to highlight who pays attention to fintech"
2021-0090,4,"furthermore, the citation structures of authors and journals were investigated, including citation and co-citation"
2021-0090,5,"additionally, this paper presents the burst detection analysis of cited authors, journals, and references"
2021-0090,6,"finally, combining the analysis results with the current financial environment, the challenges and future development opportunities are discussed further"
2021-0090,7,"accordingly, a comprehensive study of the fintech documents not only reviews the current research characteristics and trajectories but also helps scholars find the appropriate research entry point and conduct in-depth research"
2021-0091,0,"organizations, such as the world health organization, encouraged consumers to use contactless payment methods instead of payment methods such as cash, which can be carriers of the sars-2 virus"
2021-0091,1,this study aims to evaluate factors that influence hungarian generation x's behavioral intentions to use mobile payment services during the pandemic
2021-0091,2,we conducted an electronic questionnaire-based survey among 1120 generation x individuals
2021-0091,3,"using structural equation modeling to analyze the study's conceptual model, our results confirm that perceived covid-19 risk, perceived usefulness, and subjective norms significantly influence hungarian generation x's behavioral intentions to use mobile payment services"
2021-0091,4,"moreover, perceived usefulness mediates the relationship between perceived ease of use and behavioral intention to use mobile payment systems"
2021-0091,5,"overall, our results show that the model of perceived covid-19 risk, perceived usefulness, subjective norms, and perceived ease of use explains 62.9% of the variance in intention to use mobile payment systems"
2021-0091,6,our study contributes to the technology acceptance model and highlights its effectiveness in explaining the behavioral intention to adopt mobile payments during the covid-19 pandemic
2021-0086,0,"fintech, the merging of finance and modern internet-based technology, has rapidly presented itself as a disruptor to traditional business financing, notably in the form of crowdfunding and peer-to-peer lending"
2021-0086,1,"in this article, we examine the determinants of the use of fintech finance by businesses, with a particular focus on the ownership, governance, and business practices that may modify the relationships with conventional motivations for external finance"
2021-0086,2,"using a comprehensive sample of chinese hi-tech small and medium-sized enterprises (smes), we find that state-owned enterprises (soes) and family firms and financially constrained firms are respectively much less and much more likely to seek fintech finance"
2021-0086,3,"in the chinese context, we argue that part of this may be because of the relative ease with which soe smes can access cheaper conventional finance through soe banks"
2021-0086,4,the quality of traditional relationship banking also affects the relative desirability of fintech financing
2021-0086,5,"as for family firms, we find that innovation, as exemplified by r&d activity, effectively overrides any conventional reluctance to access external finance, suggesting the relative benefits of fintech finance for innovative high-growth firms"
2021-0092,0,the manuscript text contains an error on page 13
2021-0092,1,"the text should read as follows: with a potential 60 billion twd in spending annually, tourists from mainland china account for about 35% of annual tourists to taiwan"
2021-0092,2,"these banks are interested in both the mainland chinese tourists and in cross-border e-commerce transactions and cross-border tuition payments (there are about 8,000 mainland chinese students studying in taiwan)"
2021-0093,0,global fintech phenomenon is driven by new technological innovations that attempt to unbundle and deconstruct conventional business models in the financial services sector
2021-0093,1,"existing research on platforms focus on platform leadership, governance, generativity and modularity, as well as their impact on agility and innovation"
2021-0093,2,"however, there are limited empirical studies, to explore the role of platform operators in providing scalable financial service delivery to a broader population"
2021-0093,3,"this study aims to enhance the understanding of an emerging fintech landscape in indonesia which is characterized by heterogeneous, dynamic and evolving network of organizations and the innovative mechanisms by which the scalability of financial services could be enhanced"
2021-0093,4,"our study suggests that the mechanisms of platformization, decentralization, localization and democratization by fintech platform operators positively impact the scalability of financial service delivery"
2021-0093,5,"this study has significant implications for policy makers especially in emerging markets who are seeking to scale, facilitate and govern the fintech revolution, and for fintech practitioners in the design of technology-enabled delivery of financial services"
2021-0060,0,this study highlights the importance of financial technologies (fintech) as a factor influencing renewable energy use across organization for economic cooperation and development (oecd) countries
2021-0060,1,"renewable energy development is motivated notably by reducing carbon dioxide emissions, growing energy security concerns, and oil price volatility"
2021-0060,2,"fintech affects consumption, savings, and investment decisions in the renewable energy sector"
2021-0060,3,"examples include cryptocurrencies such as nrgcoin, blockchain-based renewable energy certificates such as origin from the energy web foundation, and crowdfunding to raise funds for renewable energy projects"
2021-0060,4,this study aims to quantitatively determine the influence of fintech development on renewable energy consumption
2021-0060,5,"to this end, it uses a balanced panel of 21 oecd countries for the period 20052018"
2021-0060,6,the empirical model is estimated using the fixed-effects estimator with driscoll-kraay standard errors
2021-0060,7,the findings indicate the existence of a significant positive relation between fintech development and renewable energy use
2021-0060,8,the results provide a platform for governments and policymakers to promote environmentally sustainable energy sectors by fostering and encouraging the use of fintech
2021-0067,0,can peer-to-peer lending platforms mitigate fraudulent behaviors? or have lending players been acting similar to free-riders? this paper constructs a new proxy to investigate lending platform misconduct and compares the fico score and the lendingclub credit grade
2021-0067,1,"to examine whether the lack of verification by the fintech platform affects lenders collection performance, i explore the recovery rate (rr) of non-performing loans through a mixed-continuous model"
2021-0067,2,the regression results show that the degree of prudence taken by the lending platform in the pre-screening activity negatively affects the detection of some misreporting borrowers
2021-0067,3,"i also find that the fintech platforms missing verification information (e.g., annual income and employment length) affects the rr of non-performing loans, thereby hampering lenders collection performance"
2021-0094,0,"in recent years, biometric technologies have been widely embedded in mobile devices"
2021-0094,1,these technologies were originally employed to enhance the security of mobile devices
2021-0094,2,"with the rise of financial technology (fintech), which uses mobile devices and applications as promotional platforms, biometrics has the important role of strengthening the identification of such applications for security"
2021-0094,3,"however, users still have privacy and trust concerns about biometrics"
2021-0094,4,previous studies have demonstrated that the technology acceptance model (tam) can rigorously explain and predict user acceptance of new technologies
2021-0094,5,this study therefore modifies the tam as a basic research architecture
2021-0094,6,"based on a literature review, we add two new variables, namely, perceived privacy and perceived trust, to extend the traditional tam to examine user acceptance of biometric identification in fintech applications"
2021-0094,7,"first, we apply the analytic hierarchy process (ahp) to evaluate the defined objects and relevant criteria of the research framework"
2021-0094,8,"second, we use the ahp results in the scenario analysis to explore biometric identification methods that correspond to objects and criteria"
2021-0094,9,the results indicate that face and voice recognition are the two most preferred identification methods in fintech applications
2021-0094,10,"in addition, there are significant changes in the results of the perceived trust and perceived privacy dominant scenarios"
2021-0017,0,"this study examines the spillover effect between financial technology (fintech) stocks and other financial assets (gold, bitcoin, a global equity index, crude oil, and the us dollar) during the covid-19 crisis"
2021-0017,1,"employing daily data from june 2019 to august 2020, our empirical analysis shows that the outbreak of covid-19 exacerbated volatility transmission across asset classes, while subsequent decreases in new confirmed cases globally reduced the intensity of these spillovers"
2021-0017,2,"the evidence for the usd and gold supports their safe haven properties during catastrophic events, while innovative technology products as represented by a financial technology index (kftx) and bitcoin were highly susceptible to external shocks"
2021-0017,3,"these results show that when push comes to shove, the buck stops with the usd and gold and that the exorbitant privilege enjoyed by the usd prevailed during the covid-19 pandemic"
2021-0002,0,"financial technology (fintech) makes a significant contribution to the financial system by reducing costs, providing higher quality services and increasing customer satisfaction"
2021-0002,1,"hence, new studies play an essential role to improve fintech investments"
2021-0002,2,this study evaluates fintech-based investments of european banking services with an application of an original methodology that considers interval type-2 (it2) fuzzy decision-making trial and evaluation laboratory and it2 fuzzy topsis models
2021-0002,3,empirical findings are controlled for consistency by applying the vikor method
2021-0002,4,"moreover, we conduct a sensitivity analysis by considering six distinct cases"
2021-0002,5,this study contributes to the existing literature by identifying the most important fintech-based investment alternatives to improve the financial performance of european banks
2021-0002,6,"our empirical findings illustrate that results are coherent, reliable, and identify competitive advantage as the most important factor among fintech-based determinants"
2021-0002,7,"moreover, payment and money transferring systems are the most important fintech-based investment alternatives"
2021-0002,8,"it is recommended that, among fintech-based investments, european banks should mainly focus on payment and money transferring alternatives to attract the attention of customers and satisfy their expectations"
2021-0002,9,this is also believed to have a positive impact on the ease of bank receivable collection
2021-0002,10,another important point is that fintech-based investments in money transferring systems could help to decrease costs
2021-0068,0,this study aims to evaluate the crowdfunding alternatives regarding new service development process pathways of clean energy investment projects
2021-0068,1,"in this framework, a new model has been generated by considering the consensus-based group decision-making with incomplete preferences, pythagorean fuzzy decision-making trial and evaluation laboratory (dematel) and technique for order preference by similarity to ideal solution (topsis)"
2021-0068,2,"moreover, a comparative evaluation has been performed with vise kriterijumska optimizacija i"
2021-0068,3,kompromisno resenje methodology and sensitivity analysis has been made by considering 4 different cases
2021-0068,4,the main contribution is to identify appropriate crowdfunding-based funding alternatives for the improvement of the clean energy investments with a novel mcdm model
2021-0068,5,"by considering the iteration technique and consensus-based analysis, the missing parts in the evaluations can be completed and opposite opinion problems can be reduced"
2021-0068,6,"furthermore, with the help of hybrid mcdm model by combining dematel and topsis, more objective results can be reached"
2021-0068,7,it is concluded that the analysis results are coherent and reliable
2021-0068,8,the findings indicate that the full launch is the most significant criterion for equity and debt-based crowdfunding alternatives
2021-0068,9,"on the other side, the analysis has the highest weight for reward and donation-based alternatives whereas design is the most essential item regarding the royalty-based alternative"
2021-0068,10,"additionally, it is also defined that equity-based crowdfunding alternative is the most significant for the service development process of clean energy investment projects"
2021-0068,11,"in this way, it will be possible to provide a continuous resource for clean energy investment projects"
2021-0068,12,"on the other hand, by providing financing with equity, there will be no fixed financing cost for clean energy investors"
2021-0068,13,"if these investors make a profit, they distribute dividends with the decision of their authorized bodies"
2021-0095,0,the u.s
2021-0095,1,"financial markets faced an unprecedented rapid decline and recovery on may 6, 2010, known as the may 6 flash crash"
2021-0095,2,roughly one trillion $ market value in less than thirty minutes vanished with the biggest one-day point decline in the history of the djia at the time
2021-0095,3,"since the market events took place in electronic markets, and algorithmic trading and high-frequency trading, parts of fintech, played significant roles, we handle the may 6 flash crash from the fintech, suptech, and financial supervision perspectives"
2021-0095,4,"with the flashback method, we analyzed the reactions of market participants, media, and two financial supervisors, the sec, and the cftc, to the market crash"
2021-0095,5,"we find that the technological imbalance between financial markets or institutions and their supervisors drove the markets in uncertainty, hence in a fear and panic environment"
2021-0095,6,"since the imbalance has not diminished yet, the same risks still exist"
2021-0095,7,"as a remedy, we introduce a new concept and model with a well-functioning suptech system to cope with the may 6 type fintech crises"
2021-0014,0,"based on daily data of 749 active online p2p lending platforms in chinese market, this study explores the key factors affecting the net cash inflow rate of the platform which is vital for its operation and survival from the perspective of reputation, structure design and fintech ecosystem"
2021-0014,1,internal governance issues of p2p lending platforms are further discussed according to the model results
2021-0014,2,a positive u-shaped relationship has been found between the platform duration and its net cash inflow rate which proves the role of reputation in the long-term development of p2p lending platforms
2021-0014,3,"in addition, we demonstrate that both capital and operational structure design of the platform (e.g"
2021-0014,4,"shareholders background, credit assignment, trusteeship and guarantee) have a significant impact on the platforms net cash inflow rate"
2021-0014,5,the cash flow level of the platform has also been affected by the regional fintech ecosystem
2021-0014,6,"platforms in a medium-developing ecosystem may have the highest net cash inflow rate, while a backward ecosystem will lower the cash flows of the platforms located in this area on average"
2021-0014,7,some suggestions on cash flow management and internal governance of p2p lending platforms for both platform founders and governments are put forward in the end of the study
2021-0096,0,the contemporary innovations in financial technology (fintech) serve society with an environmentally friendly atmosphere
2021-0096,1,fintech covers an enormous range of activities from data security to financial service deliverables that enable the companies to automate their existing business structure and introduce innovative products and services
2021-0096,2,"therefore, there is an increasing demand for scholars and professionals to identify the future trends and directions of the topic"
2021-0096,3,"this is why the present study conducted a bibliometric analysis in social, environmental, and computer sciences fields to analyse the implementation of environment-friendly computer applications to benefit societal growth and well-being"
2021-0096,4,we have used the bibliometrix 3.0 package of the r-program to analyse the core aspects of fintech systematically
2021-0096,5,the study suggests that acm international conference proceedings is the core source of published fintech literature
2021-0096,6,china leads in both multiple and single country production of fintech publications
2021-0096,7,bina nusantara university is the most relevant affiliation
2021-0096,8,arner and buckley provide impactful fintech literature
2021-0096,9,"in the conceptual framework, we analyse relationships between different topics of fintech and address dynamic research streams and themes"
2021-0096,10,these research streams and themes highlight the future directions and core topics of fintech
2021-0096,11,the study deploys a co-occurrence network to differentiate the entire fintech literature into three research streams
2021-0096,12,"these research streams are related to cryptocurrencies, smart contracts, financial technology, financial industry stability, service, innovation, regulatory technology (regtech), and machine learning and deep learning innovations"
2021-0096,13,"the study deploys a thematic map to identify basic, emerging, dropping, isolated, and motor themes based on centrality and density"
2021-0096,14,"these various themes and streams are designed to lead the researchers, academicians, policymakers, and practitioners to narrow, distinctive, and significant topics"
2021-0097,0,"financial inclusion has gone beyond the rhetoric surrounding social development and financial stability, but also expanding into pathos of arbitrage benefits made from cheap retail deposits by large banks and banks from technologically developed regions"
2021-0097,1,this study investigates whether a higher degree of fintech-based financial inclusion (ffi) intensifies banks risk-taking by analysing data from 534 banks from 24 oic countries
2021-0097,2,the results indicate that higher degree of ffi controls bank's risk-taking behaviour
2021-0097,3,the nexus turns stronger in the post-industrial revolution 4.0 (ir4.0) era
2021-0097,4,our results are robust across multiple proxies and estimation methods
2021-0097,5,we discuss how competition surrounding investing in fintech may expose the banks towards severe uncertainty
2021-0098,0,financial technology (fintech) is currently rising due to its essential impact on the economy
2021-0098,1,the availability of fintech provides an easier way for consumers to access various financial products through digitalised platforms
2021-0098,2,"unfortunately, the rate of fintech adoption in the market is still scant due to various risks and the market perception towards its products"
2021-0098,3,this article aims to develop a systematic literature review on the fintech product adoptions during the last decades
2021-0098,4,the article provides a review of various theoretical frameworks used by previous research
2021-0098,5,"as a result, this study outlines the factors that enhance fintech adoption from the adopters (consumers) and innovators (firms) standpoint"
2021-0098,6,the article also offers a new theoretical framework to enhance market adoption by highlighting firms internal and external focus together with consumers internal and external factors
2021-0098,7,this study highlights the importance of communications between firms and consumers in order for the firms to match their focus with consumers factors to enhance the fintech adoption
2021-0099,0,developing country lenders are taking advantage of fintech tools to create fully digital loans on mobile phones
2021-0099,1,"using administrative and survey data, we study the take up and impacts of one of the most popular digital loan products in the world, m-shwari in kenya"
2021-0099,2,"while 34% of those eligible for a loan take it, the loan does not substitute for other credit"
2021-0099,3,the loans improve household resilience: households are 6.3 percentage points less likely to forego expenses due to negative shocks
2021-0099,4,fintech tools can be a crucial way to improve financial access and household resilience
2021-0100,0,telemarketing is a primary and mature method for enterprises to solicit prospective customers to buy products or services
2021-0100,1,"however, training telesales representatives is always a pain point for enterprises since it is usually conducted manually and costs great effort and time"
2021-0100,2,"in this demonstration, we propose a telemarketing coaching system named smartsales to help enterprises develop better salespeople"
2021-0100,3,"powered by artificial intelligence (ai), smartsales aims to accumulate the experienced sales pitch from customer-sales dialogues and use it to coach junior salespersons"
2021-0100,4,"to the best of our knowledge, this is the first practice of an ai telemarketing coaching system in the domain of chinese fintech in the literature"
2021-0100,5,smartsales has been successfully deployed in the webank's telemarketing team
2021-0100,6,we expect that smartsales will inspire more research on ai assistant systems
2021-0101,0,embedded devices enabling payments transaction processing in financial services industry cannot have any margin for error
2021-0101,1,these devices need to be tested validated by replicating production like environment to the extent possible
2021-0101,2,"this means literally handling payments related events like swiping a credit card, tapping a mobile phone or pressing buttons amongst many other things like in real world"
2021-0101,3,"embedded software development is time consuming as it involves multiple man-machine interactions and dependencies such as managing and handling embedded devices, operating devices (push buttons, interpret display panels, read receipt printouts etc.) and sharing devices for collaboration within team"
2021-0101,4,"during the current pandemic, it was impossible for software teams to travel to office, share devices or even procure necessary devices on time for project related tasks"
2021-0101,5,this caused delay to project delivery and increased time to market
2021-0101,6,the paper describes how the team used capgemini's flexible robotics as a service (raas) platform that helped during pandemic to automate feasible man-machine interactions using robotic arms
2021-0101,7,"the paper provides details of the work done by the team that involves internet of things (iot), artificial intelligence (ai) to remotely handle and operate hardware and devices thereby completing embedded software development life cycles faster and well within budget while ensuring superior product quality and importantly ensuring team's health and safety"
2021-0101,8,this is novel in financial services space
2021-0102,0,"purpose: recently, the concept of financial technology (fintech) has attracted extensive attention from international organisations and regulators, in particular, how to achieve a winwin situation between financial institutions' fintech innovation and effective regulation has become a hot topic"
2021-0102,1,this study purposes to explore the evolutionary game relationship between fintech innovation and regulation by constructing both static and dynamic earmarking game models
2021-0102,2,design/methodology/approach: a simulation experiment was conducted using primary data obtained from a commercial bank in china
2021-0102,3,"findings: the results of the theoretical analysis of evolutionary game models were consistent with the corresponding simulation results, proving the validity of the proposed evolutionary game models"
2021-0102,4,it was also found that the dynamic earmarking game model was more stable and effective than the static earmarking game model in promoting fintech innovation and regulation
2021-0102,5,"furthermore, when the regulators utilised a dynamic earmarking mechanism, the evolutionary path of financial institutions and regulators' behaviour strategies took the shape of a spiral and eventually converged to a central point, indicating the existence of an evolutionary stable strategy and nash equilibrium"
2021-0102,6,"finally, because the behaviour strategies of financial institutions were mainly influenced by the regulators' policies, the regulators were inspired to adjust the corresponding regulation policies on fintech innovation"
2021-0102,7,"originality/value: this study bridges the knowledge gap in the existing literature on financial innovation and regulation, in particular by establishing evolutionary game models from the perspective of financial earmarking policies"
2021-0102,8,"also, the case study for simulation experiments can gain a more intuitive insight into fintech innovation and financial earmarking policies"
2021-0103,0,fintech has been in the focus of discussion for quite some time
2021-0103,1,"however, the market share of fintech companies is still relatively small compared to that of more traditional financial services"
2021-0103,2,"the purpose of this paper is to analyse the status quo, current developments, and challenges ahead for the latvian fintech sector"
2021-0103,3,"we combine three analyses: a political and legal, economic, social, and technological environment (pest) analysis"
2021-0103,4,a survey among fintech companies
2021-0103,5,and an analysis of the size and financial performance of fintech companies during the last 10 years
2021-0103,6,"we find that the current status of regulation is one of the main obstacles to fintech development, because it does not sufficiently consider fintech-specific aspects"
2021-0103,7,problems in attracting a skilled workforce and an environment that is not very supportive of new developments in finance are further challenges and might explain at least part of the growth and financial performance difficulties
2021-0103,8,"a revision, modernization, and harmonization of regulation is essential to create a level playing field for all market participants: fintech companies, traditional financial service providers, and those originally traditional players that are integrating fintech solutions in their business model"
2021-0103,9,further efforts are also required to foster latvias attractiveness for a skilled workforce
2021-0103,10,we hope that this study helps increase the visibility of latvian fintech and contributes to the development of the new latvian fintech strategy
2021-0069,0,we study the personal credit market using unique individual-level data covering fintech and traditional lenders
2021-0069,1,"we show that fintech lenders acquire market share by lending first to higher-risk borrowers and then to safer borrowers, and rely mainly on hard information to make credit decisions"
2021-0069,2,fintech borrowers are significantly more likely to default than neighbor individuals with the same characteristics borrowing from traditional financial institutions
2021-0069,3,"furthermore, they tend to experience a short-lived reduction in the cost of credit, because their indebtedness increases more than non-fintech borrowers after loan origination"
2021-0069,4,"however, fintech lenders' pricing strategies are likely to take this into account"
2021-0104,0,"this study aims to examine and validate the impact of big data analytical capabilities (individual, organizational, and technological) on bank performance via the mediating role of fintech innovation in commercial banks operating in the united arab emirates (uae)"
2021-0104,1,"based on a literature review, resource-based theory, and financial innovation theory, an integrated conceptual framework was developed to guide the study"
2021-0104,2,"a quantitative survey approach was used, and the data was collected from 236 banks senior managers (it, financial, and marketers)"
2021-0104,3,amos 21 structural equation modeling (sem) was used to analyze and verify the study variables
2021-0104,4,the main findings revealed that big data analytical capabilities had a significant positive influence on bank performance
2021-0104,5,fintech innovation acted as partial mediators in this relationship
2021-0104,6,copyright
2021-0105,0,"this study uses fintech approaches, including web crawler technology with distributed architecture to select internet news messages largely and efficiently and a dictionary-based linguistic text mining to create sentiment variables, to explore the respective impacts of investors' optimism and pessimism on stock returns"
2021-0105,1,the construction of sentiment variables in network- and dictionary-based messages is more precise and variable than that in traditional-based messages
2021-0105,2,"our results show that firms with investors' optimistic sentiments have significantly higher stock returns in the current month, whereas those with pessimistic sentiments have significantly opposite effects"
2021-0105,3,the effect of both investors' optimism and pessimism on stock returns subsequently reverses
2021-0105,4,"then, the negative impacts of investors' largely pessimistic sentiments on stock returns are larger than the positive impacts of their largely optimistic sentiments within a quarter"
2021-0105,5,"next, investors' optimistic sentiments significantly raise stock return volatility by approximately a quarter, but their pessimistic sentiments have the opposite effects"
2021-0105,6,"furthermore, investors' high optimism more significantly and persistently raises stock return volatility than their general optimism, but the negative effects of their high pessimism on volatility become smaller and the persistence is shorter than general pessimism"
2021-0105,7,"in addition to the advantage of our methodology in creating sentiment variables, the simultaneous consideration of investors' optimism and pessimism to analyze the effects on the returns and the volatility of individual stocks in this study is more complete than previous related studies"
2021-0070,0,this article probes how uneven access to digital financial technologies maps onto and reinforces existing inequalities in the global south
2021-0070,1,"grounded in sen's capability approach, it deploys a network science approach to examine emergent factors reinforcing techno-financial inequality or the uneven access to fintech instruments, such as mobile money (mm) or m-banking services"
2021-0070,2,"focusing on a case study in dhaka, bangladesh, our findings suggest that unequal access to mm services is driven by a lack of capability inputs (e.g., low income and savings) needed to access certain goods (e.g., mobile phones)"
2021-0070,3,"this lack affects and is affected by personal conversion factors (e.g., functional and financial illiteracies), environmental conversion factors within the mm ecosystem (e.g., unreliable mm operators), and socio-cultural practices (e.g., gender norms) within which mm services are embedded"
2021-0070,4,we argue that these factors must be understood and analyzed as a network of converging forces that constrain digital financial capabilities and wellbeing within the peripheries of the global south
2021-0070,5,"this network understanding highlights the need to avoid one-size-fits-all policy interventions, including moving beyond techno-centric paradigms that privilege the proffering of technological fixes: dumping more fintech instruments into global south markets"
2021-0070,6,"rather, fintech policy models must recognize and carefully address the intersection of micro and macro factors inhibiting fintech access in the global south"
