Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Reshetnikova N., Magomedov M., Zmiyak S., Chernysheva Y.",57198890172;57346229300;57202496552;57195717673;,Digital Technologies Adoption in the Agro-Industrial Complex as a Priority of Regional Development in the Conditions of Global Macroeconomic Changes,2022,Lecture Notes in Networks and Systems,246,,,3,12,,,10.1007/978-3-030-81619-3_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119427873&doi=10.1007%2f978-3-030-81619-3_1&partnerID=40&md5=b2633724c3d22f7b948cf482ea7bb3a8,Lect. Notes Networks Syst.,Conference Paper,Final,,Scopus,2-s2.0-85119427873
Wongsansukcharoen J.,55764922800;,"Effect of community relationship management, relationship marketing orientation, customer engagement, and brand trust on brand loyalty: The case of a commercial bank in Thailand",2022,Journal of Retailing and Consumer Services,64,,102826,,,,,10.1016/j.jretconser.2021.102826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118898331&doi=10.1016%2fj.jretconser.2021.102826&partnerID=40&md5=69a4c394b660c0cd414f2bad12992215,J. Retail. Consum. Serv.,Article,Final,,Scopus,2-s2.0-85118898331
"Zhang Y., Lin J.",57325894400;57326090700;,The Aggregation and Development of the Internet Digital Financial Industry Under the Background of Big Data,2022,Lecture Notes on Data Engineering and Communications Technologies,97,,,361,369,,,10.1007/978-3-030-89508-2_46,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118674184&doi=10.1007%2f978-3-030-89508-2_46&partnerID=40&md5=02ba0213a493e3c9fc7b9d393b3d9cc3,Lecture. Notes. Data Eng. Commun. Tech.,Book Chapter,Final,,Scopus,2-s2.0-85118674184
"Wang Z., Wang Y.",57325515800;57326652400;,Bank Customer Default Risk Based on Multimedia in the Background of Internet Digital Finance,2022,Lecture Notes on Data Engineering and Communications Technologies,97,,,1001,1009,,,10.1007/978-3-030-89508-2_130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118650145&doi=10.1007%2f978-3-030-89508-2_130&partnerID=40&md5=d62a9573cbecb9d1d536f8af3f587e31,Lecture. Notes. Data Eng. Commun. Tech.,Book Chapter,Final,,Scopus,2-s2.0-85118650145
Yuan B.,57325902500;,Fintech and Financial Regulation in the Context of Big Data,2022,Lecture Notes on Data Engineering and Communications Technologies,97,,,875,881,,,10.1007/978-3-030-89508-2_114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118644408&doi=10.1007%2f978-3-030-89508-2_114&partnerID=40&md5=ea64158c5ff582463fb9ceca8fe6384e,Lecture. Notes. Data Eng. Commun. Tech.,Book Chapter,Final,,Scopus,2-s2.0-85118644408
"Naeem M., Khan A., Ashraf S., Abdullah S., Ayaz M., Ghanmi N.",57213518790;57223019253;57202914374;57223681477;57217036949;55037436600;,A novel decision making technique based on spherical hesitant fuzzy yager aggregation information: Application to treat parkinson’s disease,2022,AIMS Mathematics,7,2,,1678,1706,,,10.3934/math.2022097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118249825&doi=10.3934%2fmath.2022097&partnerID=40&md5=7382ce9731e7bf7648bb8511163ca547,AIMS Math.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85118249825
"Rotabi S., Ali O.",57313359300;56498722200;,Applications of Blockchain Technology for a Circular Economy with Focus on Singapore,2022,Environmental Footprints and Eco-Design of Products and Processes,,,,151,178,,,10.1007/978-981-16-6301-7_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117930478&doi=10.1007%2f978-981-16-6301-7_8&partnerID=40&md5=438b3d2a4a7d4ae3a99966a9ed0245cc,Environ. Footpr. Eco-Des. Product Process.,Book Chapter,Final,,Scopus,2-s2.0-85117930478
"Merello P., Barberá A., la Poza E.D.",35226497600;57219660685;57305833800;,Is the sustainability profile of FinTech companies a key driver of their value?,2022,Technological Forecasting and Social Change,174,,121290,,,,,10.1016/j.techfore.2021.121290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117686459&doi=10.1016%2fj.techfore.2021.121290&partnerID=40&md5=3bdfe0274ed6043dd9112fb6ffc295bd,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85117686459
"Chen P.-F., Lo S., Tang H.-Y.",23491281400;57300043800;57300231600;,What if borrowers stop paying their loans? Investors’ rates of return on a peer-to-peer lending platform,2022,International Review of Economics and Finance,77,,,359,377,,,10.1016/j.iref.2021.10.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117339128&doi=10.1016%2fj.iref.2021.10.011&partnerID=40&md5=32c2bfc279c219fdde3de8e274ca6c14,Int. Rev. Econ. Financ.,Article,Final,,Scopus,2-s2.0-85117339128
"Kok S.K., Akwei C., Giorgioni G., Farquhar S.",57216880054;55260155100;6603755381;24483244000;,On the regulation of the intersection between religion and the provision of financial services: Conversations with market actors within the global Islamic financial services sector,2022,Research in International Business and Finance,59,,101552,,,,,10.1016/j.ribaf.2021.101552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117336128&doi=10.1016%2fj.ribaf.2021.101552&partnerID=40&md5=1a05c1b7d4a22208aa8b2e0ee6bb94b7,Res. Int. Bus. Financ.,Article,Final,,Scopus,2-s2.0-85117336128
"Tao R., Su C.-W., Naqvi B., Rizvi S.K.A.",57226249177;15066016200;55680894700;55681843000;,Can Fintech development pave the way for a transition towards low-carbon economy: A global perspective,2022,Technological Forecasting and Social Change,174,,121278,,,,,10.1016/j.techfore.2021.121278,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117205405&doi=10.1016%2fj.techfore.2021.121278&partnerID=40&md5=cd0517c0dcdeb28780d01f18d29111f4,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85117205405
"Hussain M., Papastathopoulos A.",50061196200;36619798600;,Organizational readiness for digital financial innovation and financial resilience,2022,International Journal of Production Economics,243,,108326,,,,,10.1016/j.ijpe.2021.108326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116704899&doi=10.1016%2fj.ijpe.2021.108326&partnerID=40&md5=1b1129b1fa4e99671302fbaef99e8db8,Int J Prod Econ,Article,Final,,Scopus,2-s2.0-85116704899
"Sultana S., Akter S., Kyriazis E.",57223144120;36058277700;21733288500;,How data-driven innovation capability is shaping the future of market agility and competitive performance?,2022,Technological Forecasting and Social Change,174,,121260,,,,,10.1016/j.techfore.2021.121260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116678072&doi=10.1016%2fj.techfore.2021.121260&partnerID=40&md5=5ce46df9252ce5457c6a66bec099b6c2,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85116678072
"Al-Khowarizmi A., Syah R., Elveny M.",57204804487;57193927659;57188575343;,The Model of Business Intelligence Development by Applying Cooperative Society Based Financial Technology,2022,Lecture Notes in Networks and Systems,235,,,117,125,,,10.1007/978-981-16-2377-6_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116500791&doi=10.1007%2f978-981-16-2377-6_13&partnerID=40&md5=63ea4f9e6e17eac18c04433cf65d8c99,Lect. Notes Networks Syst.,Conference Paper,Final,,Scopus,2-s2.0-85116500791
"Liu B., Ju T., Chan H.K.",57211046398;57219327142;55520514300;,The diverse impact of heterogeneous customer characteristics on supply chain finance: Empirical evidence from Chinese factoring,2022,International Journal of Production Economics,243,,108321,,,,,10.1016/j.ijpe.2021.108321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116468200&doi=10.1016%2fj.ijpe.2021.108321&partnerID=40&md5=f2a8a34336846117c6aaee0237372d8d,Int J Prod Econ,Article,Final,,Scopus,2-s2.0-85116468200
"Scuotto V., Magni D., Palladino R., Nicotra M.",55960201200;57200650073;57214997796;55751380900;,Triggering disruptive technology absorptive capacity by CIOs. Explorative research on a micro-foundation lens,2022,Technological Forecasting and Social Change,174,,121234,,,,,10.1016/j.techfore.2021.121234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116037376&doi=10.1016%2fj.techfore.2021.121234&partnerID=40&md5=592a2e8bcab86d9a5e0aba49f4389492,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85116037376
"Wang Z., Li M., Lu J., Cheng X.",57202040679;57277172900;57277990100;57226156011;,Business Innovation based on artificial intelligence and Blockchain technology,2022,Information Processing and Management,59,1,102759,,,,,10.1016/j.ipm.2021.102759,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115969990&doi=10.1016%2fj.ipm.2021.102759&partnerID=40&md5=6f95e52b52c381b77e62d755f66770a7,Inf. Process. Manage.,Article,Final,,Scopus,2-s2.0-85115969990
"Braun E., Zenker S.",7103207067;25924095700;,In governments we trust: A two-country brexit field experiment on perceived uncertainty as mediator for consumer decisions,2022,Journal of Business Research,138,,,335,346,,,10.1016/j.jbusres.2021.09.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115381930&doi=10.1016%2fj.jbusres.2021.09.014&partnerID=40&md5=0763d18db31eba30ef3c9c047bec2c14,J. Bus. Res.,Article,Final,,Scopus,2-s2.0-85115381930
"Yarovaya L., Matkovskyy R., Jalan A.",57015200400;56022959500;57208598878;,The COVID-19 black swan crisis: Reaction and recovery of various financial markets,2022,Research in International Business and Finance,59,,101521,,,,1.0,10.1016/j.ribaf.2021.101521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115362229&doi=10.1016%2fj.ribaf.2021.101521&partnerID=40&md5=93f9e71a7b54819ea9ac1b654df8c082,Res. Int. Bus. Financ.,Article,Final,,Scopus,2-s2.0-85115362229
"Chaudhry S.M., Ahmed R., Huynh T.L.D., Benjasak C.",56577586400;57217310374;57200037512;57210343671;,Tail risk and systemic risk of finance and technology (FinTech) firms,2022,Technological Forecasting and Social Change,174,,121191,,,,1.0,10.1016/j.techfore.2021.121191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115339492&doi=10.1016%2fj.techfore.2021.121191&partnerID=40&md5=c300b7061e3a3be8d61a59e184916fff,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85115339492
"Felipe I.J.D.S., Mendes-Da-Silva W., Leal C.C., Braun Santos D.",55918040700;54950189500;57263070400;56769983900;,Reward crowdfunding campaigns: Time-to-success analysis,2022,Journal of Business Research,138,,,214,228,,,10.1016/j.jbusres.2021.09.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115178933&doi=10.1016%2fj.jbusres.2021.09.004&partnerID=40&md5=33fbfdea4963adf6da258f7eec3d005f,J. Bus. Res.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85115178933
"Shahzad U., Ferraz D., Nguyen H.-H., Cui L.",57206773899;57189237978;57195427803;56582813400;,"Investigating the spill overs and connectedness between financial globalization, high-tech industries and environmental footprints: Fresh evidence in context of China",2022,Technological Forecasting and Social Change,174,,121205,,,,6.0,10.1016/j.techfore.2021.121205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114902964&doi=10.1016%2fj.techfore.2021.121205&partnerID=40&md5=56bb67af77a1c0461e8e4df80bfde7d9,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85114902964
"Shaw N., Eschenbrenner B., Brand B.M.",55489913100;23396301100;57221373638;,Towards a Mobile App Diffusion of Innovations model: A multinational study of mobile wallet adoption,2022,Journal of Retailing and Consumer Services,64,,102768,,,,,10.1016/j.jretconser.2021.102768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114814102&doi=10.1016%2fj.jretconser.2021.102768&partnerID=40&md5=9ddee42b8e5b47c05107074a3ef93aa3,J. Retail. Consum. Serv.,Article,Final,,Scopus,2-s2.0-85114814102
"Nigmonov A., Shams S., Alam K.",57225941245;55710730300;56695471300;,Macroeconomic determinants of loan defaults: Evidence from the U.S. peer-to-peer lending market,2022,Research in International Business and Finance,59,,101516,,,,,10.1016/j.ribaf.2021.101516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114014554&doi=10.1016%2fj.ribaf.2021.101516&partnerID=40&md5=207621b03bbe23609cb329246e258d92,Res. Int. Bus. Financ.,Article,Final,,Scopus,2-s2.0-85114014554
"Nguyen P.-H., Tsai J.-F., Hu Y.-C., Ajay Kumar G.V.",57214384983;57222381055;57138742500;57211201262;,A Hybrid Method of MCDM for Evaluating Financial Performance of Vietnamese Commercial Banks Under COVID-19 Impacts,2022,"Studies in Systems, Decision and Control",382,,,23,45,,,10.1007/978-3-030-79610-5_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113576486&doi=10.1007%2f978-3-030-79610-5_2&partnerID=40&md5=5bdc271005860dae1a3eb836704f20dd,Stud. Syst. Decis. Control,Book Chapter,Final,,Scopus,2-s2.0-85113576486
"Zheng K.W., Cheong J.H., Jafarian M.",57232334700;57233022000;57218587721;,Intention to Adopt Robo-Advisors Among Malaysian Retail Investors: Using an Extended Version of TAM Model,2022,Lecture Notes in Networks and Systems,299,,,658,672,,,10.1007/978-3-030-82616-1_54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113473341&doi=10.1007%2f978-3-030-82616-1_54&partnerID=40&md5=0f57a73bc9f5cbfc3d66bca2095c20bc,Lect. Notes Networks Syst.,Conference Paper,Final,,Scopus,2-s2.0-85113473341
"Hernández-Nieves E., García-Coria J.A., Rodríguez-González S., Gil-González A.B.",57209421060;55939676500;55427094200;55619329700;,Distributed Decision Blockchain-Secured Support System to Enhance Stock Market Investment Process,2022,Lecture Notes in Networks and Systems,253,,,48,60,,,10.1007/978-3-030-78901-5_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113456400&doi=10.1007%2f978-3-030-78901-5_5&partnerID=40&md5=1ac712cd0eb7b4a9f555bf52724a3188,Lect. Notes Networks Syst.,Conference Paper,Final,,Scopus,2-s2.0-85113456400
"Warnars D.T.S., Mardika E.A., Pratama A.R., Mua’azi M.N., Erick, Warnars H.L.H.S.",57215926303;57230700600;57231095400;57231095500;57229922500;57219696428;,Smartphone Application Using Fintech in Jakarta Transportation for Shopping in the Marketplace,2022,Lecture Notes in Networks and Systems,209,,,403,411,,,10.1007/978-981-16-2126-0_34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113397320&doi=10.1007%2f978-981-16-2126-0_34&partnerID=40&md5=60d5a834d69b1ad19c8c0e0e04fdddc2,Lect. Notes Networks Syst.,Conference Paper,Final,,Scopus,2-s2.0-85113397320
"Setyawan I.R., Ramli I., Listyarti I.",57034027500;57195616630;57221748998;,Design development of financial citizenship model for women in Indonesia,2020,IOP Conference Series: Materials Science and Engineering,1007,1,012046,,,,,10.1088/1757-899X/1007/1/012046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100025409&doi=10.1088%2f1757-899X%2f1007%2f1%2f012046&partnerID=40&md5=f7fec462e1d0e86f4c8f8e45a46ea90e,IOP Conf. Ser. Mater. Sci. Eng.,Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-85100025409
"Yeşilyurt S., Dilidüzgün M.O.",57212085236;57224450065;,The dark side of digital finance,2020,Dark Side of Digital Organization,,,,87,99,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107568794&partnerID=40&md5=75583dd82d675eb19c40a560ad2922b9,Dark Side of Digit. Organ.,Book Chapter,Final,,Scopus,2-s2.0-85107568794
"Ivanyuk V.A., Abdikeev N.M., Tsvirkun A.D.",55859129700;36625026600;6603508199;,Forecasting the dynamics of financial time series based on neural networks,2020,Journal of Physics: Conference Series,1703,1,012030,,,,,10.1088/1742-6596/1703/1/012030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099884349&doi=10.1088%2f1742-6596%2f1703%2f1%2f012030&partnerID=40&md5=5af928fb7ada4fd55c1317ec685517bb,J. Phys. Conf. Ser.,Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-85099884349
"Ponomareva M.A., Karpukhin D.V., Stolyarova A.N.",57220388614;57205232668;57200188985;,FinTech in Russia under circumstances of IT technologies development: Development challenges and solutions,2020,E3S Web of Conferences,224,,03030,,,,,10.1051/e3sconf/202022403030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098862229&doi=10.1051%2fe3sconf%2f202022403030&partnerID=40&md5=fc2886b40fdbbd6b366722469ff2dc39,E3S Web Conf.,Conference Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098862229
Hanif M.,24780526000;,Developing a fair currency system,2020,ISRA International Journal of Islamic Finance,12,3,,325,345,,,10.1108/IJIF-02-2019-0024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097814181&doi=10.1108%2fIJIF-02-2019-0024&partnerID=40&md5=ab474cab76a336e6570a7e523627e054,ISRA Int. J. Islamic Finance,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85097814181
"Suroso J.S., Kaburuan E.R., Aqsha, Sudjana A.R.L., Nurjannah R.",56979307800;55585574600;57211267315;57215925209;57211334516;,Increasing is security using risk management on fintech,2020,"2020 8th International Conference on Orange Technology, ICOT 2020",,,9468754,,,,,10.1109/ICOT51877.2020.9468754,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112421488&doi=10.1109%2fICOT51877.2020.9468754&partnerID=40&md5=e5459d5b1c5104e1e63d05ea8b4a837b,"Int. Conf. Orange Technol., ICOT",Conference Paper,Final,,Scopus,2-s2.0-85112421488
"Eltweri A., Faccia A., Roxana Moþteanu N., Sawan N., Pio Leonardo Cavaliere L.",57221941578;57211532693;50462133400;56051422600;57219434270;,The Role of Risk Management in Auditing E-Business,2020,PervasiveHealth: Pervasive Computing Technologies for Healthcare,,,3446584,39,44,,,10.1145/3446569.3446584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103611273&doi=10.1145%2f3446569.3446584&partnerID=40&md5=fea186803b630dbb6abf89a7d4edc082,PervasiveHealth: Pervasive Computing Technol Healthc.,Conference Paper,Final,,Scopus,2-s2.0-85103611273
"Shorman A.A., Sabri K.E., Abushariah M.A.M., Qaimari M.",57220858042;6506791713;36547417700;57220861794;,Blockchain for banking systems: Opportunities and challenges,2020,Journal of Theoretical and Applied Information Technology,98,23,,3703,3717,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097762147&partnerID=40&md5=746971ba1460a427e7e4f335e17d4f03,J. Theor. Appl. Inf. Technol.,Article,Final,,Scopus,2-s2.0-85097762147
"Alhassan M.D., Kolog E.A., Boateng R.",57213831349;57188720520;23003527600;,Effect of gratification on user attitude and continuance use of mobile payment services: a developing country context,2020,Journal of Systems and Information Technology,22,4,,353,380,,1.0,10.1108/JSIT-01-2020-0010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096522269&doi=10.1108%2fJSIT-01-2020-0010&partnerID=40&md5=b9e000462ff686fe4a894aadfcfb3535,J. Syst. Inf. Technol.,Article,Final,,Scopus,2-s2.0-85096522269
"Horta Neto A.J., Fernandes Pereira Dos Santos A.",57222725773;57206721318;,Cyber Threat Hunting through Automated Hypothesis and Multi-Criteria Decision Making,2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,9378213,1823,1830,,,10.1109/BigData50022.2020.9378213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103855782&doi=10.1109%2fBigData50022.2020.9378213&partnerID=40&md5=4032f54c07823fb99a589c7b5516ce96,"Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,Final,,Scopus,2-s2.0-85103855782
"Caragea D., Chen M., Cojoianu T., Dobri M., Glandt K., Mihaila G.",35615386800;56134479300;57201117186;57222724173;57222727220;6602112067;,Identifying FinTech Innovations Using BERT,2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,9378169,1117,1126,,,10.1109/BigData50022.2020.9378169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103831054&doi=10.1109%2fBigData50022.2020.9378169&partnerID=40&md5=3c072ad7d40099f8ce7a23071628d69e,"Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,Final,,Scopus,2-s2.0-85103831054
"Surya Permana I., Hidayat T., Mahardiko R.",57221751983;57212360103;56703234900;,Effect of Android and Social Media User Growth on the Financial Technology Lending Borrowers and its Financing,2020,"2020 3rd International Seminar on Research of Information Technology and Intelligent Systems, ISRITI 2020",,,9315520,534,538,,,10.1109/ISRITI51436.2020.9315520,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100047944&doi=10.1109%2fISRITI51436.2020.9315520&partnerID=40&md5=9f9d36d01ec2aac1973608be1669eb29,"Int. Semin. Res. Inf. Technol. Intell. Syst., ISRITI",Conference Paper,Final,,Scopus,2-s2.0-85100047944
"Pan C.-L., Chen X., Lin M., Cai Z., Wu X.",57216760922;57218657849;57220893214;57220895987;57220894669;,Financial industry under the background of digital industry: A bibliometric analysis of related research,2020,E3S Web of Conferences,214,,03010,,,,,10.1051/e3sconf/202021403010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097838955&doi=10.1051%2fe3sconf%2f202021403010&partnerID=40&md5=65d89176d99c1fe921be57c69c2d55e2,E3S Web Conf.,Conference Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85097838955
"Baehaqi A., Birton M.N.A., Hudaefi F.A.",57219310960;57219305649;57209250605;,Time value of money in Islamic accounting practice: a critical analysis from maqāṣid al-Sharī‘ah,2020,Journal of Islamic Accounting and Business Research,11,9,,2035,2052,,3.0,10.1108/JIABR-09-2018-0155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092165407&doi=10.1108%2fJIABR-09-2018-0155&partnerID=40&md5=05f27cbab684458880a0f86be0e7a240,J. Islamic Account. Bus. Res.,Article,Final,,Scopus,2-s2.0-85092165407
