Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Amit R., Zott C.","7004998175;6508196211;","Value creation in e-business",2001,"Strategic Management Journal","22","6-7",,"493","520",,3024,"10.1002/smj.187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000355662&doi=10.1002%2fsmj.187&partnerID=40&md5=5646f20084318501affee5d24425b667","Wharton School, University of Pennsylvania, Philadelphia, PA, United States; INSEAD, Fontainebleau Cedex, France; Wharton School, University of Pennsylvania, 3620 Locust Walk, Philadelphia, PA 19104-6370, United States","Amit, R., Wharton School, University of Pennsylvania, Philadelphia, PA, United States, Wharton School, University of Pennsylvania, 3620 Locust Walk, Philadelphia, PA 19104-6370, United States; Zott, C., INSEAD, Fontainebleau Cedex, France","Business model; E-business; Value creation",,"Amit, R.; Wharton School, 3620 Locust Walk, Philadelphia, PA 19104-6370, United States",01432095,,SMAJD,"Strategic Manage J",Article,"Final","",Scopus
"RAJAN R.G., ZINGALES L.","7101892426;7004110147;","What Do We Know about Capital Structure? Some Evidence from International Data",1995,"The Journal of Finance","50","5",,"1421","1460",,2915,"10.1111/j.1540-6261.1995.tb05184.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993839747&doi=10.1111%2fj.1540-6261.1995.tb05184.x&partnerID=40&md5=32c84736e200309bb80abc6b58f821ee",,"RAJAN, R.G.; ZINGALES, L.",,,"RAJAN, R.G.",00221082,,,"J. Financ.",Article,"Final","All Open Access, Bronze, Green",Scopus
"Bollen J., Mao H., Zeng X.","6603686592;24724991400;7403248390;","Twitter mood predicts the stock market",2011,"Journal of Computational Science","2","1",,"1","8",,2901,"10.1016/j.jocs.2010.12.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953102821&doi=10.1016%2fj.jocs.2010.12.007&partnerID=40&md5=9f9bb731653f6a8b429c71b690d8ba07","School of Informatics and Computing, Indiana University, 919 E. 10th Street, Bloomington, IN 47408, United States; School of Computer Science, University of Manchester, Kilburn Building, Oxford Road, Manchester M13 9PL, United Kingdom","Bollen, J., School of Informatics and Computing, Indiana University, 919 E. 10th Street, Bloomington, IN 47408, United States; Mao, H., School of Informatics and Computing, Indiana University, 919 E. 10th Street, Bloomington, IN 47408, United States; Zeng, X., School of Computer Science, University of Manchester, Kilburn Building, Oxford Road, Manchester M13 9PL, United Kingdom","Collective mood; Sentiment tracking; Social networks; Stock market","Behavioral economics; Collective decision making; Collective mood; Dow Jones Industrial averages; Economic indicators; Granger Causality; Individual behavior; Percentage error; Presidential election; Profile of mood state; Public mood; Self-organizing fuzzy neural network; Sentiment tracking; Social Networks; Stock market; Text content; Commerce; Decision making; Finance; Fuzzy neural networks; Social networking (online); Time series; Time series analysis; Economics","Bollen, J.; School of Informatics and Computing, 919 E. 10th Street, Bloomington, IN 47408, United States; email: jbollen@indiana.edu",18777503,,,"J. Comput. Sci.",Article,"Final","All Open Access, Green",Scopus
"Fayyad U., Piatetsky-Shapiro G., Smyth P.","6603722119;6602663215;7006933675;","From data mining to knowledge discovery in databases",1996,"AI Magazine","17","3",,"37","53",,2867,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002283033&partnerID=40&md5=266faf7bded790e22bc3754ab7e2caa1",,"Fayyad, U.; Piatetsky-Shapiro, G.; Smyth, P.",,,,07384602,,AIMAE,"AI Mag",Article,"Final","",Scopus
"Orlikowski W.J.","6701858440;","Using Technology and Constituting Structures: A Practice Lens for Studying Technology in Organizations",2000,"Organization Science","11","4",,"404","428",,2835,"10.1287/orsc.11.4.404.14600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034416232&doi=10.1287%2forsc.11.4.404.14600&partnerID=40&md5=532c01b2ac004dd39901ca06999c63b8","Sloan School of Management, Massachusetts Inst. of Technology, 50 Memorial Drive, Cambridge, MA 02139, United States","Orlikowski, W.J., Sloan School of Management, Massachusetts Inst. of Technology, 50 Memorial Drive, Cambridge, MA 02139, United States","Information Technology; Organization; Structuration Theory; Work Practices",,"Orlikowski, W.J.; Sloan School of Management, 50 Memorial Drive, Cambridge, MA 02139, United States; email: wanda@mit.edu",10477039,,,"Organ. Sci.",Article,"Final","",Scopus
"TITMAN S., WESSELS R.","7003382478;25939151600;","The Determinants of Capital Structure Choice",1988,"The Journal of Finance","43","1",,"1","19",,2486,"10.1111/j.1540-6261.1988.tb02585.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977737536&doi=10.1111%2fj.1540-6261.1988.tb02585.x&partnerID=40&md5=46ceb0e7d9ec7f22b28193c7c130c251",,"TITMAN, S.; WESSELS, R.",,,"TITMAN, S.",00221082,,,"J. Financ.",Article,"Final","",Scopus
"Walsham G.","7003929295;","Interpretive case studies in IS research: Nature and method",1995,"European Journal of Information Systems","4","2",,"74","81",,2454,"10.1057/ejis.1995.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974872728&doi=10.1057%2fejis.1995.9&partnerID=40&md5=68b28dc9a82475cc348cf63157188677","Department of Management Science, The Management School, Lancaster University, Lancaster, LA1 4YX, United Kingdom","Walsham, G., Department of Management Science, The Management School, Lancaster University, Lancaster, LA1 4YX, United Kingdom",,,"Walsham, G.; Department of Management Science, , Lancaster, LA1 4YX, United Kingdom",0960085X,,,"Eur. J. Inf. Syst.",Article,"Final","",Scopus
"Jensen M.C., Ruback R.S.","57208461699;24326824500;","The market for corporate control. The scientific evidence",1983,"Journal of Financial Economics","11","1-4",,"5","50",,2192,"10.1016/0304-405X(83)90004-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447504242&doi=10.1016%2f0304-405X%2883%2990004-1&partnerID=40&md5=0ef35f8b177e84e8d57de8949f177f7d","University of Rochester, Rochester, NY 14627, United States; Massachusetts Institute of Technology, Cambridge, MA 02139, United States","Jensen, M.C., University of Rochester, Rochester, NY 14627, United States; Ruback, R.S., Massachusetts Institute of Technology, Cambridge, MA 02139, United States",,,"Jensen, M.C.; University of Rochester, Rochester, NY 14627, United States",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","",Scopus
"Tetlock P.C.","8684887100;","Giving content to investor sentiment: The role of media in the stock market",2007,"Journal of Finance","62","3",,"1139","1168",,1882,"10.1111/j.1540-6261.2007.01232.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248193914&doi=10.1111%2fj.1540-6261.2007.01232.x&partnerID=40&md5=1c55078aac1503f88e68c58d5051fe88","McCombs School of Business, University of Texas, Austin, United States","Tetlock, P.C., McCombs School of Business, University of Texas, Austin, United States",,,"Tetlock, P.C.; McCombs School of Business, , Austin, United States",00221082,,,"J. Financ.",Article,"Final","",Scopus
"Mudambi S.M., Schuff D.","6602426316;6508096597;","What makes a helpful online review? A study of customer reviews on amazon.com",2010,"MIS Quarterly: Management Information Systems","34","1",,"185","200",,1863,"10.2307/20721420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649111353&doi=10.2307%2f20721420&partnerID=40&md5=38353faa306839634144b08db49033d7","Department of Management Information Systems, Fox School of Business, Temple University, 207G Speakman Hall 1810 North 13th Street, Philadelphia, PA 19122, United States","Mudambi, S.M., Department of Management Information Systems, Fox School of Business, Temple University, 207G Speakman Hall 1810 North 13th Street, Philadelphia, PA 19122, United States; Schuff, D., Department of Management Information Systems, Fox School of Business, Temple University, 207G Speakman Hall 1810 North 13th Street, Philadelphia, PA 19122, United States","Consumer behavior; Diagnosticity; Electronic commerce; Information economics; Product reviews; Search and experience goods","Consumer behavior; Electronic commerce; Diagnosticity; Experience goods; Information economics; Product descriptions; Product reviews; Products and services; Purchase decision; Theory and practice; Sales","Mudambi, S.M.; Department of Management Information Systems, 207G Speakman Hall 1810 North 13th Street, United States; email: Susan.Mudambl@temple.edu",02767783,,MISQD,"MIS Quart Manage Inf Syst",Review,"Final","",Scopus
"Levine R.","23080621700;","Chapter 12 Finance and Growth: Theory and Evidence",2005,"Handbook of Economic Growth","1","SUPPL. PART A",,"865","934",,1824,"10.1016/S1574-0684(05)01012-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66049116661&doi=10.1016%2fS1574-0684%2805%2901012-9&partnerID=40&md5=b8e944138c617035a16f616a4754a81a","Department of Economics, Brown University, the NBER, 64 Waterman Street, Providence, RI 02912, United States","Levine, R., Department of Economics, Brown University, the NBER, 64 Waterman Street, Providence, RI 02912, United States","corporate finance; economic development; financial institutions; financial markets; technological change",,"Levine, R.; Department of Economics, 64 Waterman Street, Providence, RI 02912, United States; email: Ross_Levine@brown.edu",15740684,9780444520418,,"Handb. Econ. Growth",Review,"Final","",Scopus
"Allen F., Gale D.","7102515412;7102730996;","Financial contagion",2000,"Journal of Political Economy","108","1",,"1","33",,1738,"10.1086/262109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034079058&doi=10.1086%2f262109&partnerID=40&md5=356a4b1d78a3f543cc64bcf379822496",,"Allen, F.; Gale, D.",,"banking; economic theory; theoretical study",,00223808,,,"J. Polit. Econ.",Article,"Final","",Scopus
"Rockart J.F.","6701573555;","Chief executives define their own data needs.",1979,"Harvard Business Review","57","2",,"81","93",,1734,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018451997&partnerID=40&md5=441008564db99a7698ac0e3c5cafafd4",,"Rockart, J.F.",,"administrative personnel; article; human; information processing; information service; organization and management; Administrative Personnel; Data Collection; Human; Information Services; Organization and Administration; Planning Techniques","Rockart, J.F.",00178012,,,"Harv Bus Rev",Article,"Final","",Scopus
"Loughran T., Mcdonald B.","7004428798;36941801900;","When Is a Liability Not a Liability? Textual Analysis, Dictionaries, and 10-Ks",2011,"Journal of Finance","66","1",,"35","65",,1724,"10.1111/j.1540-6261.2010.01625.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650979144&doi=10.1111%2fj.1540-6261.2010.01625.x&partnerID=40&md5=6c8b1944131a73ccab52d6d9d82d2e46","University of Notre Dame, United States","Loughran, T., University of Notre Dame, United States; Mcdonald, B., University of Notre Dame, United States",,,"Loughran, T.; University of Notre DameUnited States",00221082,,,"J. Financ.",Article,"Final","",Scopus
"Gregor S., Hevner A.R.","55885477900;7004500718;","Positioning and presenting design science research for maximum impact",2013,"MIS Quarterly: Management Information Systems","37","2",,"337","355",,1683,"10.25300/MISQ/2013/37.2.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876846839&doi=10.25300%2fMISQ%2f2013%2f37.2.01&partnerID=40&md5=a5113d2ac64b304cda258fe9e36136b7","School of Accounting and Business Information Systems, College of Business and Economics, Australian National University, Canberra ACT 0200, Australia; Information Systems and Decision Sciences, College of Business, University of South Florida, 4202 East Fowler Avenue, CIS1040, Tampa, FL 33620-7800, United States","Gregor, S., School of Accounting and Business Information Systems, College of Business and Economics, Australian National University, Canberra ACT 0200, Australia; Hevner, A.R., Information Systems and Decision Sciences, College of Business, University of South Florida, 4202 East Fowler Avenue, CIS1040, Tampa, FL 33620-7800, United States","Computer science discipline; Design artifact; Design science research (DSR); DSR theory; Engineering discipline; Information Systems; Knowledge; Knowledge contribution framework; Publication schema","Information systems; Knowledge based systems; Design artifacts; Design science researches (DSR); DSR theory; Engineering disciplines; Knowledge; Knowledge contributions; Publication schema; Science disciplines; Design",,02767783,,MISQD,"MIS Quart Manage Inf Syst",Review,"Final","",Scopus
"Seawnght J., Gerring J.","51564814600;7003809042;","Case selection techniques in case study research: A menu of qualitative and quantitative options",2008,"Political Research Quarterly","61","2",,"294","308",,1640,"10.1177/1065912907313077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649185727&doi=10.1177%2f1065912907313077&partnerID=40&md5=c9177ca1e8fe27f5f2d3ea66b21de035","Northwestern University, Evanston, IL, United States; Boston University, MA, United States","Seawnght, J., Northwestern University, Evanston, IL, United States; Gerring, J., Boston University, MA, United States","Case selection; Case study; Multimethod research; Qualitative methods",,"Seawnght, J.; Northwestern University, Evanston, IL, United States",10659129,,,"Polit. Res. Q.",Article,"Final","",Scopus
"Rajan R.G., Zingales L.","7101892426;7004110147;","The great reversals: The politics of financial development in the twentieth century",2003,"Journal of Financial Economics","69","1",,"5","50",,1628,"10.1016/S0304-405X(03)00125-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037633994&doi=10.1016%2fS0304-405X%2803%2900125-9&partnerID=40&md5=ea7b6f91a0d1bfb29649e31bbc9d52df","Univ. of Chicago Grad. Sch. of Bus., 1101 E. 58th St., Chicago, IL 60637, United States","Rajan, R.G., Univ. of Chicago Grad. Sch. of Bus., 1101 E. 58th St., Chicago, IL 60637, United States; Zingales, L., Univ. of Chicago Grad. Sch. of Bus., 1101 E. 58th St., Chicago, IL 60637, United States","Capital flows; Financial development; Financial markets; Growth; Politics; Reversals; Trade",,"Rajan, R.G.; Univ. of Chicago Grad. Sch. of Bus., 1101 E. 58th St., Chicago, IL 60637, United States; email: raghuram.rajan@gsb.uchicago.edu",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","",Scopus
"Crossan M.M., Apaydin M.","6603856537;36191643500;","A multi-dimensional framework of organizational innovation: A systematic review of the literature",2010,"Journal of Management Studies","47","6",,"1154","1191",,1625,"10.1111/j.1467-6486.2009.00880.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955081689&doi=10.1111%2fj.1467-6486.2009.00880.x&partnerID=40&md5=99e46b505af6df3e95ca9759ea231fcf","Richard Ivey School of Business, The American University in Cairo, Egypt","Crossan, M.M., Richard Ivey School of Business, The American University in Cairo, Egypt; Apaydin, M., Richard Ivey School of Business, The American University in Cairo, Egypt",,,"Crossan, M.M.; Richard Ivey School of Business, London, N6A 3K7, Canada; email: mcrossan@ivey.ca",00222380,,,"J. Manage. Stud.",Article,"Final","",Scopus
