raw_source_title,issn,eissn,subject_areas
AAA - Arbeiten aus Anglistik und Amerikanistik,01715410,,Arts and Humanities; Social Sciences
AAC: Augmentative and Alternative Communication,07434618,14773848,Medicine; Health Professions
AACE Clinical Case Reports,,23760605,Medicine
AACL Bioflux,18448143,18449166,Agricultural and Biological Sciences; Environmental Science
AACN Advanced Critical Care,15597768,15597776,Medicine; Nursing
AACN clinical issues,10790713,15389812,Nursing
AACN clinical issues in critical care nursing,10467467,,Medicine
AANA Journal,00946354,21625239,Medicine; Nursing
AANNT journal / the American Association of Nephrology Nurses and Technicians,07441479,,Medicine
AAO Journal,23755776,23755717,Medicine; Nursing; Health Professions
AAOHN Journal,08910162,,Medicine; Nursing
AAPG Bulletin,01491423,,Earth and Planetary Sciences; Energy
AAPG Memoir,02718529,,Earth and Planetary Sciences
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",03650359,18251242,Agricultural and Biological Sciences; Arts and Humanities; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy
AAPPO journal : the journal of the American Association of Preferred Provider Organizations,10545913,,Medicine
AAPPS Bulletin,02182203,23094710,Physics and Astronomy
AAPS Advances in the Pharmaceutical Sciences Series,22107371,2210738X,"Pharmacology, Toxicology and Pharmaceutics"
AAPS Journal,15507416,,"Pharmacology, Toxicology and Pharmaceutics"
AAPS PharmSci,15221059,,"Pharmacology, Toxicology and Pharmaceutics"
AAPS PharmSciTech,,15309932,"Pharmacology, Toxicology and Pharmaceutics"
Aardkundige Mededelingen,02507803,,Earth and Planetary Sciences
AARN news letter,00010197,,Medicine
AAS History Series,07303564,,"Business, Management and Accounting"
AAS Open Research,,25159321,
AATCC Journal of Research,24723444,23305517,Chemical Engineering; Materials Science
AATCC Review,15328813,23305525,Chemical Engineering; Chemistry; Materials Science
AB bookman's weekly : for the specialist book world,00010340,,Medicine
Ab Imperio,21664072,21649731,Arts and Humanities; Social Sciences
ABA Bank Marketing,15397890,,"Business, Management and Accounting"
ABA Journal,07470088,,Social Sciences
ABAC Journal,08580855,,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Abacus,00013072,14676281,"Business, Management and Accounting"
ABB Review,10133119,,Engineering
Abbey Newsletter,02768291,,Chemical Engineering
Abdominal Imaging,09428925,14320509,Medicine; Health Professions
Abdominal Radiology,2366004X,23660058,Medicine; Health Professions
Aberdeen's Concrete Construction,10515526,,Engineering
Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,00255858,18658784,Mathematics
Abhandlungen der Senckenberg Gesellschaft fur Naturforschung,18680356,,Earth and Planetary Sciences; Environmental Science
Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,03657000,,Earth and Planetary Sciences; Environmental Science
Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,0174870X,,Medicine
aBIOTECH,20966326,26621738,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Aboriginal history,03148769,18379389,Arts and Humanities; Social Sciences
Abrasive Eng,00013277,,Engineering
Abrasives,00965995,,Engineering
Abriu,20148526,20148534,Arts and Humanities; Social Sciences
Abstract and Applied Analysis,10853375,16870409,Mathematics
Abstracta Botanica,01336215,,Agricultural and Biological Sciences
ABU Technical Review,01266209,,Engineering
ABWASSERTECH. ABFALLTECH.,03424022,,Medicine
ABWASSERTECHNIK,00013706,,Engineering
Academe,01902946,,Social Sciences
Academia (Greece),,22411402,Social Sciences
Academia Economic Papers,1018161X,18104851,"Economics, Econometrics and Finance"
Academia Peruana de Cirugia,00013854,,Medicine
Academia Revista Latinoamericana de Administracion,10128255,20565127,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
Academic Emergency Medicine,10696563,15532712,Medicine
Academic Forensic Pathology,,19253621,Medicine
Academic Journal of Cancer Research,19958943,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Academic Journal of Interdisciplinary Studies,22813993,22814612,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
Academic Journal of Manufacturing Engineering,15837904,,Engineering
Academic Journal of Naval Medical University,20971338,,Medicine
Academic Journal of Second Military Medical University,0258879X,,Medicine
Academic Journal of Xi'an Jiaotong University,16718267,,"Biochemistry, Genetics and Molecular Biology"
Academic Leadership,15337812,,"Business, Management and Accounting; Social Sciences"
Academic Medicine,10402446,1938808X,Social Sciences
Academic Nurse,10620249,,Nursing
Academic Pathology,,23742895,Medicine
Academic Pediatrics,18762859,18762867,Medicine
Academic Psychiatry,10429670,15457230,Medicine; Social Sciences
Academic Quarter,,19040008,Arts and Humanities
Academic Questions,08954852,19364709,Social Sciences
Academic Radiology,10766332,18784046,Medicine
Academica Turistica,18553303,23354194,"Business, Management and Accounting; Social Sciences"
"Academie des Sciences. Comptes Rendus. Serie 4: Physique, Astrophysique",12962147,,Physics and Astronomy
Academy of Accounting and Financial Studies Journal,10963685,15282635,"Business, Management and Accounting; Economics, Econometrics and Finance"
Academy of Banking Studies Journal,19392230,19392249,"Economics, Econometrics and Finance"
Academy of Entrepreneurship Journal,10879595,15282686,"Business, Management and Accounting; Economics, Econometrics and Finance"
Academy of Management Annals,19416520,19416067,"Business, Management and Accounting"
Academy of Management Discoveries,,21681007,"Business, Management and Accounting"
Academy of Management Executive,10795545,,"Business, Management and Accounting"
Academy of Management Journal,00014273,,"Business, Management and Accounting"
Academy of Management Learning and Education,1537260X,,"Business, Management and Accounting; Social Sciences"
Academy of Management Perspectives,15589080,,"Business, Management and Accounting"
Academy of Management Review,03637425,,"Business, Management and Accounting"
Academy of Marketing Studies Journal,10956298,15282678,"Business, Management and Accounting; Economics, Econometrics and Finance"
Academy of Strategic Management Journal,15441458,19396104,"Business, Management and Accounting"
Acadiensis,00445851,17127432,Arts and Humanities
Acarina,01328077,22215115,Agricultural and Biological Sciences
Acarologia,0044586X,21077207,Agricultural and Biological Sciences
ACC Cardiosource Review Journal,15568571,,Medicine; Nursing
ACC Current Journal Review,10621458,,Medicine; Nursing
Access Microbiology,,25168290,Immunology and Microbiology; Medicine
Access to Justice in Eastern Europe,26630575,26630583,Social Sciences
Accident Analysis and Prevention,00014575,18792057,Engineering; Medicine; Social Sciences
Accident and Emergency Nursing,09652302,,Medicine; Nursing
Accountability in Research,08989621,15455815,Social Sciences
Accounting,23697393,23697407,"Business, Management and Accounting; Pharmacology, Toxicology and Pharmaceutics"
Accounting and Business Research,00014788,21594260,"Business, Management and Accounting"
Accounting and Finance,08105391,1467629X,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting and the Public Interest,15309320,,"Business, Management and Accounting"
Accounting Education,09639284,14684489,"Business, Management and Accounting; Social Sciences"
Accounting Forum,01559982,14676303,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting Historians Journal,01484184,23274468,"Arts and Humanities; Business, Management and Accounting"
Accounting History,10323732,17493374,"Arts and Humanities; Business, Management and Accounting"
Accounting History Review,21552851,2155286X,"Arts and Humanities; Business, Management and Accounting"
Accounting Horizons,08887993,15587975,"Business, Management and Accounting"
Accounting in Europe,17449480,17449499,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting Perspectives,1911382X,19113838,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting Research Journal,10309616,,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting Review,00014826,15587967,"Business, Management and Accounting; Economics, Econometrics and Finance"
"Accounting, Auditing and Accountability Journal",09513574,,"Business, Management and Accounting; Economics, Econometrics and Finance"
"Accounting, Business and Financial History",09585206,14664275,"Business, Management and Accounting"
"Accounting, Economics and Law: A Convivium",,21522820,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
"Accounting, Finance, Sustainability, Governance and Fraud",25097873,25097881,"Business, Management and Accounting; Economics, Econometrics and Finance"
"Accounting, Management and Information Technologies",09598022,18737595,"Business, Management and Accounting; Computer Science; Social Sciences"
"Accounting, Organizations and Society",03613682,,"Business, Management and Accounting; Decision Sciences; Social Sciences"
Accounts of Chemical Research,00014842,15204898,Chemistry
Accounts of Materials Research,,26436728,Chemical Engineering; Materials Science
Accreditation and Quality Assurance,09491775,14320517,Chemical Engineering; Chemistry; Engineering; Physics and Astronomy
ACDI Anuario Colombiano de Derecho Internacional,20271131,21454493,Social Sciences
Acervo,0102700X,22378723,Arts and Humanities; Social Sciences
ACG Case Reports Journal,,23263253,Medicine
ACH - Models in Chemistry,12178969,,Chemistry
ACI Materials Journal,0889325X,,Engineering; Materials Science
ACI Structural Journal,08893241,,Engineering
ACIMED,10249435,15612880,Medicine; Health Professions
ACM Communications in Computer Algebra,19322232,19322240,Computer Science; Mathematics
ACM Computing Surveys,03600300,15577341,Computer Science; Mathematics
ACM Inroads,21532184,21532192,Computer Science; Social Sciences
ACM Journal on Educational Resources in Computing,15314278,,Computer Science
ACM Journal on Emerging Technologies in Computing Systems,15504832,15504840,Computer Science; Engineering
ACM SIGBED Review,,15513688,Computer Science; Engineering
ACM SIGPLAN Notices,15232867,15581160,Computer Science
ACM Transactions on Accessible Computing,19367228,,Computer Science
ACM Transactions on Algorithms,15496325,15496333,Mathematics
ACM Transactions on Applied Perception,15443558,15443965,Computer Science; Mathematics; Psychology
ACM Transactions on Asian and Low-Resource Language Information Processing,23754699,23754702,Computer Science
ACM Transactions on Asian Language Information Processing,15300226,15583430,Computer Science
ACM Transactions on Autonomous and Adaptive Systems,15564665,15564703,Computer Science; Engineering
ACM Transactions on Computation Theory,19423454,19423462,Computer Science; Mathematics
ACM Transactions on Computational Logic,15293785,1557945X,Computer Science; Mathematics
ACM Transactions on Computer Systems,07342071,15577333,Computer Science
ACM Transactions on Computer-Human Interaction,10730516,15577325,Computer Science
ACM Transactions on Computing Education,,19466226,Computer Science; Social Sciences
ACM Transactions on Computing for Healthcare,26911957,26378051,Computer Science; Engineering; Medicine; Health Professions
ACM Transactions on Cyber-Physical Systems,2378962X,23789638,Computer Science; Mathematics
ACM Transactions on Database Systems,03625915,15574644,Computer Science
ACM Transactions on Design Automation of Electronic Systems,10844309,15577309,Computer Science; Engineering
ACM Transactions on Economics and Computation,21678375,21678383,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
ACM Transactions on Evolutionary Learning and Optimization,2688299X,26883007,Computer Science
ACM Transactions on Graphics,07300301,15577368,Computer Science
ACM Transactions on Human-Robot Interaction,,25739522,Computer Science
ACM Transactions on Information and System Security,10949224,15577406,Computer Science; Engineering
ACM Transactions on Information Systems,10468188,15582868,"Business, Management and Accounting; Computer Science"
ACM Transactions on Intelligent Systems and Technology,21576904,21576912,Computer Science; Mathematics
ACM Transactions on Interactive Intelligent Systems,21606455,21606463,Computer Science
ACM Transactions on Internet of Things,25776207,,Computer Science
ACM Transactions on Internet Technology,15335399,15576051,Computer Science
ACM Transactions on Knowledge Discovery from Data,15564681,,Computer Science
ACM Transactions on Management Information Systems,2158656X,21586578,"Business, Management and Accounting; Computer Science"
ACM Transactions on Mathematical Software,00983500,15577295,Computer Science; Mathematics
ACM Transactions on Modeling and Computer Simulation,10493301,15581195,Computer Science; Mathematics
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,23763639,23763647,Computer Science; Engineering
"ACM Transactions on Multimedia Computing, Communications and Applications",15516857,15516865,Computer Science
ACM Transactions on Office Information Systems,07342047,,Engineering
ACM Transactions on Parallel Computing,23294949,23294957,Computer Science; Mathematics
ACM Transactions on Privacy and Security,24712566,24712574,Computer Science; Engineering
ACM Transactions on Programming Languages and Systems,01640925,,Computer Science
ACM Transactions on Quantum Computing,,26436817,Computer Science; Mathematics; Physics and Astronomy
ACM Transactions on Reconfigurable Technology and Systems,19367406,19367414,Computer Science
ACM Transactions on Sensor Networks,15504859,,Computer Science
ACM Transactions on Software Engineering and Methodology,1049331X,15577392,Computer Science
ACM Transactions on Spatial Algorithms and Systems,23740353,23740361,Computer Science; Mathematics
ACM Transactions on Speech and Language Processing,15504875,,Computer Science; Mathematics
ACM Transactions on Storage,15533077,,Computer Science
ACM Transactions on the Web,15591131,,Computer Science
ACME,14929732,14929732,Social Sciences
ACOG Clinical Review,10856862,,Medicine
ACOG committee opinion,1074861X,,Medicine
ACOG Current Journal Review,08971471,,
ACORN,14487535,,Nursing
Acotaciones,11307269,24443948,Arts and Humanities
Acoustic Research Letters Online,15297853,,Physics and Astronomy
Acoustical Physics,10637710,15626865,Physics and Astronomy
Acoustical Science and Technology,13463969,13475177,Physics and Astronomy
Acoustics,,2624599X,Physics and Astronomy
Acoustics Australia,08146039,18392571,Physics and Astronomy
Acoustics Bulletin,0308437X,,Physics and Astronomy
Acoustics Letters,01401599,,Physics and Astronomy
ACP journal club,10568751,15398560,Medicine
Acque Sotterranee - Italian Journal of Groundwater,1828454X,22806458,Earth and Planetary Sciences; Environmental Science
Acquisitions Librarian,08963576,1544435X,Social Sciences
ACR Open Rheumatology,,25785745,Medicine
ACRN Journal of Finance and Risk Perspectives,,23057394,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
Acrocephalus,03512851,,Agricultural and Biological Sciences
Across Languages and Cultures,15851923,15882519,Arts and Humanities; Social Sciences
ACS Agricultural Science and Technology,,26921952,Agricultural and Biological Sciences
ACS Applied Bio Materials,,25766422,Chemistry; Engineering; Materials Science; Medicine
ACS Applied Electronic Materials,,26376113,Chemistry; Materials Science
ACS Applied Energy Materials,,25740962,Chemical Engineering; Chemistry; Energy; Engineering; Materials Science
ACS Applied Materials and Interfaces,19448244,19448252,Materials Science
ACS Applied Nano Materials,,25740970,Materials Science
ACS Applied Optical Materials,,27719855,Chemistry; Materials Science; Physics and Astronomy
ACS Applied Polymer Materials,,26376105,Chemical Engineering; Chemistry; Materials Science
ACS Bio and Med Chem Au,,26942437,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
ACS Biomaterials Science and Engineering,,23739878,Engineering; Materials Science
ACS Catalysis,,21555435,Chemical Engineering; Chemistry
ACS Central Science,23747943,23747951,Chemical Engineering; Chemistry
ACS Chemical Biology,15548929,15548937,"Biochemistry, Genetics and Molecular Biology"
ACS Chemical Health and Safety,18715532,18780504,Chemical Engineering; Chemistry; Medicine
ACS Chemical Neuroscience,,19487193,"Biochemistry, Genetics and Molecular Biology; Neuroscience"
ACS Combinatorial Science,21568952,21568944,Chemistry
ACS Earth and Space Chemistry,,24723452,Earth and Planetary Sciences
ACS Energy Letters,,23808195,Chemistry; Energy; Materials Science
ACS Environmental Au,,26942518,Environmental Science
ACS ES and T Engineering,,26900645,Chemical Engineering; Environmental Science
ACS ES and T Water,,26900637,Chemical Engineering; Chemistry; Environmental Science
ACS Food Science and Technology,,26921944,Agricultural and Biological Sciences; Chemistry
ACS Infectious Diseases,,23738227,Medicine
ACS Macro Letters,,21611653,Chemistry; Materials Science
ACS Materials Au,,26942461,Materials Science
ACS Materials Letters,,26394979,Chemical Engineering; Engineering; Materials Science
ACS Measurement Science Au,,2694250X,Chemistry
ACS Medicinal Chemistry Letters,,19485875,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
ACS Nano,19360851,1936086X,Engineering; Materials Science; Physics and Astronomy
ACS Nanoscience Au,,26942496,Chemistry; Materials Science
ACS Omega,,24701343,Chemical Engineering; Chemistry
ACS Organic and Inorganic Au,,2694247X,Chemistry
ACS Pharmacology and Translational Science,,25759108,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
ACS Photonics,,23304022,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science; Physics and Astronomy"
ACS Physical Chemistry Au,,26942445,Chemistry; Computer Science
ACS Polymers Au,,26942453,Chemical Engineering; Chemistry; Materials Science
ACS Sensors,,23793694,Chemical Engineering; Physics and Astronomy
ACS Sustainable Chemistry and Engineering,,21680485,Chemical Engineering; Chemistry; Energy; Environmental Science
ACS Symposium Series,00976156,19475918,Chemical Engineering; Chemistry
ACS Synthetic Biology,,21615063,"Biochemistry, Genetics and Molecular Biology; Engineering"
ACSM Bulletin,07479417,,Earth and Planetary Sciences; Environmental Science
ACSM's Health and Fitness Journal,10915397,1536593X,Medicine; Health Professions
Acta - Unio Internationalis Contra Cancrum,03653056,,Medicine
Acta Academiae Artium Vilnensis,13920316,,Arts and Humanities
Acta Academiae Medicinae Hubei,1000243X,,Medicine
Acta Academiae Medicinae Primae Shanghai,02533650,,Medicine
Acta Academiae Medicinae Sichuan,02534290,,Medicine
Acta Academiae Medicinae Sinicae,1000503X,,Medicine
Acta Academiae Medicinae Wuhan,02533316,,Chemical Engineering
Acta Academica,05872405,,Arts and Humanities; Social Sciences
Acta Acustica,10224793,26814617,Arts and Humanities; Computer Science; Engineering; Physics and Astronomy; Health Professions
Acta Acustica united with Acustica,16101928,18619959,Arts and Humanities; Physics and Astronomy
Acta ad Archaeologiam et Artium Historiam Pertinentia,00650900,,Arts and Humanities; Social Sciences
Acta Adriatica,00015113,18460453,Earth and Planetary Sciences
Acta Agrestia Sinica,10070435,,Agricultural and Biological Sciences; Environmental Science
ACTA AGRIC. SCAND.,00015121,,Agricultural and Biological Sciences; Veterinary
Acta Agriculturae Scandinavica - Section A: Animal Science,09064702,16511972,Agricultural and Biological Sciences; Veterinary
Acta Agriculturae Scandinavica - Section B Soil and Plant Science,09064710,16511913,Agricultural and Biological Sciences
Acta Agriculturae Slovenica,15819175,18541941,Agricultural and Biological Sciences; Environmental Science
Acta Agrobotanica,00650951,2300357X,Agricultural and Biological Sciences
Acta Agronomica,01202812,23230118,Agricultural and Biological Sciences
Acta Agronomica Hungarica,02380161,15882527,Agricultural and Biological Sciences
Acta Agronomica Sinica,18752780,,Agricultural and Biological Sciences
Acta Agronomica Sinica(China),04963490,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Acta Alimentaria,01393006,15882535,Agricultural and Biological Sciences
Acta Allergologica,00015148,,Medicine
Acta allergologica. Supplementum,0065096X,,Medicine
Acta Amazonica,00445967,,Agricultural and Biological Sciences
Acta anaesthesiologica,00015156,,Medicine
Acta Anaesthesiologica Belgica,00015164,,Medicine
Acta Anaesthesiologica Italica,03744965,,Medicine
Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy,11248882,,Medicine
Acta Anaesthesiologica Scandinavica,00015172,13996576,Medicine
"Acta Anaesthesiologica Scandinavica, Supplement",05152720,,Medicine
Acta Anaesthesiologica Sinica,02541319,,Medicine
Acta Anaesthesiologica Taiwanica,18754597,1875452X,Medicine
Acta Analytica,03535150,18746349,Arts and Humanities
Acta Anatomica,00015180,,Medicine
Acta Anatomica Sinica,05291356,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta Angiologica,1234950X,16443276,Medicine
Acta Antiqua Academiae Scientiarum Hungaricae,00445975,15882543,Arts and Humanities; Social Sciences
Acta Applicandae Mathematicae,01678019,15729036,Mathematics
Acta Arachnologica,00015202,,Agricultural and Biological Sciences
Acta Archaeologica,0065101X,16000390,Arts and Humanities; Social Sciences
Acta Archaeologica Academiae Scientiarum Hungaricae,00015210,15882551,Arts and Humanities; Social Sciences
Acta Archaeologica Lodziensia,00650986,24510300,Arts and Humanities; Social Sciences
Acta Arithmetica,00651036,17306264,Mathematics
Acta Asiatica Varsoviensia,08606102,24498653,Arts and Humanities; Social Sciences
Acta Astronautica,00945765,,Engineering
Acta Astronomica,00015237,,Earth and Planetary Sciences; Physics and Astronomy
Acta Baltica Historiae et Philosophiae Scientiarum,22282009,22282017,Arts and Humanities
Acta Baltico-Slavica,00651044,23922389,Arts and Humanities; Social Sciences
Acta Belgica de Arte Medicinali et Pharmaceutica Militari,04003977,,Medicine
Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae,07760353,,Medicine
Acta Belgica Medica Physica,07715684,,Medicine
Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae,00015253,,Medicine
Acta Biochimica et Biophysica Hungarica,02376261,,"Biochemistry, Genetics and Molecular Biology"
Acta Biochimica et Biophysica Sinica,16729145,17457270,"Biochemistry, Genetics and Molecular Biology"
Acta Biochimica Polonica,0001527X,1734154X,"Biochemistry, Genetics and Molecular Biology"
Acta Bioethica,07175906,1726569X,Medicine; Social Sciences
Acta biologiae experimentalis,03650820,,Medicine
Acta Biologica Academiae Scientiarum Hungaricae,00015288,,Agricultural and Biological Sciences
Acta Biologica Benrodis,01779214,,Earth and Planetary Sciences; Environmental Science
Acta Biologica Colombiana,0120548X,19001649,Agricultural and Biological Sciences
Acta Biologica Cracoviensia Series Botanica,00015296,18980295,Agricultural and Biological Sciences
Acta Biologica Cracoviensia Series Zoologia,0001530X,,Agricultural and Biological Sciences
Acta Biologica et Medica Germanica,00015318,,Medicine
Acta Biologica Hungarica,02365383,1588256X,"Biochemistry, Genetics and Molecular Biology; Environmental Science; Neuroscience"
Acta Biologica Sibirica,,24121908,Agricultural and Biological Sciences; Environmental Science
Acta Biologica Slovenica,,18543073,Agricultural and Biological Sciences
Acta Biologica Szegediensis,1588385X,15884082,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Acta Biologica Universitatis Daugavpiliensis,14078953,,Agricultural and Biological Sciences
Acta Biomaterialia,17427061,18787568,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
Acta Biomedica,03924203,25316745,Medicine
Acta Biomedica Scientifica,25419420,25879596,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Acta Bioquimica Clinica Latinoamericana,03252957,,"Biochemistry, Genetics and Molecular Biology"
Acta Biotechnologica,01384988,,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
Acta Biotheoretica,00015342,15728358,"Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Environmental Science; Mathematics"
Acta Borealia,08003831,1503111X,Arts and Humanities; Social Sciences
Acta Botanica Brasilica,01023306,1677941X,Agricultural and Biological Sciences
Acta Botanica Croatica,03650588,18478476,Agricultural and Biological Sciences
Acta Botanica Fennica,00015369,,Agricultural and Biological Sciences
Acta Botanica Gallica,12538078,,Agricultural and Biological Sciences
Acta Botanica Hungarica,02366495,15882578,Agricultural and Biological Sciences
Acta Botanica Malacitana,02109506,,Earth and Planetary Sciences; Environmental Science
Acta Botanica Mexicana,01877151,24487589,Agricultural and Biological Sciences
Acta Botanica Neerlandica,00445983,,Agricultural and Biological Sciences
Acta Botanica Sinica,05777496,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Acta Botanica Venezuelica,00845906,24434264,Agricultural and Biological Sciences
"Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a",03650766,,Medicine
Acta Cardiologica,00015385,03737934,Medicine
Acta Cardiologica Sinica,10116842,,Medicine
Acta Cardiomiologica,11248874,,Medicine
Acta Carsologica,05836050,15802612,Earth and Planetary Sciences
Acta Chemica Scandinavica,0904213X,,Chemical Engineering
Acta chemica Scandinavica,00015393,,Medicine
Acta chemica Scandinavica. Series A: Physical and inorganic chemistry,03024377,,Medicine
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry,03024369,,Medicine
Acta Chimica Academiae Scientiarum Hungaricae,00015407,,Medicine
Acta Chimica Hungarica,02313146,,Chemistry
Acta Chimica Sinica,05677351,,Chemistry
Acta Chimica Sinica English Edition,02567660,,Chemistry
Acta Chimica Slovenica,13180207,15803155,Chemistry
Acta Chiropterologica,15081109,,Agricultural and Biological Sciences
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,00015415,,Medicine
Acta Chirurgiae Plasticae,00015423,18054404,Medicine
Acta Chirurgica Academiae Scientiarum Hungaricae,00015431,,Medicine
Acta Chirurgica Austriaca,0001544X,15632563,Medicine
Acta Chirurgica Belgica,00015458,,Medicine
Acta Chirurgica Hungarica,02314614,,Medicine
Acta Chirurgica Italica,00015466,,Medicine
Acta chirurgica Iugoslavica,0354950X,,Medicine
Acta chirurgica Patavina,03906892,,Medicine
Acta Chirurgica Scandinavica,00015482,,Medicine
"Acta Chirurgica Scandinavica, Supplement",03011860,,Medicine
Acta Chromatographica,12332356,20835736,Chemistry
Acta Cientifica Venezolana,00015504,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
Acta Cirurgica Brasileira,01028650,,Medicine
Acta Classica,00651141,,Arts and Humanities
Acta Classica Universitatis Scientiarum Debreceniensis,0418453X,27323390,Arts and Humanities
Acta Clinica Belgica,17843286,22953337,Medicine
Acta clinica Belgica. Supplementum,05677386,,Medicine
Acta Clinica Croatica,03539466,13339451,Medicine
"Acta Clinica Croatica, Supplement",03539474,,Medicine
Acta Colombiana de Cuidado Intensivo,01227262,27730697,Medicine; Nursing
Acta Colombiana de Psicologia,01239155,19099711,Medicine; Psychology
Acta Comeniana,02315955,,Arts and Humanities; Social Sciences
Acta Commercii,24131903,16841999,"Business, Management and Accounting"
Acta Comportamentalia,01888145,,Psychology; Social Sciences
Acta Conventus Neo-Latini,22126007,,Arts and Humanities
Acta Criminologiae et Medicinae Legalis Japonica,03020029,,Medicine
Acta Crystallographica,0365110X,,Earth and Planetary Sciences; Environmental Science
