authors_raw,author_full_names,author_ids_raw,document_title_raw,year,source_title_raw,volume,issue,scopus_art_no,page_start,page_end,global_citation_count,doi,link,affiliations,authors_with_affiliations,abstract_raw,author_keywords_raw,index_keywords_raw,funding_details,funding_texts,global_references_raw,correspondence_address,editors,publisher,sponsors,conference_name,conference_date,conference_location,conference_code,issn,isbn,coden,language,source_title_abbr,document_type_raw,publication_stage,open_access,source,eid,author_ids,authors
"Kim, J.J.; Hong, S.P.","Kim, Jaejung (42661476600); Hong, Sengphil (8552893500)",42661476600; 8552893500,Design of a secure biometric authentication framework using PKI and FIDO in fintech environments,2016,International Journal of Security and its Applications,10,12,,69.0,80.0,2,10.14257/ijsia.2016.10.12.07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018207827&doi=10.14257%2Fijsia.2016.10.12.07&partnerID=40&md5=5125223854f55fcda04a1640cad15007,"Department of Computer Science, Sungshin Women's University, Seoul, South Korea","Kim, Jaejung, Department of Computer Science, Sungshin Women's University, Seoul, South Korea; Hong, Sengphil, Department of Computer Science, Sungshin Women's University, Seoul, South Korea","It goes without saying that the use of FIDO based services, especially financial areas is becoming more and more widespread these days. FIDO services are adapting a variety of service areas such as easy payment, money transfer, ATM withdrawal/savings, and single sign-on, etc. Because FIDO service uses standard public key cryptography techniques to provide stronger authentication and securely saves a user's bio-information in the smartphone. But when registered, FIDO only confirms the match between pre-enrolled fingerprints and the one on the registration process. In other words, FIDO is not able to verify the person's identity. The user has to register his/her biometric information in each sites. It is our purpose to solve these problems by implementing FIDO and PKI technologies adapted in current FIDO service and accredited certification system. The proposed secure biometric authentication framework provides the centralized biometric authentication framework in Fintech environment that a variety of services need the interoperability of user's biometric information in order to protect user's privacy and increase convenience of customers. © 2016 SERSC.",Biometric authentication; FIDO(Fast Identity Online); PKI(Public Key Infrastructure),Authentication; Biometrics; Interoperability; Public key cryptography; Bioinformation; Biometric authentication; Biometric informations; Certification systems; FIDO(Fast Identity Online); Money transfers; Public key infrastructure; Registration process; Cryptography,,,"Kim, Yonghee, The adoption of mobile payment services for “fintech”, International Journal of Applied Engineering Research, 11, 2, pp. 1058-1061, (2016); International Journal of U and E Service Science and Technology, (2016); Stokkenes, Martin, Biometric authentication protocols on smartphones - An overview, ACM International Conference Proceeding Series, 20-22-July-2016, pp. 136-140, (2016); Passwordless Authentication Technology Fido, (2014); Datenschutz Und Datensicherheit Dud, (2014); Kim, Geonlyang, Secure user authentication based on the trusted platform for mobile devices, Eurasip Journal on Wireless Communications and Networking, 2016, 1, (2016); Thiemann, Todd, Picking the right path to mobile biometric authentication, Biometric Technology Today, 2016, 2, pp. 5-8, (2016); Fido Alliance, (2014); Kim, Jaejung, A study on the accredited certification system without password using FIDO(Fast identity online), International Journal of Applied Engineering Research, 10, 13, pp. 33617-33619, (2015); undefined",,,Science and Engineering Research Support Society ijbsbt@sersc.org,,,,,,17389976,,,English,Int. J. Secur. Appl.,Article,Final,,Scopus,2-s2.0-85018207827,42661476600; 8552893500,Kim; J.J.; Hong; S.P.
"Kim, K.; Hong, S.P.","Kim, Kyongjin (42661469500); Hong, Sengphil (8552893500)",42661469500; 8552893500,The data processing approach for preserving personal data in fintech-driven paradigm,2016,International Journal of Security and its Applications,10,10,,341.0,350.0,6,10.14257/ijsia.2016.10.10.30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995970191&doi=10.14257%2Fijsia.2016.10.10.30&partnerID=40&md5=8d9fde12788be9b3e93a46cf823b405e,"School of Information Technology, Sungshin Women's University, Seoul, South Korea","Kim, Kyongjin, School of Information Technology, Sungshin Women's University, Seoul, South Korea; Hong, Sengphil, School of Information Technology, Sungshin Women's University, Seoul, South Korea","FinTech-driven paradigm shift in financial service poses challenges for financial sector in balancing the potential benefits of development with the potential risks. It is difficult to detect as advanced threats, so the extent of the damage cannot be foreseen in the financial sector. In this paper, we suggest the approach based on trust about processing data including personally identifiable information for preserving and protecting in the environment using FinTech. © 2016 SERSC.",Financial technology; FinTech; Preserving personal information,Finance; Financial sectors; Financial service; FinTech; Paradigm shifts; Personal information; Personally identifiable information; Potential benefits; Processing approach; Data handling,,,"Chishti, Susanne, Preface, pp. viii-ix, (2016); Nfc Based Mobile Payments, (2015); Journal of Convergence Society for Smb, (2015); New Trends in Payment Security Nfc and Mobile Payments, (2016); A Taxonomy of User Authentication Methods, (2014); Statistic Portal Average Value of Investment in Fintech Worldwide from 2011 to 2014 by Round Statista, (2016); Research and Implications of Payment Behavior for Korea in 2014 Report on Payment and Settlement, (2015); Detecting Malicious Data Injections in Wireless Sensor Networks A Survey ACM Computing Surveys Csur, (2015); Elwell, Jesse, Rethinking memory permissions for protection against cross-layer attacks, ACM Transactions on Architecture and Code Optimization, 12, 4, (2015); Mousheimish, Raef, Towards smart logistics processes: A predictive monitoring and proactive adaptation approach, ACM International Conference Proceeding Series, 24-26-August-2015, pp. 169-170, (2015)","K. Kim; School of Information Technology, Sungshin Women's University, South Korea; email: kyongjin@sungshin.ac.kr",,Science and Engineering Research Support Society ijbsbt@sersc.org,,,,,,17389976,,,English,Int. J. Secur. Appl.,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84995970191,42661469500; 8552893500,Kim; K.; Hong; S.P.
"Schueffel, P.","Schueffel, Patrick (56433408100)",56433408100,Taming the beast: A scientific definition of fintech,2016,Journal of Innovation Management,4,4,,32.0,54.0,389,10.24840/2183-0606_004.004_0004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112600472&doi=10.24840%2F2183-0606_004.004_0004&partnerID=40&md5=cbe26ff990caa364fd5061690f8f5a9f,"Hochschule für Wirtschaft Fribourg, Fribourg, Switzerland","Schueffel, Patrick, Hochschule für Wirtschaft Fribourg, Fribourg, Switzerland","There is currently no consensus about what the term Fintech means. This paper explores the complexity of Fintech, and attempts a definition, drawn from a process of reviewing more than 200 scholarly articles referencing the term Fintech and covering a period of more than 40 years. The objective of this study is to offer a definition which is distinct as well as succinct in its communication, yet sufficiently broad in its range of application. As the origins of the term can neither be unequivocally placed in academia nor in practice, the definition concentrates on extracting out the quintessence of Fintech using both spheres. Applying semantic analysis and building on the commonalities of 13 peerreviewed definitions of the term, it is concluded that Fintech is a new financial industry that applies technology to improve financial activities. The implications as well as the shortcomings of this definition are discussed. © 2021 Journal of Innovation Management. All rights reserved.",Banking; Financial institution; Financial services; Innovation; Research; Technology; Terminology,,,,"Ein Groteil Der Deutschen Kann Mit Dem Begriff Fintech Noch Nichts Anfangen, (2017); Evolution of Fintech A New Post Crisis Paradigm, (2015); Fintech Report Fintech Hk, (2014); Baregheh, Anahita, Towards a multidisciplinary definition of innovation, Management Decision, 47, 8, pp. 1323-1339, (2009); Interfaces, (1972); Outline of Linguistic Analysis, (1942); Semantics Studies in the Science of Meaning, (1900); Brown, James Robert, What is a definition?, Foundations of Science, 3, 1, pp. 111-132, (1998); Pwc Singapore Launches Venture Hub to Connect Entrepreneurs Investors, (2016); Chishti, Susanne, Preface, pp. viii-ix, (2016)","P. Schueffel; Hochschule für Wirtschaft Fribourg, Switzerland; email: patrick.schueffel@hefr.ch",,Universidade do Porto - Faculdade de Engenharia,,,,,,,,,English,J. Innov. Manag.,Review,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85112600472,56433408100,Schueffel; P.
"Barberis, J.; Arner, D.W.","Barberis, Janos N. (57192695507); Arner, Douglas W. (15046436800)",57192695507; 15046436800,FinTech in China: From shadow banking to P2P lending,2016,New Economic Windows,,,,69.0,96.0,13,10.1007/978-3-319-42448-4_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007470960&doi=10.1007%2F978-3-319-42448-4_5&partnerID=40&md5=eebcb4e1be0f76777f759bd0c467dbb3,"Faculty of Law, The University of Hong Kong, Hong Kong, Hong Kong; Faculty of Law, The University of Hong Kong, Hong Kong, Hong Kong","Barberis, Janos N., Faculty of Law, The University of Hong Kong, Hong Kong, Hong Kong, ; Arner, Douglas W., Faculty of Law, The University of Hong Kong, Hong Kong, Hong Kong","In 1978 China Financial sector has began a gradual reform process. Within 40 years the country went from a mono-bank model to one composed of hundreds of wholly-owned State banks and joint stock commercial banks. Yet this diversification has the banking landscape has not resolves credit allocation inefficiency. Indeed, whilst SME represent 80 % of the economic output of the country, it is only receiving 20 % of the credit originated by banks. This has spurred the development of shadow banking, an informal and unregulated network of lenders and borrowers. The emergence of Financial Technology has allowed for this activity digitized itself in the form of Peer-to-peer lending channel. The combination of and unregulated market and large credit gap has lead to the emergence of a sector that had only one platform in 2007 and over 2000 in 2015. Therefore the author submit that the emergence of the P2P sector in China is neither new, nor unexpected. Ultimately, this systemic shift caused by the P2P sector offers China a regulatory and market reform opportunity as the shadow has been brought to the light. © Springer International Publishing Switzerland 2016.",China; Financial globalization; Financial innovation; Financial regulation; Financial technology; FinTech; RegTech; Regulatory technology,,,,"Palgrave Macmillan Studies in Banking and Financial Institutions, (2011); Tsinghua China Law Review, (2015); China Development Bank Cdb and the China Exim Bank Ceb; Congressional Research Service Report, (2012); China A New Stage of Development for an Emerging Superpower, (2012); Arner, Douglas W., Financial stability, economic growth, and the role of law, pp. 1-344, (2007); Martin, Michael F., China's banking system: Issues for congress, pp. 1-62, (2012); Rise of the Peoples Bank of China the Politics of Institutional Change, (2013); A Crack in the Great Wall Too Big to Fail Them A Societal Perspective; Chinas Banking System Issues for Congress, (2012)","J. Barberis; Asian Institute of International Financial Law, Faculty of Law, University of Hong Kong, Hong Kong; email: janos@fintech.hk",,Springer-Verlag Italia s.r.l. springer@springer.it,,,,,,2039411X,9788847017771; 9788847002791; 9788847010826; 9788847025523; 9788847007246; 9788847005334; 9788847017658; 9788847015005; 9788847019706; 9788847006645,,English,New Econ. Windows,Article,Final,,Scopus,2-s2.0-85007470960,57192695507; 15046436800,Barberis; J.; Arner; D.W.
"Chishti, S.","Chishti, Susanne (57192701330)",57192701330,How peer to peer lending and crowdfunding drive the fintech revolution in the UK,2016,New Economic Windows,,,,55.0,68.0,31,10.1007/978-3-319-42448-4_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007448316&doi=10.1007%2F978-3-319-42448-4_4&partnerID=40&md5=0d8d564684ee25c1470108665637cda3,,"Chishti, Susanne, ","An overview of the booming alternative finance sector in the UK which generated more than £3.2 billion in investments and loans in 2015, an increase of more than 80 % over 2014. Susanne Chishti, CEO of FINTECH Circle describes the business models and drivers behind the industry’s success and highlights UK’s leading peer to peer lending and crowdfunding platforms. © Springer International Publishing Switzerland 2016.",Alternative finance; Alternative lending; Crowdfunding; FinTech; Peer to Peer - P2P; UK P2P Platforms,,,,,"S. Chishti; FINTECH Circle, London, United Kingdom; email: info@FINTECHCircle.com",,Springer-Verlag Italia s.r.l. springer@springer.it,,,,,,2039411X,9788847017771; 9788847002791; 9788847010826; 9788847025523; 9788847007246; 9788847005334; 9788847017658; 9788847015005; 9788847019706; 9788847006645,,English,New Econ. Windows,Article,Final,,Scopus,2-s2.0-85007448316,57192701330,Chishti; S.
"Li, E.Y.; Li, J.P.","Li, Eldon Y. (7201410120); Li, Jong Peir (57191375820)",7201410120; 57191375820,Information security challenges in the new era of Fintech,2016,Proceedings of the International Conference on Electronic Business (ICEB),,,,367.0,373.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021760302&partnerID=40&md5=425f9445cd967eafcab4ebdee200e162,"National Chengchi University, Taipei, Taiwan","Li, Eldon Y., National Chengchi University, Taipei, Taiwan; Li, Jong Peir, National Chengchi University, Taipei, Taiwan","After the recent cyber-attacks on financial institutions around the world, we are faced with a whole new set of challenges never seen before. Traditionally, fraud and theft were conducted in person or through traditional telecommunications such as telephone. However, today we are facing highly sophisticated and intelligent hackers who have the ability to illegally access financial institutions' computer systems from remote locations and even across borders. Therefore, this study will focus on reviewing the information security framework by adopting up-to-date standards as the way to counter financial information theft.",Cyberattack; Fintech; Hacker; Information Security System,Crime; Electronic commerce; Finance; Network security; Personal computing; Security of data; Cyber-attacks; Financial information; Financial institution; Fintech; Hacker; Remote location; Computer crime,,,"Generic Tasks in Knowledge Based Reasoning High Level Building Blocks for Expert System Design IEEE Expert, (1986); Raychaudhuri, Dipankar, WirelessATM networks: Architecture, system design and prototyping, IEEE Personal Communications, 3, 4, pp. 42-49, (1996); North Carolina Banking Institute, (2016); Bitcoin A Peer to Peer Electronic Cash System, (2008)",,"Peng, L.",CEUR-WS,,"16th International Conference on Electronic Business, ICEB 2016",2016-12-04 through 2016-12-08,Xiamen,128172.0,16830040,,,English,Proc. Int. Conf. Electron. Bus. (ICEB),Conference paper,Final,,Scopus,2-s2.0-85021760302,7201410120; 57191375820,Li; E.Y.; Li; J.P.
"Kabakova, O.; Plaksenkov, E.; Korovkin, V.","Kabakova, Oksana Vasilyevna (57191976669); Plaksenkov, Evgeny (57191970446); Korovkin, Vladimir (57191983212)",57191976669; 57191970446; 57191983212,Strategizing for Financial Technology Platforms: Findings from Four Russian Case Studies,2016,Psychology and Marketing,33,12,,1106.0,1111.0,9,10.1002/mar.20945,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995685056&doi=10.1002%2Fmar.20945&partnerID=40&md5=ac37d37e5a6b74813d26da6da2798077,"Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation","Kabakova, Oksana Vasilyevna, Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation; Plaksenkov, Evgeny, Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation; Korovkin, Vladimir, Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation","This article studies the business strategy of digital financial platforms and creation of ecosystems. The authors assume the general methodological approach of grounded theory to study four cases of financial technology platforms from Russia; the sample represents companies focusing both on solutions for the front end (consumers) and back end (middle of the value chain). The research finds that the top executives of the companies, which create and operate the digital platforms, have an approach to business strategy that is significantly different from that of the traditional business. They defy the pragmatism of predicting the market development and planning the company's actions in accordance with such predictions. Strategic paradigm of these companies is based on the notions of inclusivity, dynamism, and reliance on independent participants of a business ecosystem. Though a radical departure from the traditional business strategy, such an approach has brought demonstrable business success across the time span of a decade. The idea of “platform–ecosystem” can also be fruitful as a tool of solving important socioeconomic issues such as financial inclusion in the emerging markets. © 2016 Wiley Periodicals, Inc.",,,,,"International Proceedings of Economics Development and Research, (2012); Harvard Business Review, (2013); Cgd Policy Paper, (2015); Statistics of National Payment System, (2015); Grounded Theory Methodology an Overview, (1994); Handbook of Qualitative Research, (1994); Academy of Management Review, (1989); Eisenhardt, Kathleen M., Theory building from cases: Opportunities and challenges, Academy of Management Journal, 50, 1, pp. 25-32, (2007); Grounded Theory Core Elements Part 1, (2010); Strategies for Qualitative Research, (1967)","O. Kabakova; Moscow School of Management Skolkovo, Russian Federation; email: Oksana_kabakova@skolkovo.ru",,Wiley-Liss Inc. info@wiley.com,,,,,,07426046,,,English,Psychol. Mark.,Article,Final,,Scopus,2-s2.0-84995685056,57191976669; 57191970446; 57191983212,Kabakova; O.; Plaksenkov; E.; Korovkin; V.
"Shim, Y.; Shin, D.-H.","Shim, Yongwoon (9133116700); Shin, Donghee (16242424900)",9133116700; 16242424900,Analyzing China's Fintech Industry from the Perspective of Actor-Network Theory,2016,Telecommunications Policy,40,2-3,,168.0,181.0,206,10.1016/j.telpol.2015.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959532055&doi=10.1016%2Fj.telpol.2015.11.005&partnerID=40&md5=5b7b55834e783c8264f9e2c83f826644,"SK Telecom Co., Ltd., Seoul, South Korea; Sungkyunkwan University, Seoul, South Korea","Shim, Yongwoon, SK Telecom Co., Ltd., Seoul, South Korea; Shin, Donghee, Sungkyunkwan University, Seoul, South Korea","The rapid development of information and communications technology is transforming the entire industry landscape, heralding a new era of convergence services. As one of the developing countries in the financial sector, China is experiencing an unprecedented level of convergence between finance and technology. This study applies the lens of actor-network theory (ANT) to conduct a multi-level analysis of the historical development of China's financial technology (fintech) industry. It attempts to elucidate the process of building and disrupting a variety of networks comprising heterogeneous actors involved in the newly emerging convergence industry. This research represents a stepping stone in exploring the interaction between fintech and its yet unfolding social and political context. It also discusses policy implications for China's fintech industry, focusing on the changing role of the state in fostering the growth of national industry within and outside of China. © 2015 Elsevier Ltd.",Actor network theory; Chinese telecom; Fintech industry; Internet-based service,Developing countries; Finance; Internet; Public policy; Actor network theory; Convergence services; Historical development; Information and communications technology; Internet-based services; Multi-level analysis; Policy implications; Telecom; Social sciences computing,"Ministry of Science, ICT and Future Planning, MSIP; Institute for Information and Communications Technology Promotion, IITP","This work was supported by the ICT R&D program of MSIP/IITP. [B0101-15-247, Development of open ICT healing platform using personal health data.","Accenture Consulting, (2014); Fintech Report Fintech Hk, (2014); Internet Companies often Fail, (2010); Power Action and Belief A New Sociology of Knowledge, (1986); Year of 2005 A Critical Year for Developing Electronic Commerce in China, (2011); China Spurs Growth of Online and Mobile Payments but Foreign Firms Still Blocked, (2013); No 1 Risk for Investing in Alibaba is Chinese Politics, (2014); International Law and Politics, (2006); China Boots Up an Internet Banking Industry, (2015); Brief Review on the Development of China S Payment System, (2015)","D.-H. Shin; Sungkyunkwan University, 90327 International Hall, Seoul, Sungkyunkwan-ro 25-2, South Korea; email: dshin@skku.edu",,Elsevier Ltd,,,,,,03085961,,TEPOD,English,Telecommun Policy,Article,Final,,Scopus,2-s2.0-84959532055,9133116700; 16242424900,Shim; Y.; Shin; D.-H.
"Paul, S.; Rudolph, B.; Zech, S.; Oehler, A.; Horn, M.; Wendt, S.; Jentzsch, N.","Paul, Stephan (24484030800); Rudolph, Bernd (23670727000); Zech, Sarah (56644455800); Oehler, Andreas (59058428500); Horn, Matthias (57189574542); Wendt, Stefan (57160808400); Jentzsch, Nicola (25027670000)",24484030800; 23670727000; 56644455800; 59058428500; 57189574542; 57160808400; 25027670000,New financial technologies - banking market in motion; Neue finanztechnologien - bankenmarkt in bewegung,2016,Wirtschaftsdienst,96,9,,631.0,647.0,2,10.1007/s10273-016-2028-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988649091&doi=10.1007%2Fs10273-016-2028-7&partnerID=40&md5=fc965dd6b9f25fdfcb977afa903eae22,"Lehrstuhl für Finanzierung und Kreditwirtschaft, Ruhr-Universitat Bochum, Bochum, Nordrhein-Westfalen, Germany; c/o SBS Treuhand GmbH, Ludwig-Maximilians-Universität München, Munich, Bayern, Germany; GSK Stockmann and Kollegen, Munich, Germany; Universität Bamberg, Bamberg, Bayern, Germany; School of Business, Reykjavík University, Reykjavik, Iceland; German Institute for Economic Research, Berlin, Germany","Paul, Stephan, Lehrstuhl für Finanzierung und Kreditwirtschaft, Ruhr-Universitat Bochum, Bochum, Nordrhein-Westfalen, Germany; Rudolph, Bernd, c/o SBS Treuhand GmbH, Ludwig-Maximilians-Universität München, Munich, Bayern, Germany; Zech, Sarah, GSK Stockmann and Kollegen, Munich, Germany; Oehler, Andreas, Universität Bamberg, Bamberg, Bayern, Germany; Horn, Matthias, Universität Bamberg, Bamberg, Bayern, Germany; Wendt, Stefan, School of Business, Reykjavík University, Reykjavik, Iceland; Jentzsch, Nicola, German Institute for Economic Research, Berlin, Germany","Digitalisation opens new channels for fi nancial transactions. Crowdlending and Digital Advice offer additional opportunities for customers to manage their assets. In the banking market, “FinTechs” are the most notable example of what Schumpeter described as “creative destruction”. They could threaten the existence of established banks. Therefore the banks should use the FinTechs as a testing laboratory for customer behavior and testing ground for a more modern marketing policy. This environment gives rise to concerns that there may develop an unregulated area of shadow banks. But it should be considered that a level playing fi eld has to be ensured and that innovative processes and products are not stalled. A potential advantage of Digital Advice is that consumers can have the possibility to access the relevant information they need to make their fi nancial decisions. Consumers, in turn, are only able to benefi t from this advantage if competition between fi nancial service providers leads to a supply of clear and comprehensible information about fi nancial products and an appropriate degree of data security. The rise of Big Data analyses in retail banking allows a more precise estimation of creditworthiness risk as well as a consumer’s willingness-to-pay, propensity to switch and responsiveness to marketing offers. This not only impacts on competition, it represents major challenges for policymakers, authorities and consumers alike. © 2016 Springer Verlag. All rights reserved.",,,,,"Deutsche Banken Vor Dramatischem Wandel; Prystav, Fabian, Personal information in peer-to-peer loan applications: Is less more?, Journal of Behavioral and Experimental Finance, 9, pp. 6-19, (2016); Herzenstein, Michal, Tell me a good story and I may lend you money: The role of narratives in peer-to-peer lending decisions, Journal of Marketing Research, 48, SPEC. ISSUE, pp. S138-S149, (2011); Shadow Banking Regulation, (2012); Schmalenbachs Zeitschrift Fur Betriebswirtschaftliche Forschung Zfbf, (2012); Neue Moglichkeiten Fur Kreditfonds; Bafinjournal, (2007); Studie Zeigt Interesse Von Profi Investoren an Crowdlending, (2015); undefined; Bank Archiv, (2011)","S. Paul; Ruhr-Universität Bochum, Lehrstuhl für Angewandte Betriebswirtschaftslehre (Finanzierung und Kreditwirtschaft), Bochum, Universitätsstr. 150, 44780, Germany; email: stephan.paul@ruhr-uni-bochum.de",,Springer Verlag service@springer.de,,,,,,00436275,,,German,Wirtschaftsdienst,Article,Final,,Scopus,2-s2.0-84988649091,24484030800; 23670727000; 56644455800; 59058428500; 57189574542; 57160808400; 25027670000,Paul; S.; Rudolph; B.; Zech; S.; Oehler; A.; Horn; M.; Wendt; S.; Jentzsch; N.
"Waupsh, J.","Waupsh, John (59673379500)",59673379500,Bankruption: How Community Banking Can Survive Fintech,2016,,,,,1.0,291.0,12,10.1002/9781119273875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000271736&doi=10.1002%2F9781119273875&partnerID=40&md5=fb2bd2847c1bb4e7fc8a49c8076697ed,"Kasasa®, United States","Waupsh, John, Kasasa®, United States","Community banking can flourish in the face of fintech and global competition with a fresh approach to strategy Bankruption + Website offers a survival guide for community banks and credit unions searching for relevance amidst immense global competition and fintech startups. Author John Waupsh is the Chief Innovation Officer at Kasasa, where he helps spearhead financial product development and implementation across hundreds of institutions. In this guide, he draws on more than a decade in the industry to offer clear, practical advice for competing with the megabanks, direct banks, non-banks, and financial technology companies. The discussion separates futurist thinking from today's realities, and dispels common myths surrounding the U.S. community banking model in order to shed light on the real challenges facing community banking institutions. It follows with clear solutions, proven strategies, and insight from experts across banking and fintech. All arguments are backed by massive amounts of data, and the companion website provides presentation-ready visualizations to help you kickstart change within your team. In the U.S. and around the globe, fintech companies and non-banks alike are creating streams of banking services that are interesting, elegant, and refreshing—and they're winning the hearts and minds of early adopters. Not a one-size-fits-all approach, this book offers many different tactics for community banks and credit unions to compete and flourish in the new world. • Analyze fintech's threat to the community banking model • Learn where community banking must improve to compete • Disprove the myths to uncover the real challenges banks face • Adopt proven strategies to bring your organization into the future Community banks and credit unions were once the go-to institutions for local relationship banking, but their asset share has been on the decline for three decades as the big banks just got bigger. Now, fintech companies are exploiting inefficiencies in the traditional banking model to streamline service and draw even more market share, as community banking executives are left at a loss for fresh tactics and forward-looking strategy. Bankruption + Website shows how community banks can be saved, and provides a proven path to success. © 2017 by John Wiley & Sons, Inc. All rights reserved.",,,,,"undefined, (2008); undefined; undefined; Predictive Leadership Avoiding the 12 Critical Mistakes that Derail Growth Hungry Companies, (2014); Supervisory Policy and Guidance Topics Community Banks; undefined, (2012); Fdic Banking Review, (2004); Community Bank Efficiency and Economies of Scale, (2012); undefined; undefined, (2015)",,,wiley,,,,,,,9781119273851; 9781119273875,,English,Bankruption: How Community Bank. Can Survive Fintech,Book,Final,,Scopus,2-s2.0-86000271736,59673379500,Waupsh; J.
"Nguyen, Q.K.","Nguyen, Quoc Khanh (57193131860)",57193131860,Blockchain-A Financial Technology for Future Sustainable Development,2016,,,,7796617.0,51.0,54.0,246,10.1109/GTSD.2016.22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011039440&doi=10.1109%2FGTSD.2016.22&partnerID=40&md5=d719a4cb4ecebd05eb23eb293d685a9e,"Faculty of Economics, HCMC University of Technical Education, Ho Chi Minh City, Viet Nam","Nguyen, Quoc Khanh, Faculty of Economics, HCMC University of Technical Education, Ho Chi Minh City, Viet Nam","After the global financial crisis 2008, the world has been putting more effort in tightening banking and financial activities with stricter regulations. However, the effectiveness of this policy has remained controversial as many people believe that policy makers should promote freedom and transparency by empowering the public to directly interfere and change the system for public interest. This article attempts to synthesize and analyze available information with a focus on the role of blockchain, a financial tool that can potentially play an important role in the sustainable development of the global economy. The new technology is expected to bring massive benefits to consumers, to current banking system and to the whole society in general. © 2016 IEEE.",Bank; Blockchain; Cryptocurrency; Payment; Technology; Transfer,Electronic money; Environmental technology; Finance; Planning; Sustainable development; Technology; Bank; Block-chain; Financial activity; Financial tools; Global economies; Global financial crisis; Payment; Transfer; Environmental protection,,,"World Economic Forum Khoa Tran Trans; Ihb, (2015); Khoa Tran Trans; Project Sandicate the World Opinion Page Febuary, (2016); Wall Street Journal, (2016); Wall Street Journal, (2016); Wall Street Journal, (2016); Understanding Blockchain S Technology, (2015); IMF Paper Regulation Should Preserve Benefits of Digital Currency, (2016); Wall Street Journal, (2016)","Q.K. Nguyen; Faculty of Economics, University of Technical Education HCMC, Ho Chi Minh City, Viet Nam; email: nqkhanh@hcmute.edu.vn",,Institute of Electrical and Electronics Engineers Inc.,"Kun Shan University; National Institute of Solar Energy, Ministry of New and Renewable Energy; Taiwanese Association for Social Network","3rd International Conference on Green Technology and Sustainable Development, GTSD 2016",2016-11-24 through 2016-11-25,Kaohsiung,125585.0,,9781509036387,,English,"Proc. - Int. Conf. Green Technol. Sustain. Dev., GTSD",Conference paper,Final,,Scopus,2-s2.0-85011039440,57193131860,Nguyen; Q.K.
