WORDS,ABBREVIATIONS
ANTHROPOGRAPH-,ANTHROPOR
ANTHROPOSOPHY,ANTHROPOS
ANTI-DUMPING,ANTI-DUMP
ANTIARRHYTHMIC,ANTIARRHYTHM
ANTIBACTERIAL,ANTIBACT
ANTIBIOTHERAP-,ANTIBIOTHER
ANTIBODY,ANTIB
ANTICANCER-,ANTICANCER
ANTICARCINOGEN-,ANTICARCINOG
ANTICIP-,ANTICIP
ANTIFUNG-,ANTIFUNG
ANTIHYPERTENSI-,ANTIHYPERTENS
ANTIINFECTI-,ANTIINFECT
ANTIMALARIA-,ANTIMALAR
ANTIMICROBI-,ANTIMICROB
ANTINEOPLASTIC,ANTINEOPLAST
ANTINUCLEAR-,ANTINUCL
ANTINUTRIENT-,ANTINUTR
ANTIOXIDANT,ANTIOXID
ANTIPOLLUTION,ANTIPOLLUT
ANTIQU-,ANTIQ
ANTIRECESSI-,ANTIRECESS
ANTIRETROVIR-,ANTIRETROVIR
ANTIRHEUMATI-,ANTIRHEUM
ANTISEISMI-,ANTISEISM
ANTITUBERCULOS-,ANTITUBERC
ANTIVIRAL,ANTIVIR
ANTROPOBIOLOGIA,ANTROPOBIOL
ANUAL-,ANU
APARELHO,APAREL
APARTMENT,APARTM
APATHOGENIC-,APATHOG
APERFEIÇOAMENT-,APERF
APHAERE-,APHAER
APHERE-,APHER
APICULT-,APIC
APLICA-,APL
APONTAMENTO,APONT
APOSENTAÇÃO,APOSENTAÇ
APOSENTADORIA,APOSENTAD
APOSTOLATE,APOSTOL
APOSTOLIC,APOSTOL
APOTHECAR-,APOTH
APPALACHIAN,APPALACH
APPARATU-,APPAR
APPAREL,APPAR
APPEAR-,APPEAR
APPETISER,APPET
APPLIANCE,APPL
APPLICA-,APPL
APPLIED,APPL
APPLYING,APPL
APPOINT-,APPOINT
APPOINTMENT,APPOINTM
APPRAIS-,APPRAIS
APPRECIATION,APPREC
APPRENTIC-,APPRENT
APPRENTICESHIP,APPRENTICESH
APPROPRIATE,APPROPR
APPROPRIATION,APPROPR
APPROV-,APPROV
APPROXIMAT-,APPROX
APRAX-,APRAX
APRENDIZAG-,APRENDIZ
APRICOT,APRIC
AQUACULTUR-,AQUAC
AQUARICULTUR-,AQUARIC
AQUATECH-,AQUATECH
AQUATI-,AQUAT
ARBORICULT-,ARBORIC
ARCHAEOASTRONOM-,ARCHAEOASTRON
ARCHAEOLOG-,ARCHAEOL
ARCHAEOMETALLURG-,ARCHAEOMETALL
ARCHAEOMETR-,ARCHAEOM
ARCHDEACONRY,ARCHDEAC
ARCHDIOCESE,ARCHDIOC
ARCHEOLOG-,ARCHEOL
ARCHIPELAGO,ARCHIPEL
ARCHITECT-,ARCHIT
ARCHITECTONI-,ARCHITECTON
ARCTIC,ARCT
ARGONAUT-,ARGON
ARISING,ARIS
ARISTOTEL-,ARISTOT
ARITHMETI-,ARITH
ARIZONA-,ARIZ
ARKANSAS,ARK
ARLINGTON,ARLINGT
ARMAÇÃO,ARMAÇ
ARMAZENAGE-,ARMAZ
ARMDALE,ARMD
ARMENIA,ARMEN
ARMENIAN,ARMEN
AROMATHERAPY,AROMATHER
ARQUIPÉLAGO,ARQUIPÉL
ARRANGEMENT-,ARRANGE
ARREAR-,ARREAR
ARRECADAÇÃO,ARRECAD
ARRHYTHMIAS,ARRHYTHM
ARRITMIA,ARRITM
ARRIVAL,ARRIV
ARROLAMENTO,ARROLAM
ARROWHEAD,ARROWH
ARTESÃO,ARTES
ARTHEROSCLEROS-,ARTHEROSCLER
ARTHROPLAST-,ARTHROPLAST
ARTHROSCOP-,ARTHROSC
ARTHROSCOPY,ARTHROSC
ARTHURIAN,ARTHUR
ARTICUL-,ARTICUL
ARTIFICI-,ARTIF
ARTIGO-,ARTIG
ARTILLERY,ARTILL
ASBESTOSIS,ASBESTOS
ASHFORD,ASHF
ASHKENAZIC,ASHKEN
ASISTENC-,ASIST
ASSAYER,ASSAY
ASSERT-,ASSERT
ASSESSED,ASSESS
ASSESSING,ASSESS
ASSESSMENT,ASSESS
ASSESSOR-,ASSESSOR
ASSIGNMENT,ASSIGN
ASSIMIL-,ASSIM
ASSOCI-,ASSOC
ASSUMPTION,ASSUMPT
ASSUR-,ASSUR
ASTEROSEISMOLOG-,ASTEROSEISMOL
ASTONISHING,ASTONISH
ASTROBIOLOG-,ASTROBIOL
ASTROCHEMI-,ASTROCHEM
ASTRODYNAM-,ASTRODYN
ASTROMETR-,ASTROM
ASTROPARTICLE,ASTROPART
ASYMPTOTIC,ASYMPTOT
ATACADIST-,ATAC
ATHENIAN,ATHEN
ATHEROGEN-,ATHEROG
ATHEROSCLERO-,ATHEROSCLER
ATHEROSCLEROLOG-,ATHEROSCLEROL
ATHLETIC-,ATHL
ATIVIDAD,ATIV
ATLANTI-,ATL
ATLANTIC,ATL
ATRIAL,ATR
ATTAINMENT,ATTAIN
ATTEND-,ATTEND
ATTENTION,ATTEN
ATTORNEY-,ATTY
ATTRACTION-,ATTRACT
ATTRACTIVE,ATTRACT
ATUALIDADE,ATUAL
ATUARIAL,ATUAR
ATYPICAL,ATYP
AUCHENORRHYNCHA,AUCHEN
AUCKLAND,AUCKL
AUCTION-,AUCTION
AUDACCOUNT,AUDACC
AUDIO-VISUAL,AUDIO-V
AUDIOVISION,AUDIOV
AUDIOVISUAL,AUDIOV
AUGUSTINIAN-,AUGUSTIN
AURORAL,AUROR
AUSTRALASIA-,AUSTRALAS
AUTÁRQUIC-,AUTÁRQU
AUTHENTICITY,AUTHENT
AUTHORIS-,AUTH
AUTHORITY,AUTH
AUTHORIZ-,AUTH
AUTOIMMUNIT-,AUTOIMMUN
AUTOIONIZATION,AUTOIONIZ
AUTOMAÇ-,AUTOM
AUTOMOBIL-,AUTOMOB
AUTOMOTIVE,AUTOMOT
AUTOMÓVEIS,AUTOMÓV
AUTOPRODUT-,AUTOPROD
AUTOXIDATION,AUTOXID
AUXILIA-,AUX
AVAILABILITY,AVAILAB
AVALIAÇÃO,AVAL
AVANÇADO,AV
AVENGER,AVENG
AVENUE-,AVE
AVERAGE,AVER
AVIAÇIÃO,AVIAÇ
AVIATION-,AVIAT
AVIATOR,AVIAT
AVION-,AVION
AVOID-,AVOID
AWAK-,AWAK
AWARD-,AWARD
AWARENESS,AWARE
AYRSHIRE,AYRSH
BABYLONIAN,BABYLON
BABYSITT-,BABYSITT
BACILLARY,BACILL
BACKCALCULAT-,BACKCALC
BACKGAMMON,BACKGAM
BACKGROUND,BACKGR
BACKPACKER,BACKPACK
BACKWOODSMAN,BACKWOODSM
BACTERIA-,BACT
BACTERIE-,BACT
BACTERIOLOG-,BACTERIOL
BACTERIUM,BACT
BAKER-,BAK
BAKING,BAK
BALANÇ-,BALANC
BALCANIC-,BALC
BALLAD-,BALLAD
BALLERINA,BALLER
BALLISTI-,BALLIST
BALLOON-,BALLOON
BALNEAR-,BALNEAR
BALNEOTHERAP-,BALNEOTHER
BALTIMORE,BALTIM
BAMFIELD,BAMF
BANAN-,BANAN
BANDING,BAND
BANDSMAN,BANDSM
BANDWAGON,BANDWAG
BANGOR,BANG
BANKER,BANK
BANKING,BANK
BANKSTOWN,BANKST
BAPTIST-,BAPTIST
BARBAR-,BARBAR
BARGAIN-,BARGAIN
BARIATRIC,BARIATR
BARKER,BARK
BARORECEPTOR-,BARORECEPT
BARRINGTON,BARRINGT
BARRYTOWN,BARRYT
BARTER,BART
BASEBALL,BASEB
BASICALLY,BASIC
BASILIAN,BASIL
BASKETBALL,BASKETB
BASKETMAKER,BASKETMAK
BASSIST,BASS
BASSOONIST,BASSOON
BASUTOLAND,BASUTOL
BATHING,BATH
BATHROOM,BATHR
BATHYMETRI-,BATHYMÈTR
BATTER-,BATTER
BATTLEFIELD-,BATTLEF
BATTLEFORD,BATTLEF
BAVARIAN,BAVAR
BAYLOR,BAYL
BEACON,BEAC
BEACONSFIELD,BEACONSFLD
BEAMSVILLE,BEAMSV
BEARER,BEAR
BEARING-,BEAR
BEATITUDE,BEATIT
BEAUCEVILLE,BEAUCEV
BECHUANALAND,BECHUANAL
BECOMING,BECOM
BEDFORDSHIRE,BEDS
BEECHCRAFT,BEECHCR
BEEKEEPER-,BEEKEEP
BEEKEEPING,BEEKEEP
BEFRIENDING,BEFRIEND
BEGINNER,BEGIN
BEGINNING,BEGIN
BEHAVIOR-,BEHAV
BEHAVIOUR-,BEHAV
BELARUSSIAN,BELARUS
BELFAST,BELF
BELGI-,BELG
BELONG-,BELONG
BENEFICI-,BENEF
BENTHOLOG-,BENTHOL
BEREAVEMENT,BEREAVE
BERGENFIELD,BERGENF
BERKSHIRE,BERKS
BERMUD-,BERMUD
BERMUDAGRASS,BERMUDAGR
BERWICKSHIRE,BERWICKS
BESTSELLER,BESTSELL
BI-WEEKLY,BI-WKLY
BIANNUAL,BIANNU
BIBLIOSERVICE,BIBLIOSERV
BIBLIOTHEC-,BIBL
BICENTEN-,BICENTEN
BICYCL-,BICYCL
BIENAL,BIEN
BIENNIAL,BIENN
BIENNUAL-,BIENN
BIFIDOBACTERI-,BIFIDOBACT
BILATERAL,BILATÉR
BILHARZIASIS,BILHARZ
BILINGU-,BILING
BILLENNIUM,BILLEN
BIMENSAL,BIMENS
BIMONTHLY,BIMON
BINAR-,BIN
BINATIONAL,BINATL
BIND-,BIND
BINGHAMTON,BINGHAMT
BINOCULAR,BINOCUL
BIOACTIVE-,BIOACT
BIOANALY-,BIOANAL
BIOAVAILABILITY,BIOAVAILAB
BIOBEHAV-,BIOBEHAV
BIOCATALY-,BIOCATAL
BIOCENOLOG-,BIOCENOL
BIOCERAMI-,BIOCERAM
BIOCHEM-,BIOCHEM
BIOCLIMATOLOG-,BIOCLIMATOL
BIOCOMPATIBIL-,BIOCOMPAT
BIOCOMPUT-,BIOCOMPUT
BIOCONCENTRAT-,BIOCONC
BIOCYBERNETIC-,BIOCYBERN
BIODÉGRAD-,BIODEGRAD
BIODETERIORAT-,BIODETERIOR
BIODIVERSITY,BIODIVERS
BIODYNAMIC-,BIODYN
BIOELECTRICITY,BIOELECTR
BIOELECTROANALY-,BIOELECTROANAL
BIOELECTROMAGN-,BIOELECTROMAGN
BIOELECTRONI-,BIOELECTRON
BIOENGINEER-,BIOENG
BIOESTATISTICA,BIOESTAT
BIOETHICS,BIOETH
BIOFERTILIZER,BIOFERTIL
BIOGENERAT-,BIOGENER
BIOGENET-,BIOGENET
BIOGEOCHEMI-,BIOGEOCHEM
BIOHYDROMETALLURG-,BIOHYDROMETALL
BIOINDUSTR-,BIOIND
BIOINFORMATICS,BIOINFORM
BIOLUMINESCEN-,BIOLUMIN
BIOMAGNETI-,BIOMAGN
BIOMARKER,BIOMARK
BIOMEDIC-,BIOMED
BIOMEMBRAN-,BIOMEMBR
BIOMIMETIC,BIOMIM
BIOMOLECUL-,BIOMOL
BIONANOTECHNOLOG-,BIONANOTECHNOL
BIOPATHOLOG-,BIOPATHOL
BIOPESTICID-,BIOPESTIC
BIOPHARMACEUT-,BIOPHARM
BIOPREPAR-,BIOPREP
BIOPROCESSING,BIOPROCESS
BIOPRODUCT-,BIOPROD
BIOPSYCHOSOCIAL,BIOPSYCHOSOC
BIOREACTI-,BIOREACT
BIOREACTOR-,BIOREACT
BIORECOGNITION,BIORECOGNIT
BIORESOURC-,BIORESOUR
BIORGANIC,BIORGAN
BIORYTHM-,BIORYTHM
BIOSAFETY-,BIOSAF
BIOSCIEN-,BIOSCI
BIOSENSOR,BIOSENS
BIOSENSORS,BIOSENS
BIOSEPARATION-,BIOSEP
BIOSOCIAL,BIOSOC
BIOSTATIST-,BIOSTAT
BIOSTEREOMETR-,BIOSTEREOM
BIOSYNTHESIS,BIOSYNTH
BIOSYSTEM-,BIOSYST
BIOTEST-,BIOTEST
BIOTREATMENT,BIOTREAT
BIRDING,BIRD
BIRDKEEPER,BIRDKEEP
BIRMINGHAM,BIRM
BIRTHDAY,BIRTHD
BIRTHPLACE,BIRTHPL
BISANNUEL,BISANNU
BISHOP,BISH
BISHOPS STORTFORD,BISH STORTFORD
BISTABILITY,BISTAB
BITUMEN,BITUM
BITUMINOUS,BITUM
BIWEEKLY,BIWKLY
BLACKSBURG,BLACKSBG
BLACKSMITH,BLACKSM
BLEACH-,BLEACH
BLENHEIM,BLENH
BLESSING,BLESS
BLIND-,BLIND
BLOOM-,BLOOM
BLOOMINGTON,BLOOMINGT
BLOSSOM-,BLOSS
BLUEBOOK,BLUEB
BLUEPRINT,BLUEPR
BOARDER,BOARD
BOARDING,BOARD
BOARDROOM,BOARDR
BOARDSAILOR,BOARDSAIL
BOATBUILD-,BOATBUILD
BOATING,BOAT
BODYBUILDER,BODYBUILD
BODYBUILDING,BODYBUILD
BODYTRAINING,BODYTRAIN
BODYWORK,BODYW
BOIL-,BOIL
BOILERHOUS-,BOILERH
BOLETIM-,BOL
BOND-,BOND
BOOKBIND-,BOOKBIND
BOOKBUYER,BOOKBUY
BOOKDEALER,BOOKDEAL
BOOKFUND,BOOKF
BOOKING,BOOK
BOOKKEEP-,BOOKKEEP
BOOKKEEPER,BOOKKEEP
BOOKLET,BOOKL
BOOKMAKER,BOOKMAK
BOOKMAN,BOOKM
BOOKMARK-,BOOKMARK
BOOKPLATE,BOOKPL
BOOKSELL-,BOOKS
BOOKSTORE,BOOKST
BOOKWORM,BOOKW
BOOST-,BOOST
BORDER,BORD
BORDERLAND-,BORDERL
BOREHOLE,BOREH
BORRACHA,BORR
BORROWING,BORROW
BORSTAL,BORST
BOTSWANA,BOTSW
BOULEVARD,BLVD
BOUNDARY,BOUND
BOUNDRY,BOUND
BOURNEMOUTH,BOURNEM
BOWHUNT-,BOWHUNT
BOWLING,BOWL
BOXING,BOX
BOYCOTT-,BOYCOTT
BRADFORD,BRADF
BRADSTREET,BRADSTR
BRAIDING,BRAID
BRANCHING,BRANCH
BRANCHLINE,BRANCHL
BRASIL,BRAS
BRASIL-,BRAS
BRAZIL-,BRAZ
BREAK-,BREAK
BREAKFAST,BREAKF
BREAKTHROUGH,BREAKTHR
BREASTFEEDING,BREASTFEED
BREATHING,BREATH
BREECHLOADING,BREECHLOAD
BREEDER,BREED
BREEDING,BREED
BRETHREN,BRETHR
BREWER-,BREW
BREWING,BREW
BRICKLAY-,BRICKLAY
BRIDG-,BRIDG
BRIDGETOWN,BRIDGET
BRIDGEWATER,BRIDGEW
BRIEFCASE,BRIEFC
BRIEFING,BRIEF
BRIGHAM,BRIGH
BRIGHT-,BRIGHT
BRILLANT,BRILL
BRILLIAN-,BRILL
BRIQUETTING,BRIQUET
BRISBANE,BRISB
BRITAIN,BR
BRITISH,BR
BRITISH COLUMBIA,B C
BROADCAST-,BROADCAST
BROADSHEET,BROADSH
BROADSIDE,BROADS
BROCKPORT,BROCKP
BROCKVILLE,BROCKV
BROKER,BROK
BROKERAGE,BROK
BROKING,BROK
BROMELI-,BROMEL
BRONCHOLOGY,BRONCHOL
BRONXVILLE,BRONXV
BROOKING,BROOK
BROTERIANO,BROTER
BROTHER-,BROTHER
BROWS-,BROWS
BRUNSWICK,BRUNSW
BRUSHMAK-,BRUSHMAK
BRUSSELS,BRUSS
BRYOECOLOG-,BRYOECOL
BRYOZOOLOG-,BRYOZOOL
BUBALINO,BUBAL
BUCCANER,BUCCAN
BUCHAREST,BUCHAR
BUCKINGHAM,BUCK
BUCKINGHAMSHIRE,BUCKS
BUCKMASTER,BUCKMAST
BUDDHIST,BUDDH
BUDGERIGAR,BUDGER
BUDGET,BUDG
BUDGETARY,BUDG
BUDGETING,BUDG
BUGGY,BUG
BUILDER-,BUILD
BUILDING-,BUILD
BULGAR-,BULG
BULKING,BULK
BUMP-,BUMP
BURDEN,BURD
BURLINGTON,BURLINGT
BURN-,BURN
BURSARY,BURS
BUSHWALK-,BUSHWALK
BUSHWHACK-,BUSHWHACK
BUSINESS,BUS
BUSINESSMAN,BUSINESSM
BUTCHER,BUTCH
BUTLER,BUTL
BUTTONEER,BUTTON
BUYABLE,BUY
BUYER,BUY
BUYING,BUY
BYELORUSSIAN,BYELORUSS
BYPRODUCT-,BYPROD
CABINETMAKING,CABINETMAK
CACAUEIR-,CACAU
CADASTRAL,CADASTR
CADERNO-,CAD
CAFEEIR-,CAFE
CALAMIT-,CALAM
CALCIFI-,CALCIF
CALCUL-,CALC
CALEDONIAN,CALED
CALENDAR-,CAL
CALGARY,CALG
CALIFORNIA,CALIF
CALIOLOGIST,CALIOL
CALISTHEN-,CALISTHEN
CALLBOOK,CALLB
CALLED,CALL
CALLIGRAPH-,CALLIGR
CALLING,CALL
CALORIMETRY,CALORIM
CALVINISM,CALVIN
CAMBODGI-,CAMBODG
CAMBRIAN,CAMBR
CAMBRIDGE,CAMB
CAMBRIDGESHIRE,CAMBS
CAMCORDER,CAMCORD
CAMOUFLAGE,CAMOUFL
CAMPAIGN-,CAMPAIGN
CAMPINA,CAMP
CANADA,CAN
CANADI-,CAN
CANALIZATION-,CANALIZ
CANAVEIR-,CANAV
CANCEL-,CANCEL
CANCEROLOG-,CANCEROL
CANCROLOG-,CANCROL
CANEGROWER,CANEGROW
CANMAKER,CANMAK
CANMAKING,CANMAK
CANNED,CANN
CANNER,CANN
CANNING,CANN
CANOE-,CANOE
CANOESPORT,CANOESP
CANTERBURY,CANTERB
CANVEY ISLAND,CANVEY ISL
CAPAB-,CAPAB
CAPILLARY,CAPILL
CAPITAL,CAP
CAPSUL-,CAPSUL
CAPTAIN,CAPT
CAPTIV-,CAPTIV
CARBOCATION,CARBOCAT
CARBOCYCLIC,CARBOCYCL
CARBOHYDRATE,CARBOHYDR
CARBONIFEROUS,CARBONIF
CARBURANT,CARBUR
CARCINOGEN-,CARCINOG
CARDIOANGIOLOG-,CARDIOANGIOL
CARDIOBIOLOGY,CARDIOBIOL
CARDIOCIRCULATION,CARDIOCIRC
CARDIOGRAPH,CARDIOGR
CARDIOLOG-,CARDIOL
CARDIOPROTECTI-,CARDIOPROT
CARDIOPULMONARY,CARDIOPULM
CARDIORESPIRAT-,CARDIORESPIR
CARDIOTHORACIC,CARDIOTHORAC
CARDIOVASC-,CARDIOVASC
CAREGIVER,CAREGIV
CARIBBEAN,CARIBB
CARIOLOG-,CARIOL
CARLETON,CARLET
CARMARTHENSHIRE,CARMARTHENS
CARNATION,CARNAT
CARNIVOR-,CARNIV
CARNOISSEUR,CARNOISS
CAROLINA-,CAROL
CARPENTER,CARPENT
CARPETING,CARPET
CARPINTER-,CARPINT
CARRIER,CARR
CARRYING,CARR
CARTESIAN-,CARTES
CARTILAGE,CARTIL
CARTOFILIA,CARTOF
CARTOGRAPH-,CARTOGR
CARTOON-,CARTOON
CASHED,CASH
CASINGHEAD,CASINGH
CASPIAN,CASP
CASTELLANO,CASTELL
CASTING-,CAST
CATALYS-,CATAL
CATALYT-,CATAL
CATARINENS-,CATARIN
CATASTROPHISM,CATASTR
CATCHING,CATCH
CATECHIST,CATECH
CATÉGOR-,CATEG
CATER-,CATER
CATERPILLAR,CATERP
CATHAR-,CATHAR
CATHARINE,CATH
CATHEDRAL,CATHEDR
CATHETER-,CATHETER
CATHOLI-,CATHOL
CATONSVILLE,CATONSV
CATTLEMAN,CATTLEM
CATTLEWOMAN,CATTLEW
CAUCASIAN,CAUC
CAUCASUS,CAUC
CAUFIELD,CAUFLD
CAULIFLOWER,CAULIFL
CAUSEWAY,CAUSEW
CEARENSE,CEAR
CECHOSLOV-,CECHOSLOV
CECIDIOLOG-,CECIDIOL
CEDARVILLE,CEDARV
CEILING,CEIL
CELESTIAL,CELEST
CELLULA-,CELL
CELLULE,CELL
CELLULOS-,CELLUL
CEMENT-,CEM
CEMETERY,CEMET
CENSORSHIP,CENSORSH
CENTEN-,CENTEN
CENTER,CENT
CENTRAFRIC-,CENTRAFR
CENTRIFUGAL,CENTRIF
CEPHALOPOD,CEPHALOP
CERAMI-,CERAM
CEREBRAL,CEREB
CEREBROVASCULAR-,CEREBROVASC
CEREMON-,CEREM
CERTAIN-,CERTAIN
