Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Boitan I.A., Marchewka-Bartkowiak K.","36714915800;57224201013;","Fostering innovation and competitiveness With FinTech, RegTech, and SupTech",2020,"Fostering Innovation and Competitiveness With FinTech, RegTech, and SupTech",,,,"1","313",,,"10.4018/978-1-7998-4390-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128084624&doi=10.4018%2f978-1-7998-4390-0&partnerID=40&md5=e9b67f799891a61271ccc24673dd8d40","Bucharest University of Economic Studies, Romania; Poznan University of Economics and Business, Poland","Boitan, I.A., Bucharest University of Economic Studies, Romania; Marchewka-Bartkowiak, K., Poznan University of Economics and Business, Poland",,,,,,,,,,,,,"Boitan, I.A.; Bucharest University of Economic StudiesRomania","IGI Global",,9781799843917; 9781799843900,,,"English","Foster. Innov. and Compet. With FinTech, RegTech, and SupTech",Book,"Final","",Scopus,2-s2.0-85128084624
"Campbell T., Knox M., Rowlands J., Cui Z.-Y.A., DeJesus L.","57573459600;57220994518;57235749100;57573839300;57573075500;","Leadership in FinTech: Authentic leaders as enablers of innovation and competitiveness in financial technology firms",2020,"Fostering Innovation and Competitiveness With FinTech, RegTech, and SupTech",,,,"250","270",,,"10.4018/978-1-7998-4390-0.ch013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128070022&doi=10.4018%2f978-1-7998-4390-0.ch013&partnerID=40&md5=91bf7c1dc5f8e2ca218891bf50ab82ff","Tasmanian School of Business and Economics, University of Tasmania, Australia; University of Tasmania, Australia","Campbell, T., Tasmanian School of Business and Economics, University of Tasmania, Australia; Knox, M., University of Tasmania, Australia; Rowlands, J., Tasmanian School of Business and Economics, University of Tasmania, Australia; Cui, Z.-Y.A., Tasmanian School of Business and Economics, University of Tasmania, Australia; DeJesus, L., Tasmanian School of Business and Economics, University of Tasmania, Australia",,,,,,,,,,,,,"Campbell, T.; Tasmanian School of Business and Economics, Australia","IGI Global",,9781799843917; 9781799843900,,,"English","Foster. Innov. and Compet. With FinTech, RegTech, and SupTech",Book Chapter,"Final","",Scopus,2-s2.0-85128070022
"Miglo A.","55897861100;","Financing of entrepreneurial firms in canada: Some patterns",2020,"Administrative Sciences","10","3","50","","",,2,"10.3390/admsci10030050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115659097&doi=10.3390%2fadmsci10030050&partnerID=40&md5=3b382b0cdf2b2e439a6c9ab52c5786bf","Department of Accounting, Finance and Economics, Birmingham City University, Birmingham, B4 7BD, United Kingdom","Miglo, A., Department of Accounting, Finance and Economics, Birmingham City University, Birmingham, B4 7BD, United Kingdom","Capital structure; Crowdfunding; Entrepreneurial finance in Canada; Small business financing",,"The CSBF Program aims to increase the availability of financing for the establishment, expansion, modernization and improvement of small businesses. It insures a portion of loans made to qualifying small businesses by the private sector. It supports some 10,000 financings valued at around CAD1 billion each year. Under the CSBF Program, Industry Canada and commercial lenders share the risk of providing small businesses with term loans of up to CAD500,000 for acquiring real property and equipment and making leasehold improvements. The government is liable to pay 85% of eligible losses on defaulted loans registered under the program, which allows private-sector lenders to comfortably increase the amount of financing extended to small businesses. The program is supported by charging 3% above prime and a 2% registration fee paid by the borrowers. A lot of research has been done to evaluate the efficiency of different programs, including CSBF. Much of it shows the significant economic impact of these programs.19","Other notable programs include the Futurpreneur Canada (former Canada Youth Business Foundation—a charitable organization heavily supported by the government), Export Development Corporation (EDC), Aboriginal Business Canada and Indian and Northern Affairs Canada. Futurpreneur Canada helps young entrepreneurs by providing mentorship, learning resources and start-up financing when commercial lending is unavailable. It offers several different financing programs to support entrepreneurs aged 18 to 34, including one that provides start-up small business loans of up to CAD15,000. Founded in 1996, this program has invested in more than 3300 young people, whose businesses have generated more than 16,600 new Canadian jobs, CAD93 million in tax revenue and hundreds of millions of dollars in sales and export revenue. Export Development Corporation (EDC) supports large and small businesses with critical export financing; of its 8300 clients, about 80% are SMEs. Although EDC does not offer any grants, they do offer loan guarantees for companies exporting their products. If a company expects to export products and wants to minimize its risk, EDC is a great resource. Aboriginal Business Canada offers grants of up to CAD99,999 for eligible individual Aboriginal entrepreneurs. Indian and Northern Affairs Canada has made progress in increasing the participation of Aboriginal entrepreneurs in the Canadian economy through the Aboriginal Business Development Fund21.",,,,,,,,,"Miglo, A.; Department of Accounting, United Kingdom; email: anton.miglo@bcu.ac.uk","MDPI",20763387,,,,"English","Adm. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115659097
"Ringe W.-G., Ruof C.","35622501100;57219516334;","Regulating fintech in the EU: The case for a guided sandbox",2020,"European Journal of Risk Regulation","11","3",,"604","629",,8,"10.1017/err.2020.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093513980&doi=10.1017%2ferr.2020.8&partnerID=40&md5=cf4c2eb985c6cef47b24ecac0f2869dc","University of Hamburg, Institute of Law and Economics, Germany","Ringe, W.-G., University of Hamburg, Institute of Law and Economics, Germany; Ruof, C., University of Hamburg, Institute of Law and Economics, Germany",,,"82 European Banking Federation, supra, note 76, and Banking Stakeholder Group, supra, note 16. The EBF proposal is also supported by DF Lange, “Die Regulatory Sandbox für Fintechs” in Innovatives Denken zwischen Recht und Markt (Festschrift für Hans-Peter Schwintowski, Nomos 2018).",,,,,,,,,,"Ringe, W.-G.; University of Hamburg, Germany; email: georg.ringe@uni-hamburg.de","Cambridge University Press",1867299X,,,,"English","Eur. J. Risk Regul.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85093513980
"Chang V., Baudier P., Zhang H., Xu Q., Zhang J., Arami M.","56926234700;57191991393;57217178172;57209346185;57217048669;57209341334;","How Blockchain can impact financial services – The overview, challenges and recommendations from expert interviewees",2020,"Technological Forecasting and Social Change","158",,"120166","","",,84,"10.1016/j.techfore.2020.120166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086627503&doi=10.1016%2fj.techfore.2020.120166&partnerID=40&md5=898873367f7b114c250a377f4478abc3","School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, United Kingdom; EM Normandie Business School, Métis Lab, Paris, France; IBSS, Xi'an Jiaotong-Liverpool University, Suzhou, China; PARDIS Ltd, London, United Kingdom","Chang, V., School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, United Kingdom; Baudier, P., EM Normandie Business School, Métis Lab, Paris, France; Zhang, H., IBSS, Xi'an Jiaotong-Liverpool University, Suzhou, China; Xu, Q., School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, United Kingdom, IBSS, Xi'an Jiaotong-Liverpool University, Suzhou, China; Zhang, J., School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, United Kingdom, IBSS, Xi'an Jiaotong-Liverpool University, Suzhou, China; Arami, M., PARDIS Ltd, London, United Kingdom","Blockchain; Blockchain adoption; Ethical challenges; Ethics; Financial industry; Recommendation for Blockchain adoption","Blockchain; Critical challenges; Financial industry; Financial sectors; Financial service; Knowledge-sharing; Qualitative method; Success factors; Theory of Planned Behavior; Fintech; financial market; financial provision; financial services; social change; technological development","This research is supported by VC Research with grant number VCR 0000020 .",,,,,,,,,,"Chang, V.; School of Computing, United Kingdom; email: V.Chang@tees.ac.uk","Elsevier Inc.",00401625,,,,"English","Technol. Forecast. Soc. Change",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85086627503
"Truby J.","55824089600;","Fintech and the city: Sandbox 2.0 policy and regulatory reform proposals",2020,"International Review of Law, Computers and Technology","34","3",,"277","309",,6,"10.1080/13600869.2018.1546542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057607733&doi=10.1080%2f13600869.2018.1546542&partnerID=40&md5=d87c4214e1adf011458e714992abd75e","Centre for Law & Development, College of Law, Qatar University, Doha, Qatar","Truby, J., Centre for Law & Development, College of Law, Qatar University, Doha, Qatar","financial technology; initial coin offerings; Sandbox",,"This work was supported by Qatar National Research Fund [grant number NPRP 11S-1119-170016]. This publication was made possible by the NPRP award NPRP 11S-1119-170016 from the Qatar National Research Fund (a member of The Qatar Foundation). The statements made herein are solely the responsibility of the author.",,,,,,,,,,"Truby, J.; College of Law, PO BOX 2713, Qatar; email: jon.truby@qu.edu.qa","Routledge",13600869,,,,"English","Int. Rev. Law Comput. Technol.",Article,"Final","",Scopus,2-s2.0-85057607733
"Miglionico A.","57192091295;","Automated Regulation and Supervision: The Impact of RegTech on Banking Compliance",2020,"European Business Law Review","31","4",,"641","662",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100389069&partnerID=40&md5=0a01b2989512f40d3bc2dc28e70e0469","University of Reading, School of Law, United Kingdom","Miglionico, A., University of Reading, School of Law, United Kingdom","algorithmic decision-making; automation; banking compliance; data access; decentralization; digitization; disintermediation; financial technologies; manual intervention; RegTech",,,,,,,,,,,,"Miglionico, A.; University of Reading, United Kingdom; email: a.miglionico@reading.ac.uk.","Kluwer Law International",09596941,,,,"English","Eur. Bus. Law Rev.",Article,"Final","",Scopus,2-s2.0-85100389069
"Ante L.","57216819718;","A place next to Satoshi: foundations of blockchain and cryptocurrency research in business and economics",2020,"Scientometrics","124","2",,"1305","1333",,6,"10.1007/s11192-020-03492-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084847025&doi=10.1007%2fs11192-020-03492-8&partnerID=40&md5=94a69a6db407c25c9d63d2b838e76faa","Blockchain Research Lab, Colonnaden 72, Hamburg, 20354, Germany; Faculty of Business, Economics & Social Sciences, University of Hamburg, Von-Melle-Park 5, Hamburg, 20146, Germany","Ante, L., Blockchain Research Lab, Colonnaden 72, Hamburg, 20354, Germany, Faculty of Business, Economics & Social Sciences, University of Hamburg, Von-Melle-Park 5, Hamburg, 20146, Germany","Bibliometric analysis; Bitcoin; Distributed ledger; Informetric analysis; Social network analysis",,,,,,,,,,,,"Ante, L.; Blockchain Research Lab, Colonnaden 72, Germany; email: ante@blockchainresearchlab.org","Springer Netherlands",01389130,,,,"English","Scientometrics",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85084847025
"Jain S., Gabor D.","57214317786;24821198400;","The Rise of Digital Financialisation: The Case of India",2020,"New Political Economy","25","5",,"813","828",,17,"10.1080/13563467.2019.1708879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078606212&doi=10.1080%2f13563467.2019.1708879&partnerID=40&md5=78bb846151d7eefa167162089558ad8d","Department of Accounting, Economics and Finance, University of the West of England, Bristol, United Kingdom","Jain, S., Department of Accounting, Economics and Finance, University of the West of England, Bristol, United Kingdom; Gabor, D., Department of Accounting, Economics and Finance, University of the West of England, Bristol, United Kingdom","demonetisation; financial inclusion; Financialisation; surveillance capitalism; technocratic nationalism","conceptual framework; developing world; digitization; finance; state role; technological change; technology adoption; India",,,,,,,,,,,"Jain, S.; Department of Accounting, United Kingdom; email: sudeep2.jain@live.uwe.ac.uk","Routledge",13563467,,,,"English","New Polit. Econ.",Article,"Final","",Scopus,2-s2.0-85078606212
"Syah R., Nasution M.K.M., Elveny M., Arbie H.","57193927659;36625890500;57188575343;57218264255;","Optimization model for customer behavior with mars and KYC system",2020,"Journal of Theoretical and Applied Information Technology","98","13",,"2616","2627",,14,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088275534&partnerID=40&md5=2953013d0589c5340d973fc5b7183e1f","Fakultas Ilmu Komputer dan Teknologi Informasi, Universitas Sumatera Utara, Padang Bulan, Medan, 20155, Indonesia","Syah, R., Fakultas Ilmu Komputer dan Teknologi Informasi, Universitas Sumatera Utara, Padang Bulan, Medan, 20155, Indonesia; Nasution, M.K.M., Fakultas Ilmu Komputer dan Teknologi Informasi, Universitas Sumatera Utara, Padang Bulan, Medan, 20155, Indonesia; Elveny, M., Fakultas Ilmu Komputer dan Teknologi Informasi, Universitas Sumatera Utara, Padang Bulan, Medan, 20155, Indonesia; Arbie, H., Fakultas Ilmu Komputer dan Teknologi Informasi, Universitas Sumatera Utara, Padang Bulan, Medan, 20155, Indonesia","Blockchain Technology; Business Canvas Model; Dynamic KYCP; MARS; Personal Financial Management; Star-Up",,"This research was supported by the Universitas Sumatera Utara, and was funded according to the needs of the USU campus environment. Research will be registered in intellectual property rights.",,,,,,,,,,"Nasution, M.K.M.; Fakultas Ilmu Komputer dan Teknologi Informasi, Indonesia; email: mahyuddin@usu.ac.id","Little Lion Scientific",19928645,,,,"English","J. Theor. Appl. Inf. Technol.",Article,"Final","",Scopus,2-s2.0-85088275534
"Tao Z.","57219227272;","Grouting Construction Technology in Anti-seepage Treatment of Reservoir",2020,"IOP Conference Series: Earth and Environmental Science","525","1","012137","","",,,"10.1088/1755-1315/525/1/012137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091737616&doi=10.1088%2f1755-1315%2f525%2f1%2f012137&partnerID=40&md5=f3516ed50e75a1b4bfd03ec625799f73","Engineering College, Yunnan University of Bussiness Management, KunMing, YUNNAN, 650106, China","Tao, Z., Engineering College, Yunnan University of Bussiness Management, KunMing, YUNNAN, 650106, China",,"Concrete construction; Dams; Grouting; Mortar; Reinforcement; Seepage; Anti-seepage; Construction technologies; Geological conditions; Reinforcement construction; Reservoir dams; Treatment technologies; Reservoirs (water)",,,,,,,,,,,"Tao, Z.; Engineering College, China; email: 94130269@qq.com","IOP Publishing Ltd",17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85091737616
"Caciatori Junior I., Cherobim A.P.M.S.","57226320045;55612220000;","Academic production and technological emergence in finance: Bibliometric study on FinTechs",2020,"Innovation and Management Review","17","2",,"115","131",,,"10.1108/INMR-01-2019-0005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122264720&doi=10.1108%2fINMR-01-2019-0005&partnerID=40&md5=ccf764b598d000fb67786886edc397a9","Programa de Pós-Graduação em Administração, Universidade Federal do Paraná, Curitiba, Brazil","Caciatori Junior, I., Programa de Pós-Graduação em Administração, Universidade Federal do Paraná, Curitiba, Brazil; Cherobim, A.P.M.S., Programa de Pós-Graduação em Administração, Universidade Federal do Paraná, Curitiba, Brazil","Bibliometry; Financial technologies; FinTechs; Grey literature; Innovation",,"Acknowledgement of funding: This study was financed in part by the Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES) - Finance Code 001.","Acknowledgement of funding: This study was financed in part by the Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior - Brasil (CAPES) - Finance Code 001.",,,,,,,,,"Caciatori Junior, I.; Programa de Pós-Graduação em Administração, Brazil; email: itamircj@gmail.com","Emerald Group Holdings Ltd.",25158961,,,,"English","Innov. Manag. Rev.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122264720
"Sridhar S., Mootha S., Subramanian S.","57212517680;57219209524;57211614524;","Decentralized Stock Exchange Implementation using Ethereum",2020,"Proceedings - 2020 International Seminar on Intelligent Technology and Its Application: Humanification of Reliable Intelligent Systems, ISITIA 2020",,,"9163706","234","241",,3,"10.1109/ISITIA49792.2020.9163706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091705105&doi=10.1109%2fISITIA49792.2020.9163706&partnerID=40&md5=9570e08879b8649be8701ec1853914a0","College of Engineering Guindy, Anna University, Department of Computer Science and Engineering, Chennai, India","Sridhar, S., College of Engineering Guindy, Anna University, Department of Computer Science and Engineering, Chennai, India; Mootha, S., College of Engineering Guindy, Anna University, Department of Computer Science and Engineering, Chennai, India; Subramanian, S., College of Engineering Guindy, Anna University, Department of Computer Science and Engineering, Chennai, India","blockchain; distributed ledgers; smart contract; stock-market","Blockchain; Ethereum; Financial markets; Intelligent systems; Scalability; Peer to peer; Stock exchange; Third parties; Trading environments; Transaction cost; Costs",,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728174136,,,"English","Proc. - Int. Semin. Intell. Technol. Appl.: Humanification Reliab. Intell. Syst., ISITIA",Conference Paper,"Final","",Scopus,2-s2.0-85091705105
"Kohardinata C., Suhardianto N., Tjahjadi B.","57214994595;57215877263;57191278873;","Peer-to-peer lending platform: From substitution to complementary for rural banks",2020,"Business: Theory and Practice","21","2",,"713","722",,4,"10.3846/btp.2020.12606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095693211&doi=10.3846%2fbtp.2020.12606&partnerID=40&md5=978c4eaf50c6fea0b0b2adc1ffafae43","Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia","Kohardinata, C., Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia; Suhardianto, N., Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia; Tjahjadi, B., Faculty of Economics and Business, Universitas Airlangga, Surabaya, Indonesia","Banking; Complementary; FinTech; P2P lending; Rural bank; Substitution",,,,,,,,,,,,"Tjahjadi, B.; Faculty of Economics and Business, Indonesia; email: bambang.tjahjadi@feb.unair.ac.id","VGTU",16480627,,,,"English","Bus. Theory Pract.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85095693211
"Au C.H., Tan B., Sun Y.","57192998094;21834632200;36995074400;","Developing a P2P lending platform: stages, strategies and platform configurations",2020,"Internet Research","30","4",,"1229","1249",,6,"10.1108/INTR-03-2019-0099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084221078&doi=10.1108%2fINTR-03-2019-0099&partnerID=40&md5=6853721043d77cef8bd027ecd3bb3266","Discipline of Business Information Systems, The University of Sydney Business School, Sydney, Australia; School of Business Administration, Zhejiang Gongshang University, Hangzhou, China; Zheshang Research Institute, Zhejiang Gongshang University, Hangzhou, China","Au, C.H., Discipline of Business Information Systems, The University of Sydney Business School, Sydney, Australia; Tan, B., Discipline of Business Information Systems, The University of Sydney Business School, Sydney, Australia; Sun, Y., School of Business Administration, Zhejiang Gongshang University, Hangzhou, China, Zheshang Research Institute, Zhejiang Gongshang University, Hangzhou, China","Case study; China; FinTech; P2P lending; Platform development; Process model",,"An earlier version of this study was accepted as a research-in-progress paper at the International Conference on Information Systems in 2019. Our research was supported by grants (Grant ID: 16YXYP01) from the Contemporary Business and Trade Research Center, and the Collaborative Innovation Center of the Contemporary Business and Trade Circulation System Construction, as well as the Zhejiang Merchants Entrepreneurship and Development Center of Zhejiang Gongshang University. This research is also supported by the Special Funds Project for Promoting the Level of Running Local Colleges and Universities in Zhejiang Province (Interdisciplinary Innovation Team Building of Internet and Management Change) and Zheshang Research Institute.",,,,,,,,,,"Sun, Y.; School of Business Administration, China; email: zorrnsun@163.com
Sun, Y.; Zheshang Research Institute, China; email: zorrnsun@163.com","Emerald Group Holdings Ltd.",10662243,,,,"English","Internet Res.",Article,"Final","",Scopus,2-s2.0-85084221078
"Abad-Segura E., González-Zamar M.-D., López-Meneses E., Vázquez-Cano E.","57216920173;57211312787;56495544200;55548952900;","Financial Technology: Review of trends, approaches and management",2020,"Mathematics","8","6","951","","",,22,"10.3390/math8060951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087614925&doi=10.3390%2fmath8060951&partnerID=40&md5=1578d2d212eec88c87b148066157dcbf","Department of Economics and Business, University of Almeria, Almeria, 04120, Spain; Department of Education, University of Almeria, Almeria, 04120, Spain; Department of Education and Social Psychology, Pablo de Olavide University, Sevilla, 41013, Spain; Research Institute in Social Sciences and Education, Vice-Rectory for Research and Postgraduate, University of Atacama, Copiapó, 1530000, Chile; Department of Didactics and School Organization, National University of Distance Education, Madrid, 28040, Spain","Abad-Segura, E., Department of Economics and Business, University of Almeria, Almeria, 04120, Spain; González-Zamar, M.-D., Department of Education, University of Almeria, Almeria, 04120, Spain; López-Meneses, E., Department of Education and Social Psychology, Pablo de Olavide University, Sevilla, 41013, Spain, Research Institute in Social Sciences and Education, Vice-Rectory for Research and Postgraduate, University of Atacama, Copiapó, 1530000, Chile; Vázquez-Cano, E., Department of Didactics and School Organization, National University of Distance Education, Madrid, 28040, Spain","Finance; Financial technology; Fintech; Innovation; Management; Scientific production",,,,,,,,,,,,"Abad-Segura, E.; Department of Economics and Business, Spain; email: eas297@ual.es
González-Zamar, M.-D.; Department of Education, Spain; email: mgz857@ual.es","MDPI AG",22277390,,,,"English","Mathematics",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85087614925
"Goo J.J., Heo J.-Y.","57217678556;57217677616;","The impact of the regulatory sandbox on the fintech industry, with a discussion on the relation between regulatory sandboxes and open innovation",2020,"Journal of Open Innovation: Technology, Market, and Complexity","6","2","43","","",,19,"10.3390/JOITMC6020043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087500441&doi=10.3390%2fJOITMC6020043&partnerID=40&md5=b60665aba5a1516dfbcae46232656337","Interdisciplinary Program of Management of Technology, Yonsei University, Seoul, 03722, South Korea","Goo, J.J., Interdisciplinary Program of Management of Technology, Yonsei University, Seoul, 03722, South Korea; Heo, J.-Y., Interdisciplinary Program of Management of Technology, Yonsei University, Seoul, 03722, South Korea","Financial innovation; Fintech; Investment; Regulatory sandbox; Venture; Venture capital",,,,,,,,,,,,"Heo, J.-Y.; Interdisciplinary Program of Management of Technology, South Korea; email: blueparis@yonsei.ac.kr","MDPI Multidisciplinary Digital Publishing Institute",21998531,,,,"English","J. Open Innov.: Technol. Mark. Complex.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85087500441
"Weking J., Mandalenakis M., Hein A., Hermes S., Böhm M., Krcmar H.","57204050945;57212590744;57189636786;57212022885;7202480967;6603243872;","The impact of blockchain technology on business models – a taxonomy and archetypal patterns",2020,"Electronic Markets","30","2",,"285","305",,38,"10.1007/s12525-019-00386-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077143035&doi=10.1007%2fs12525-019-00386-3&partnerID=40&md5=69fc788fd3c2cc11fef0b9ef07dfa9e6","Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany","Weking, J., Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany; Mandalenakis, M., Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany; Hein, A., Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany; Hermes, S., Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany; Böhm, M., Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany; Krcmar, H., Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Garching bei München, 85748, Germany","Blockchain; Business model; Design science; Pattern; Platform; Taxonomy",,"The authors would like to thank all anonymous reviewers and the editors for their helpful comments and suggestions. This research is funded by the German Research Foundation (Deutsche Forschungsgemeinschaft – DFG) as part of the ‘Collaborative Research Center 768: Managing cycles in innovation processes – Integrated development of product service systems based on technical products’ (TP C1), and the Center for Very Large Business Applications (CVLBA)@TUM.",,,,,,,,,,"Weking, J.; Technical University of Munich, Chair for Information Systems, Boltzmannstr. 3, Germany; email: weking@in.tum.de","Springer",10196781,,,,"English","Electron. Mark.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85077143035
"Micheler E., Whaley A.","55638557300;57210202757;","Regulatory Technology: Replacing Law with Computer Code",2020,"European Business Organization Law Review","21","2",,"349","377",,7,"10.1007/s40804-019-00151-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069933588&doi=10.1007%2fs40804-019-00151-1&partnerID=40&md5=c37cfffade6d9ae10b40ef895c0dc352","Associate Professor (Reader), Department of Law, London School of Economics, London, United Kingdom; LLM Candidate, Department of Law, London School and Economics, London, United Kingdom","Micheler, E., Associate Professor (Reader), Department of Law, London School of Economics, London, United Kingdom; Whaley, A., LLM Candidate, Department of Law, London School and Economics, London, United Kingdom","Algorithmic regulation; Artificial intelligence; Digital regulatory reporting; Financial regulation; Financial technology; FinTech; Machine learning; Model driven regulation; RegTech; Regulatory technology",,,,,,,,,,,,"Micheler, E.; Associate Professor (Reader), United Kingdom; email: e.micheler@lse.ac.uk","Springer",15667529,,,,"English","Eur. Bus. Org. Law Rev.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85069933588
"Siahtiri V., Heirati N., O'Cass A.","36239517900;55144019300;6602755876;","Unlocking solution provision competence in knowledge-intensive business service firms",2020,"Industrial Marketing Management","87",,,"117","127",,4,"10.1016/j.indmarman.2020.02.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080100315&doi=10.1016%2fj.indmarman.2020.02.010&partnerID=40&md5=bf793f12273008efa46ebe6c968b628b","Department of Marketing, Macquarie UniversityNSW, Australia; Surrey Business School, University of Surrey, United Kingdom","Siahtiri, V., Department of Marketing, Macquarie UniversityNSW, Australia; Heirati, N., Surrey Business School, University of Surrey, United Kingdom; O'Cass, A., Department of Marketing, Macquarie UniversityNSW, Australia","Employee collaboration; Knowledge search; Knowledge-intensive business services; Solution competence; Strategic flexibility",,,,,,,,,,,,"O'Cass, A.; Department of Marketing, Australia; email: aron.ocass@mq.edu.au","Elsevier Inc.",00198501,,IMMAD,,"English","Ind. Mark. Manage.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85080100315
"van Dijck J., Jacobs B.","24336912800;56253290100;","Electronic identity services as sociotechnical and political-economic constructs",2020,"New Media and Society","22","5",,"896","914",,5,"10.1177/1461444819872537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073952146&doi=10.1177%2f1461444819872537&partnerID=40&md5=104fead92299edb6e96d699df54f351c","Utrecht University, Netherlands; Radboud University, Netherlands","van Dijck, J., Utrecht University, Netherlands; Jacobs, B., Radboud University, Netherlands","Attribute-based systems; decentralized digital systems; digital societies; electronic identification systems; identity management",,,,,,,,,,,,"Jacobs, B.; Radboud UniversityNetherlands; email: bart@cs.ru.nl","SAGE Publications Ltd",14614448,,,,"English","New Media and Society",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85073952146
"Milos Á.T.","55296552300;","De-risking: An unintended consequence of the risk-based approach applied by banks regarding money laundering and terrorist financing prevention [De-risking: Una consecuencia indeseada del enfoque basado en el riesgo aplicado por los bancos en materia de prevenciÓn del lavado de activos y financiamiento del terrorismo]",2020,"Revista Chilena de Derecho","47","1",,"3","24",,,"10.4067/S0718-34372020000100003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092639823&doi=10.4067%2fS0718-34372020000100003&partnerID=40&md5=de22d522d30c7435bca6b81a8bc0bb45","Universidad de Salamanca, Spain; Pontificia Universidad Católica de Valparaíso, Av. Brasil 2950, Valparaíso, Chile","Milos, Á.T., Universidad de Salamanca, Spain, Pontificia Universidad Católica de Valparaíso, Av. Brasil 2950, Valparaíso, Chile","De-risking; Due diligence; Financial inclusion; Money laundering; Risk-based approach",,,,,,,,,,,,"Milos, Á.T.; Universidad de SalamancaSpain; email: angela.toso@pucv.cl","Pontificia Universidad Catolica de Chile 1",07160747,,,,"Spanish","Rev. Chil. Derecho",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85092639823
