Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Abbreviated Source Title,Document Type,Publication Stage,Source,EID
"Hamari J., Sjöklint M., Ukkonen A.","35361989600;56318870900;23393982600;","The sharing economy: Why people participate in collaborative consumption",2016,"Journal of the Association for Information Science and Technology","67","9",,"2047","2059",,1898,"10.1002/asi.23552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983357869&doi=10.1002%2fasi.23552&partnerID=40&md5=10c0ba99ea4bf4c4425f0903cac6c5e0","Game Research Lab, School of Information Sciences, University of Tampere, Tampereen yliopisto, FI-33014, Finland; Aalto University School of Business, P.O. Box 11000, Aalto, FI-00076, Finland; Department of ITM, Copenhagen Business School, Howitzvej 60, Frederiksberg, 2000, Denmark; Finnish Institute for Occupational Health, Topeliuksenkatu 41 A, Helsinki, 00250, Finland","Hamari, J., Game Research Lab, School of Information Sciences, University of Tampere, Tampereen yliopisto, FI-33014, Finland, Aalto University School of Business, P.O. Box 11000, Aalto, FI-00076, Finland; Sjöklint, M., Department of ITM, Copenhagen Business School, Howitzvej 60, Frederiksberg, 2000, Denmark; Ukkonen, A., Finnish Institute for Occupational Health, Topeliuksenkatu 41 A, Helsinki, 00250, Finland","collaboration; electronic commerce; resource sharing","Economics; Electronic commerce; Online systems; Sustainable development; Anecdotal evidences; collaboration; Community-based; Information and communications technologies (ICTs); On-line service; Positive attitude; Resource sharing; Societal problems; Distributed computer systems; economic aspect; electronic commerce; human; major clinical study; motivation","J. Assoc. Soc. Inf. Sci. Technol.",Article,"Final",Scopus,2-s2.0-84983357869
"Buczak A.L., Guven E.","6603771243;56086191700;","A Survey of Data Mining and Machine Learning Methods for Cyber Security Intrusion Detection",2016,"IEEE Communications Surveys and Tutorials","18","2","7307098","1153","1176",,1729,"10.1109/COMST.2015.2494502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971516631&doi=10.1109%2fCOMST.2015.2494502&partnerID=40&md5=6fa479b04b20a95e81a1ae0877cede0d","Johns Hopkins University Applied Physics Laboratory, Laurel, MD  20723, United States","Buczak, A.L., Johns Hopkins University Applied Physics Laboratory, Laurel, MD  20723, United States; Guven, E., Johns Hopkins University Applied Physics Laboratory, Laurel, MD  20723, United States","Cyber Analytics; Data Mining; Machine Learning","Artificial intelligence; Data mining; Intrusion detection; Mercury (metal); Surveys; Cyber Analytics; Cyber security; Literature survey; Machine learning methods; Learning systems","IEEE Commun. Surv. Tutor.",Article,"Final",Scopus,2-s2.0-84971516631
"Vial G.","56950697900;","Understanding digital transformation: A review and a research agenda",2019,"Journal of Strategic Information Systems","28","2",,"118","144",,1722,"10.1016/j.jsis.2019.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061119991&doi=10.1016%2fj.jsis.2019.01.003&partnerID=40&md5=7963eac62fc61e0861af7849a43bc68e","Department of Information Technology, HEC Montreal, Canada","Vial, G., Department of Information Technology, HEC Montreal, Canada","Digital innovation; Digital technologies; Digital transformation; IS strategy; Literature review; Organizational transformation","Information systems; Digital innovations; Digital technologies; Digital transformation; IS strategy; Literature reviews; Organizational transformation; Management information systems","J Strategic Inform Syst",Review,"Final",Scopus,2-s2.0-85061119991
"Zaharia M., Xin R.S., Wendell P., Das T., Armbrust M., Dave A., Meng X., Rosen J., Venkataraman S., Franklin M.J., Ghodsi A., Gonzalez J., Shenker S., Stoica I.","15064891400;42263246300;36618387400;15131117000;35800975300;54683684600;55454418400;24764957500;55312380900;7202284265;55522191698;57200981709;35593393300;7007009125;","Apache spark: A unified engine for big data processing",2016,"Communications of the ACM","59","11",,"56","65",,1624,"10.1145/2934664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994589486&doi=10.1145%2f2934664&partnerID=40&md5=2298eb98db3f2cfdb29300aa5b55532b","Department of Computer Science, Stanford University, Stanford, CA, United States; Databricks, San Francisco, CA, United States; Intelligent and Secure Systems Lab., University of California, Berkeley, United States; AMPLab, University of California, Berkeley, United States; EECS, University of California, Berkeley, United States","Zaharia, M., Department of Computer Science, Stanford University, Stanford, CA, United States, Databricks, San Francisco, CA, United States; Xin, R.S., Databricks, San Francisco, CA, United States; Wendell, P., Databricks, San Francisco, CA, United States; Das, T., Databricks, San Francisco, CA, United States; Armbrust, M., Databricks, San Francisco, CA, United States; Dave, A., Intelligent and Secure Systems Lab., University of California, Berkeley, United States; Meng, X., Databricks, San Francisco, CA, United States; Rosen, J., Databricks, San Francisco, CA, United States; Venkataraman, S., AMPLab, University of California, Berkeley, United States; Franklin, M.J., AMPLab, University of California, Berkeley, United States; Ghodsi, A., Intelligent and Secure Systems Lab., University of California, Berkeley, United States; Gonzalez, J., EECS, University of California, Berkeley, United States; Shenker, S., EECS, University of California, Berkeley, United States; Stoica, I., AMPLab, University of California, Berkeley, United States, EECS, University of California, Berkeley, United States",,"Artificial intelligence; Batch data processing; Data handling; Engines; Learning systems; Distributed data processing; Distributed modeling; Extract transform loads; Machine learning models; Off-line training; Programming models; Stream processing; University of California , Berkeley; Big data","Commun ACM",Article,"Final",Scopus,2-s2.0-84994589486
"Obermeyer Z., Emanuel E.J.","15848778500;56457863700;","Predicting the future-big data, machine learning, and clinical medicine",2016,"New England Journal of Medicine","375","13",,"1216","1219",,1600,"10.1056/NEJMp1606181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990046464&doi=10.1056%2fNEJMp1606181&partnerID=40&md5=ac19ca8a440810873860c6ade70f0a55","Department of Emergency Medicine, Harvard Medical School and Brigham, Women's Hospital, Department of Health Care Policy, Harvard Medical School, Boston, United States; Department of Medical Ethics and Health Policy, Perelman School of Medicine, Department of Health Care Management, Wharton School, University of Pennsylvania, Philadelphia, United States","Obermeyer, Z., Department of Emergency Medicine, Harvard Medical School and Brigham, Women's Hospital, Department of Health Care Policy, Harvard Medical School, Boston, United States; Emanuel, E.J., Department of Medical Ethics and Health Policy, Perelman School of Medicine, Department of Health Care Management, Wharton School, University of Pennsylvania, Philadelphia, United States",,"APACHE; clinical medicine; data analysis; data base; diagnostic error; electronic health record; human; learning algorithm; machine learning; measurement accuracy; prediction; priority journal; prognosis; Review; Sequential Organ Failure Assessment Score; statistical model; algorithm; biology; diagnosis; expert system; Algorithms; Clinical Medicine; Computational Biology; Diagnosis; Expert Systems; Machine Learning; Prognosis","New Engl. J. Med.",Review,"Final",Scopus,2-s2.0-84990046464
"Kosba A., Miller A., Shi E., Wen Z., Papamanthou C.","35758852300;56026126700;7005357410;57847212900;23397819100;","Hawk: The Blockchain Model of Cryptography and Privacy-Preserving Smart Contracts",2016,"Proceedings - 2016 IEEE Symposium on Security and Privacy, SP 2016",,,"7546538","839","858",,1513,"10.1109/SP.2016.55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987677692&doi=10.1109%2fSP.2016.55&partnerID=40&md5=f02757af372d2e9aabdca87022b3ef25","University of Maryland, United States; Cornell University, United States","Kosba, A., University of Maryland, United States; Miller, A., University of Maryland, United States; Shi, E., Cornell University, United States; Wen, Z., Cornell University, United States; Papamanthou, C., University of Maryland, United States",,"Data privacy; Program compilers; Contractual parties; Cryptographic primitives; Cryptographic protocols; Existing systems; Financial transactions; Privacy preserving; Trusted third parties; Zero knowledge proof; Cryptography","Proc. - IEEE Symp. Secur. Privacy, SP",Conference Paper,"Final",Scopus,2-s2.0-84987677692
"Oster E.","6506441583;","Unobservable Selection and Coefficient Stability: Theory and Evidence",2019,"Journal of Business and Economic Statistics","37","2",,"187","204",,1331,"10.1080/07350015.2016.1227711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020185630&doi=10.1080%2f07350015.2016.1227711&partnerID=40&md5=5a86ddb74cb009eab0ace08d4cb13972","Department of Economics, Brown University, NBER, Providence, RI, United States","Oster, E., Department of Economics, Brown University, NBER, Providence, RI, United States","Coefficient stability; Omitted variable bias; Selection",,"J. Bus. Econ. Stat.",Article,"Final",Scopus,2-s2.0-85020185630
"Jacobides M.G., Cennamo C., Gawer A.","8404310500;25924860300;6506170616;","Towards a theory of ecosystems",2018,"Strategic Management Journal","39","8",,"2255","2276",,1287,"10.1002/smj.2904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046829494&doi=10.1002%2fsmj.2904&partnerID=40&md5=9d6b097eae98a414bdbf28244962e27c","Strategy & Entrepreneurship Area, London Business School, London, United Kingdom; Department of Management & Technology, Bocconi University, Milan, Italy; Surrey Business School, Centre for the Digital Economy, University of Surrey, Guildford, Surrey, United Kingdom","Jacobides, M.G., Strategy & Entrepreneurship Area, London Business School, London, United Kingdom; Cennamo, C., Department of Management & Technology, Bocconi University, Milan, Italy; Gawer, A., Surrey Business School, Centre for the Digital Economy, University of Surrey, Guildford, Surrey, United Kingdom","complementarity; ecosystem; modularity; platform; strategy","Managers; Supply chains; complementarity; Contractual agreements; Critical factors; Governance forms; modularity; platform; strategy; Strategy research; Ecosystems","Strategic Manage J",Article,"Final",Scopus,2-s2.0-85046829494
"Sisinni E., Saifullah A., Han S., Jennehag U., Gidlund M.","24777116800;23398537500;57202122034;8618644900;25641313800;","Industrial internet of things: Challenges, opportunities, and directions",2018,"IEEE Transactions on Industrial Informatics","14","11","8401919","4724","4734",,1258,"10.1109/TII.2018.2852491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049358359&doi=10.1109%2fTII.2018.2852491&partnerID=40&md5=dc0b70894baf1442798f29e753ff52ea","Department of Information Engineering, University of Brescia, Brescia, 25123, Italy; Department of Computer Science, Wayne State University, Detroit, MI  48202, United States; Department of Computer Science and Engineering, University of Connecticut, Storrs, CT  06269, United States; Department of Information Systems and Technology, Mid Sweden University, Sundsvall, SE-851 70, Sweden","Sisinni, E., Department of Information Engineering, University of Brescia, Brescia, 25123, Italy; Saifullah, A., Department of Computer Science, Wayne State University, Detroit, MI  48202, United States; Han, S., Department of Computer Science and Engineering, University of Connecticut, Storrs, CT  06269, United States; Jennehag, U., Department of Information Systems and Technology, Mid Sweden University, Sundsvall, SE-851 70, Sweden; Gidlund, M., Department of Information Systems and Technology, Mid Sweden University, Sundsvall, SE-851 70, Sweden","Industrial internet of things (IIoT); Real-Time communication; Reliability; Security; Wireless sensor network (WSN)","Energy efficiency; Industrial research; Reliability; Wireless sensor networks; Consumer applications; Industrial internets; Internet of Things (IOT); Potential researches; Real time performance; Real-time communication; Security; Security and privacy; Internet of things","IEEE Trans. Ind. Inf.",Article,"Final",Scopus,2-s2.0-85049358359
"Luu L., Chu D.-H., Olickel H., Saxena P., Hobor A.","56184284400;54082859500;57191952920;24177718300;24468153800;","Making smart contracts smarter",2016,"Proceedings of the ACM Conference on Computer and Communications Security","24-28-October-2016",,,"254","269",,1237,"10.1145/2976749.2978309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995404927&doi=10.1145%2f2976749.2978309&partnerID=40&md5=e28e5361724ed7654fe011ce09da208f","National University of Singapore, Singapore; Yale-NUS College, Singapore","Luu, L., National University of Singapore, Singapore; Chu, D.-H., National University of Singapore, Singapore; Olickel, H., Yale-NUS College, Singapore; Saxena, P., National University of Singapore, Singapore; Hobor, A., National University of Singapore, Singapore, Yale-NUS College, Singapore",,"Electronic money; Program debugging; Semantics; Case-studies; Contract execution; Distributed networks; Operational semantics; Security bugs; Security problems; Source codes; Symbolic execution; Network security","Proc ACM Conf Computer Commun Secur",Conference Paper,"Final",Scopus,2-s2.0-84995404927
"Zervas G., Proserpio D., Byers J.W.","57203424800;57217568835;7101907468;","The rise of the sharing economy: Estimating the impact of airbnb on the hotel industry",2017,"Journal of Marketing Research","54","5",,"687","705",,1166,"10.1509/jmr.15.0204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029113169&doi=10.1509%2fjmr.15.0204&partnerID=40&md5=12721fe788cf7d8034e0eed9b8e9fff1","Department of Marketing, Questrom School of Business, Boston University, United States; Department of Marketing, Marshall School of Business, University of Southern California, United States; Computer Science Department, Boston University, United States","Zervas, G., Department of Marketing, Questrom School of Business, Boston University, United States; Proserpio, D., Department of Marketing, Marshall School of Business, University of Southern California, United States; Byers, J.W., Computer Science Department, Boston University, United States","Airbnb; Competition; Hotel industry; Peer-to-peer markets; Sharing economy",,"J. Mark. Res.",Article,"Final",Scopus,2-s2.0-85029113169
"Adner R.","55904381100;","Ecosystem as Structure: An Actionable Construct for Strategy",2017,"Journal of Management","43","1",,"39","58",,1155,"10.1177/0149206316678451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004107267&doi=10.1177%2f0149206316678451&partnerID=40&md5=1443ada2212d383397ff83607aeeb4b4","Dartmouth College, United States","Adner, R., Dartmouth College, United States","cooperative strategy; design & boundaries; industry evolution/structure; innovation management; macro topics; structure; technology strategy",,"J. Manage.",Article,"Final",Scopus,2-s2.0-85004107267
"Ding Z., Fan P., Poor H.V.","57226326300;55423269000;55665272100;","Impact of User Pairing on 5G Nonorthogonal Multiple-Access Downlink Transmissions",2016,"IEEE Transactions on Vehicular Technology","65","8","7273963","6010","6023",,1153,"10.1109/TVT.2015.2480766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969985979&doi=10.1109%2fTVT.2015.2480766&partnerID=40&md5=40928da196725795ab3d1a574b0f3b5e","Department of Electrical Engineering, Princeton University, Princeton, NJ  08544, United States; Institute of Mobile Communications, Southwest Jiaotong University, Chengdu, 610031, China","Ding, Z., Department of Electrical Engineering, Princeton University, Princeton, NJ  08544, United States; Fan, P., Institute of Mobile Communications, Southwest Jiaotong University, Chengdu, 610031, China; Poor, H.V., Department of Electrical Engineering, Princeton University, Princeton, NJ  08544, United States","Cognitive radio; nonorthogonal multiple access (NOMA); power allocation; user pairing and outage probability","Cognitive systems; Quality of service; Wireless networks; Channel conditions; Cognitive radio network; Enabling technologies; Fixed power allocations; Multiple access; Multiple access downlink; Outage probability; Power allocations; Cognitive radio","IEEE Trans. Veh. Technol.",Article,"Final",Scopus,2-s2.0-84969985979
"Hair J.F., Hult G.T.M., Ringle C.M., Sarstedt M., Thiele K.O.","16230161100;16942373500;23480356200;35957036000;57188758775;","Mirror, mirror on the wall: a comparative evaluation of composite-based structural equation modeling methods",2017,"Journal of the Academy of Marketing Science","45","5",,"616","632",,1136,"10.1007/s11747-017-0517-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013096195&doi=10.1007%2fs11747-017-0517-x&partnerID=40&md5=f8bd5e4f0a5b9fcc0e0c47a1bf0eb288","University of South Alabama, Mobile, AL, United States; Michigan State University, East Lansing, MI, United States; Hamburg University of Technology (TUHH), Hamburg, Germany; The University of Newcastle, Callaghan, NSW, Australia; Otto-von-Guericke-University Magdeburg, Magdeburg, Germany","Hair, J.F., University of South Alabama, Mobile, AL, United States; Hult, G.T.M., Michigan State University, East Lansing, MI, United States; Ringle, C.M., Hamburg University of Technology (TUHH), Hamburg, Germany, The University of Newcastle, Callaghan, NSW, Australia; Sarstedt, M., The University of Newcastle, Callaghan, NSW, Australia, Otto-von-Guericke-University Magdeburg, Magdeburg, Germany; Thiele, K.O., Hamburg University of Technology (TUHH), Hamburg, Germany","Composite; Generalized structured component analysis; GSCA; Partial least squares; PLS; SEM; Simulation; Structural equation modeling; Sum scores regression",,"J. Acad. Mark. Sci.",Article,"Final",Scopus,2-s2.0-85013096195
"Gulen H., Ion M.","36061083100;57189241858;","Policy uncertainty and corporate investment",2016,"Review of Financial Studies","29","3",,"523","564",,1125,"10.1093/rfs/hhv050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966666635&doi=10.1093%2frfs%2fhhv050&partnerID=40&md5=ccd532593f371bcbf95fbd18c9113144","Purdue University, United States; University of Arizona, United States","Gulen, H., Purdue University, United States; Ion, M., University of Arizona, United States",,,"Rev. Financ. Stud.",Review,"Final",Scopus,2-s2.0-84966666635
