Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Text 1,Funding Text 2,Correspondence Address,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Li Z., Zhong R.Y., Tian Z.G., Dai H.-N., Barenji A.V., Huang G.Q.","57189370824;55353690000;57201190028;55602606800;55616657900;7403425048;","Industrial Blockchain: A state-of-the-art Survey",2021,"Robotics and Computer-Integrated Manufacturing","70",,"102124","","",,13,"10.1016/j.rcim.2021.102124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099789254&doi=10.1016%2fj.rcim.2021.102124&partnerID=40&md5=3b76bc10d31022dba60c5d6fd26bbfb0","Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, Guangdong, China; Department of Mechanical and Energy Engineering, Southern University of Science and Technology, Shenzhen, Guangdong, China; HKU-ZIRI Lab for Physical Internet, Department of Industrial and Manufacturing Systems Engineering, University of Hong Kong, Hong Kong, Hong Kong; Faculty of Information Technology, Macau University of Science and Technology, Macao, Macau; H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, United States","Li, Z., Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, Guangdong, China, Department of Mechanical and Energy Engineering, Southern University of Science and Technology, Shenzhen, Guangdong, China; Zhong, R.Y., HKU-ZIRI Lab for Physical Internet, Department of Industrial and Manufacturing Systems Engineering, University of Hong Kong, Hong Kong, Hong Kong; Tian, Z.G., Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, Guangdong, China; Dai, H.-N., Faculty of Information Technology, Macau University of Science and Technology, Macao, Macau; Barenji, A.V., H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, United States; Huang, G.Q., HKU-ZIRI Lab for Physical Internet, Department of Industrial and Manufacturing Systems Engineering, University of Hong Kong, Hong Kong, Hong Kong","Industrial Blockchain; literature review; manufacturing; supply chain","Agricultural robots; Blockchain; Supply chains; Surveys; Asia Pacific region; Future perspectives; Improving systems; Multi dimensional; Research institutes; Research questions; Revolutionary technology; Statistic analysis; Industrial research",,,"Huang, G.Q.; HKU-ZIRI Lab for Physical Internet, Hong Kong; email: gqhuang@hku.hk","Elsevier Ltd",07365845,,RCIME,,"English","Rob Comput Integr Manuf",Review,"Final","",Scopus,2-s2.0-85099789254
"Suryono R.R., Budi I., Purwandari B.","57188804735;14021131100;56716397400;","Detection of fintech P2P lending issues in Indonesia",2021,"Heliyon","7","4","e06782","","",,12,"10.1016/j.heliyon.2021.e06782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104317093&doi=10.1016%2fj.heliyon.2021.e06782&partnerID=40&md5=564c8d9a7cb63e4aaa69106a4c86a010","Universitas Indonesia, Depok, 16424, Indonesia; Universitas Teknokrat Indonesia, Bandar Lampung, 35142, Indonesia","Suryono, R.R., Universitas Indonesia, Depok, 16424, Indonesia, Universitas Teknokrat Indonesia, Bandar Lampung, 35142, Indonesia; Budi, I., Universitas Indonesia, Depok, 16424, Indonesia; Purwandari, B., Universitas Indonesia, Depok, 16424, Indonesia","Financial technology; Fintech; Focus Group Discussion; Indonesia; P2P lending",,"This research was funded by HIBAH Publikasi Terindeks Internasional (PUTI) Doktor, Universitas Indonesia , grant number NKB-3224/UN2.RST/HKP.05.00/2020 .",,"Budi, I.; Universitas IndonesiaIndonesia; email: indra@cs.ui.ac.id","Elsevier Ltd",24058440,,,,"English","Heliyon",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104317093
"Laidroo L., Koroleva E., Kliber A., Rupeika-Apoga R., Grigaliuniene Z.","24528965800;57221953788;36782489400;57191521370;55383567400;","Business models of FinTechs – Difference in similarity?",2021,"Electronic Commerce Research and Applications","46",,"101034","","",,11,"10.1016/j.elerap.2021.101034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100738807&doi=10.1016%2fj.elerap.2021.101034&partnerID=40&md5=1901ca0944ccc7fd5d35a9bab1b14507","TalTech School of Business and Governance, Akadeemia tee 3, Tallinn, 12618, Estonia; Graduate School of Industrial Economics, Peter the Great St. Petersburg Polytechnic University, St. Petersburg, Russian Federation; Poznan University of Economics and Business, Poznan, Poland; University of Latvia, Riga, Latvia; QAHE NU London Campus, United Kingdom","Laidroo, L., TalTech School of Business and Governance, Akadeemia tee 3, Tallinn, 12618, Estonia; Koroleva, E., Graduate School of Industrial Economics, Peter the Great St. Petersburg Polytechnic University, St. Petersburg, Russian Federation; Kliber, A., Poznan University of Economics and Business, Poznan, Poland; Rupeika-Apoga, R., University of Latvia, Riga, Latvia; Grigaliuniene, Z., QAHE NU London Campus, United Kingdom","Business model attributes; Business model canvas; Business models; FinTech; FinTech ecosystem","Cluster analysis; Service industry; Surveys; Business modeling; Central and Eastern Europe; Country comparisons; Customer segments; Delivery channels; Financial service; Payment services; Value proposition; Fintech","This work was supported by the Tallinn University of Technology , Estonia, under grants B57 ‘Efficiency in Financial Sector in Light of Changing Regulatory Environment’ and BHV1 ‘Digital Development in Finance’, as well as the project grant lzp-2020/2-0061 from the Latvian Council of Science. We acknowledge also the support of National Science Poland through the project MINIATURA 2019/03/X/HS4/01025 (covering the cost of running the Polish survey) as well as Regional Initiative for Excellence programme of the Minister of Science and Higher Education of Poland, years 2019–2022, grant no. 004/RID/2018/19, financing 3,000,000 PLN (further research steps). The funding providers had no role in the research process from study design to submission.",,"Laidroo, L.; TalTech School of Business and Governance, Akadeemia tee 3, Estonia; email: laivi.laidroo@taltech.ee","Elsevier B.V.",15674223,,,,"English","Elect. Commer. Res. Appl.",Article,"Final","",Scopus,2-s2.0-85100738807
"Leal F., Chis A.E., González–Vélez H.","57190765181;57194284987;57221636692;","Multi-service model for blockchain networks",2021,"Information Processing and Management","58","3","102525","","",,8,"10.1016/j.ipm.2021.102525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100262505&doi=10.1016%2fj.ipm.2021.102525&partnerID=40&md5=c883a84e14d2b4af6dcbe16770786f40","Cloud Competency Centre, School of Computing, National College of Ireland, Dublin, Ireland; REMIT, Universidade Portucalense, Porto, Portugal","Leal, F., Cloud Competency Centre, School of Computing, National College of Ireland, Dublin, Ireland, REMIT, Universidade Portucalense, Porto, Portugal; Chis, A.E., Cloud Competency Centre, School of Computing, National College of Ireland, Dublin, Ireland; González–Vélez, H., Cloud Competency Centre, School of Computing, National College of Ireland, Dublin, Ireland","Business models; Ethereum; Network selection; Quality of service; Reliability; Service networks","Blockchain; Costs; Miners; Quality of service; Reliability; Scalability; Business modeling; Consensus algorithms; Decentralised; Evaluation metrics; Multi-services; Multiple services; Multiservice network; Service Quality; Ethereum",,,"Leal, F.; Cloud Competency Centre, Ireland; email: fatimal@upt.pt","Elsevier Ltd",03064573,,IPMAD,,"English","Inf. Process. Manage.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85100262505
"Martínez-Plumed F., Gómez E., Hernández-Orallo J.","36716636100;14015483200;6602454434;","Futures of artificial intelligence through technology readiness levels",2021,"Telematics and Informatics","58",,"101525","","",,8,"10.1016/j.tele.2020.101525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097574569&doi=10.1016%2fj.tele.2020.101525&partnerID=40&md5=ca0dd88451bde5f9ed3b26234c161a31","Joint Research Centre, European Commission, Spain; Valencian Research Institute for Artificial Intelligence (VRAIN), Universitat Politècnica de València, Spain","Martínez-Plumed, F., Joint Research Centre, European Commission, Spain, Valencian Research Institute for Artificial Intelligence (VRAIN), Universitat Politècnica de València, Spain; Gómez, E., Joint Research Centre, European Commission, Spain; Hernández-Orallo, J., Valencian Research Institute for Artificial Intelligence (VRAIN), Universitat Politècnica de València, Spain","AI technologies; Capabilities; Generality; Technology readiness; TRLs","Benchmarking; Fintech; AI Technologies; Exemplar-based; Ready to use; Real world environments; Research papers; Technology readiness levels; Two-dimension; Various technologies; Artificial intelligence","This material is based upon work supported by the EU (FEDER), and the Spanish MINECO under grant RTI2018-094403-B-C3, the Generalitat Valenciana PROMETEO/2019/098. F. Martínez-Plumed acknowledges funding of the AI-Watch project by DG CONNECT and DG JRC of the European Commission. J. Hernández-Orallo is funded by an Future of Life Institute (FLI) grant RFP2-152.",,"Martínez-Plumed, F.; Joint Research Centre, Spain; email: Fernando.MARTINEZ-PLUMED@ec.europa.eu","Elsevier Ltd",07365853,,TEINE,,"English","Telematics Inf",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85097574569
"Fletcher E., Larkin C., Corbet S.","57222197862;17434737500;56443822800;","Countering money laundering and terrorist financing: A case for bitcoin regulation",2021,"Research in International Business and Finance","56",,"101387","","",,8,"10.1016/j.ribaf.2021.101387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101864835&doi=10.1016%2fj.ribaf.2021.101387&partnerID=40&md5=5229bffa5ffa5da08830209a2227466c","Kreiger School of Arts & Sciences, Johns Hopkins University, Baltimore, MD, United States; Institute for Policy Research, University of Bath, United Kingdom; Trinity Business School, Trinity College Dublin, Dublin 2, Ireland; DCU Business School, Dublin City University, Dublin 9, Ireland; School of Accounting, Finance and Economics, University of Waikato, New Zealand","Fletcher, E., Kreiger School of Arts & Sciences, Johns Hopkins University, Baltimore, MD, United States; Larkin, C., Kreiger School of Arts & Sciences, Johns Hopkins University, Baltimore, MD, United States, Institute for Policy Research, University of Bath, United Kingdom, Trinity Business School, Trinity College Dublin, Dublin 2, Ireland; Corbet, S., DCU Business School, Dublin City University, Dublin 9, Ireland, School of Accounting, Finance and Economics, University of Waikato, New Zealand","Cryptocurrency; Money laundering; Regulation; Terrorist financing",,,,"Corbet, S.; DCU Business School, Dublin 9, Ireland; email: shaen.corbet@dcu.ie","Elsevier Ltd",02755319,,,,"English","Res. Int. Bus. Financ.",Article,"Final","",Scopus,2-s2.0-85101864835
"Nasir A., Shaukat K., Khan K.I., Hameed I.A., Alam T.M., Luo S.","55398249000;53986622700;54395558800;36175945700;57208017350;13103725600;","What is Core and What Future Holds for Blockchain Technologies and Cryptocurrencies: A Bibliometric Analysis",2021,"IEEE Access","9",,"9305241","989","1004",,8,"10.1109/ACCESS.2020.3046931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098780894&doi=10.1109%2fACCESS.2020.3046931&partnerID=40&md5=97847e4432571bb55384076157b319aa","Department of Management Sciences, Lahore College for Women University, Lahore, 54000, Pakistan; School of Electrical Engineering and Computing, The University of Newcastle, Callaghan, NSW  2308, Australia; Institute of Business and Management, University of Engineering and Technology at Lahore, Lahore, 54000, Pakistan; Department of ICT and Natural Sciences, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Punjab University College of Information Technology, University of the Punjab, Lahore, 54590, Pakistan; Department of Computer Science, University of Engineering and Technology, Lahore, 54890, Pakistan","Nasir, A., Department of Management Sciences, Lahore College for Women University, Lahore, 54000, Pakistan; Shaukat, K., School of Electrical Engineering and Computing, The University of Newcastle, Callaghan, NSW  2308, Australia, Punjab University College of Information Technology, University of the Punjab, Lahore, 54590, Pakistan; Khan, K.I., Institute of Business and Management, University of Engineering and Technology at Lahore, Lahore, 54000, Pakistan; Hameed, I.A., Department of ICT and Natural Sciences, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Alam, T.M., Department of Computer Science, University of Engineering and Technology, Lahore, 54890, Pakistan; Luo, S., School of Electrical Engineering and Computing, The University of Newcastle, Callaghan, NSW  2308, Australia","bibliometric analysis; bitcoin; Blockchain; cryptocurrency; digital currency; litecoin; ripple; security","Cryptocurrency; Data streams; Information management; Research and development management; Bibliometric analysis; Consensus protocols; Core journals; Data and information; Islamic finances; Peking University; Security management; Stepping stone; Blockchain","This work was supported by the Norwegian University of Science and Technology, Norway.",,"Shaukat, K.; School of Electrical Engineering and Computing, Australia; email: kamran.shaukat@uon.edu.au","Institute of Electrical and Electronics Engineers Inc.",21693536,,,,"English","IEEE Access",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098780894
"Harraf A., Ghura H., Hamdan A., Li X.","57204285743;57211299793;56825295800;36844333000;","Formal institutions and the development of entrepreneurial activity – the contingent role of corruption in emerging economies",2021,"Journal of Entrepreneurship and Public Policy","10","1",,"15","37",,7,"10.1108/JEPP-06-2020-0033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097240948&doi=10.1108%2fJEPP-06-2020-0033&partnerID=40&md5=7967dabc989015ea5544e8492635310c","Business Studies, Box Hill Institute, Box Hill College Kuwait, Safat, Kuwait; Accounting and Finance, Ahlia University, Manama, Bahrain; Brunel University London, Uxbridge, United Kingdom","Harraf, A., Business Studies, Box Hill Institute, Box Hill College Kuwait, Safat, Kuwait; Ghura, H., Business Studies, Box Hill Institute, Box Hill College Kuwait, Safat, Kuwait; Hamdan, A., Accounting and Finance, Ahlia University, Manama, Bahrain; Li, X., Brunel University London, Uxbridge, United Kingdom","Corruption; Emerging economies; Entrepreneurship",,,,"Harraf, A.; Business Studies, Kuwait; email: a.harraf@bhck.edu.kw","Emerald Group Holdings Ltd.",20452101,,,,"English","J. Enterpr. Pub. Pol.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85097240948
"von Solms J.","57218227306;","Integrating Regulatory Technology (RegTech) into the digital transformation of a bank Treasury",2021,"Journal of Banking Regulation","22","2",,"152","168",,6,"10.1057/s41261-020-00134-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090438623&doi=10.1057%2fs41261-020-00134-0&partnerID=40&md5=e57d8778ac84ba65bc8e82bb0706b23d","University of Johannesburg, Cnr of Kingsway avenue & University road, Johannesburg, South Africa","von Solms, J., University of Johannesburg, Cnr of Kingsway avenue & University road, Johannesburg, South Africa","Coronavirus; Digital technology; Innovation; Regulations and compliance; Regulatory Technology (RegTech); Smart Treasury",,,,"von Solms, J.; University of Johannesburg, Cnr of Kingsway avenue & University road, South Africa; email: jvonsolms@gmail.com","Palgrave Macmillan",17456452,,,,"English","J. Bank. Regul.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85090438623
"Siering M., Muntermann J., Grčar M.","55073684900;15623729200;15076659600;","Design principles for robust fraud detection: The case of stock market manipulations",2021,"Journal of the Association for Information Systems","22","1","4","156","178",,6,"10.17705/1jais.00657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099539821&doi=10.17705%2f1jais.00657&partnerID=40&md5=d703540fbb936da07ec87641ee5b7264","Goethe University, Frankfurt, Germany; University of Goettingen, Germany; Jožef Stefan Institute, Slovenia","Siering, M., Goethe University, Frankfurt, Germany; Muntermann, J., University of Goettingen, Germany; Grčar, M., Jožef Stefan Institute, Slovenia","Data Mining; Design Principles; Ensemble Learning; Fraud Detection; Instrumentalism; Market Manipulation; Text Mining","Classification (of information); Crime; Financial markets; Linguistics; Design Principles; Ensemble learning; Fraud detection system; Linguistic features; Market manipulation; Robustness evaluation; Securities fraud; Supervisory authority; Feature extraction",,,,"Association for Information Systems",15369323,,,,"English","J. Assoc. Inf. Syst.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85099539821
"Aggarwal S., Kumar N.","57195931525;57206866080;","Blockchain 2.0: Smart contracts☆",2021,"Advances in Computers","121",,,"301","322",,6,"10.1016/bs.adcom.2020.08.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092066769&doi=10.1016%2fbs.adcom.2020.08.015&partnerID=40&md5=5ffa000424a6e584854c305f491200ce","Thapar Institute of Engineering & Technology, Patiala, Punjab, India","Aggarwal, S., Thapar Institute of Engineering & Technology, Patiala, Punjab, India; Kumar, N., Thapar Institute of Engineering & Technology, Patiala, Punjab, India","Ethereum platform; Smart contracts; Solidity",,"Neeraj Kumar received his PhD in CSE from Shri Mata Vaishno Devi University, Katra (Jammu and Kashmir), India in 2009, and was a postdoctoral research fellow in Coventry University, Coventry, United Kingdom. He is working as a professor in the Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology (Deemed to be University), Patiala, Punjab, India. He has published more than 400 technical research papers in top-cited journals such as IEEE TKDE, IEEE TIE, IEEE TDSC, IEEE TITS, IEEE TCE, IEEE TII, IEEE TVT, IEEE ITS, IEEE SG, IEEE Network, IEEE Communications, IEEE WC, IEEE IoTJ, IEEE SJ, Computer Networks, Information sciences, FGCS, JNCA, JPDC, and ComCom. He has guided many research scholars leading to PhD and ME/MTech. His research is supported by funding from UGC, DST, CSIR, and TCS. His research areas are Network management, IoT, Big Data Analytics, Deep learning, and cyber-security. He is serving as an editor of the following journals of repute: ACM Computing Survey, ACM·IEEE Transactions on Sustainable Computing, IEEE·IEEE Systems Journal, IEEE·IEEE Network Magazine, IEE·IEEE Communication Magazine, IEE·Journal of Net-works and Computer Applications, Elsevier · Computer Communication, Elsevier·International Journal of Communication Systems, Wiley. Also, he has been a guest editor of various International Journals of repute such as IEEE Access, IEEE ITS, Elsevier CEE, IEEE Communication Magazine, IEEE Network Magazine, Computer Networks, Elsevier, Future Generation Computer Systems, Elsevier, Journal of Medical Systems, Springer, Computer and Electrical Engineering, Elsevier, Mobile Information Systems, International Journal of Ad hoc, and Ubiquitous Computing, Telecommunication Systems, Springer, and Journal of Supercomputing, Springer. He has also edited/authored 10 books with International/National Publishers like IET, Springer, Elsevier, CRC, Security and Privacy of Electronic Healthcare Records: Concepts, paradigms and solutions (ISBN-13: 978-1-78561-898-7), Machine Learning for Cognitive IoT, CRC Press, Blockchain, Big Data and IoT, Blockchain Technologies across industrial vertical, Elsevier, Multimedia Big Data Computing for IoT Applications: Concepts, Paradigms and Solutions (ISBN: 978-981-13-8759-3), Proceedings of First International Conference on Computing, Communications, and Cyber-Security (IC4S 2019) (ISBN 978-981-15-3369-3). One of the edited text-book entitled “Multimedia Big Data Computing for IoT Applications: Concepts, Paradigms, and Solutions” published in Springer in 2019 is having 3.5 million downloads till June 06, 2020. It attracts the attention of the researchers across the globe (https://www.springer.com/in/book/9789811387586). He has been a workshop chair at IEEE Globecom 2018 and IEEE ICC 2019 and TPC Chair and member for various International conferences such as IEEE MASS 2020 and IEEE MSN 2020. He is a senior member of the IEEE. He has more than 12,321 citations to his credit with current h-index of 60 (September 2020). He has won the best papers award from IEEE Systems Journal and ICC 2018, Kansas-city in 2018. He has been listed in the highly cited researcher of 2019 list of web of science (WoS). In India, he is listed in top 10 position among highly cited researchers list. He is an adjunct professor at Asia University, Taiwan, King Abdul Aziz University, Jeddah, Saudi Arabia and Charles Darwin University, Australia.",,,"Academic Press Inc.",00652458,9780128219911,,,"English","Adv. Comput.",Book Chapter,"Final","",Scopus,2-s2.0-85092066769
"Clapham B., Siering M., Gomber P.","57190298144;55073684900;6603092979;","Popular News Are Relevant News! How Investor Attention Affects Algorithmic Decision-Making and Decision Support in Financial Markets",2021,"Information Systems Frontiers","23","2",,"477","494",,5,"10.1007/s10796-019-09950-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075373874&doi=10.1007%2fs10796-019-09950-w&partnerID=40&md5=41281ddec5d12d8d7931a5e215721650","Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Frankfurt, 60323, Germany","Clapham, B., Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Frankfurt, 60323, Germany; Siering, M., Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Frankfurt, 60323, Germany; Gomber, P., Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Frankfurt, 60323, Germany","Algorithmic decision-making; Decision support systems; Investor attention; Sentiment analysis; Trading simulation; Trading strategies","Commerce; Data Analytics; Decision making; Decision support systems; Financial markets; Investments; Large dataset; Losses; Sentiment analysis; Decision supports; Economic loss; Investment decisions; Investor attention; Market participants; Small data set; Trading simulation; Trading strategies; Electronic trading",,,"Siering, M.; Goethe University Frankfurt, Theodor-W.-Adorno-Platz 4, Germany; email: siering@wiwi.uni-frankfurt.de","Springer",13873326,,,,"English","Inf. Syst. Front.",Article,"Final","",Scopus,2-s2.0-85075373874
"Turki M., Hamdan A., Ajmi J.A., Razzaque A.","57217296515;56825295800;57571811400;55038266000;","Regulatory technology (regtech) and money laundering prevention: exploratory study from bahrain",2021,"Advances in Intelligent Systems and Computing","1141",,,"349","359",,5,"10.1007/978-981-15-3383-9_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087013571&doi=10.1007%2f978-981-15-3383-9_32&partnerID=40&md5=57a6d532227e2f5ecb02cff44b5f0bc7","Ahlia University, Manama, Bahrain; Conventional Wholesale Bank, Compliance Assistant, DMLRO, Inspection Officer, Manama, Bahrain","Turki, M., Conventional Wholesale Bank, Compliance Assistant, DMLRO, Inspection Officer, Manama, Bahrain; Hamdan, A., Ahlia University, Manama, Bahrain; Ajmi, J.A., Ahlia University, Manama, Bahrain; Razzaque, A., Ahlia University, Manama, Bahrain","Anti-money laundering; Bahrain; Regulatory technology (RegTech)","Banking; Logistic regression; Machine learning; Anti-money laundering; Banking industry; Compliance costs; Descriptive analysis; Exploratory studies; Financial crisis; Money laundering; Regression model; Laundering",,,"Hamdan, A.; Ahlia UniversityBahrain; email: allamh3@hotmail.com","Springer",21945357,9789811533822,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final","",Scopus,2-s2.0-85087013571
"Demianchuk M., Bezpartochnyi M., Filipishyna L., Živitere M.","57211272775;57221374730;56512244000;56669949500;","The model of achieving a balanced balance between economic efficiency and ecological-social responsibility of digitalized enterprise",2021,"Journal of Optimization in Industrial Engineering","14","1",,"63","70",,4,"10.22094/JOIE.2020.677817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098974588&doi=10.22094%2fJOIE.2020.677817&partnerID=40&md5=022e5cda4fd2bb81a68076d6b71e6743","Department of Finance Banking and Insurance, Odessa I.I. Mechnikov National University, Odessa, Ukraine; Department of Economics and Marketing, National Aerospace University N. Zhukovsky ""Kharkiv Aviation Institute"", Kharkiv, Ukraine; Director of Innovation Centre, National University of Shipbuilding named after Admiral Makarov, Mykolaiv, Ukraine; Head of Department, ISMA University, Riga, Latvia","Demianchuk, M., Department of Finance Banking and Insurance, Odessa I.I. Mechnikov National University, Odessa, Ukraine; Bezpartochnyi, M., Department of Economics and Marketing, National Aerospace University N. Zhukovsky ""Kharkiv Aviation Institute"", Kharkiv, Ukraine; Filipishyna, L., Director of Innovation Centre, National University of Shipbuilding named after Admiral Makarov, Mykolaiv, Ukraine; Živitere, M., Head of Department, ISMA University, Riga, Latvia","Balanced development; Digitization; Responsibility of the enterprise; Socio-ecological-economic development",,,,"Demianchuk, M.; Department of Finance Banking and Insurance, Ukraine","Qazvin Islamic Azad University",22519904,,,,"English","J. Optim. Ind. Eng.",Article,"Final","",Scopus,2-s2.0-85098974588
"Fuad A., Al-Hashimi M., Hamdan A.","57070158900;57208342511;56825295800;","The Impact of Innovative Technology on the Aviation Industry and on Customers Preference",2021,"Studies in Computational Intelligence","935",,,"57","69",,4,"10.1007/978-3-030-62796-6_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102010951&doi=10.1007%2f978-3-030-62796-6_3&partnerID=40&md5=7da7e10cf852ebb27bb4f0843799c1a9","Customer and Priority Care Officer, Gulf Air, Washington, DC, Bahrain; College of Business and Finance, Ahlia University, Manama, Bahrain","Fuad, A., Customer and Priority Care Officer, Gulf Air, Washington, DC, Bahrain; Al-Hashimi, M., College of Business and Finance, Ahlia University, Manama, Bahrain; Hamdan, A., College of Business and Finance, Ahlia University, Manama, Bahrain","Airline industry; Airline passengers; Bahrain; Innovative technology",,,,"Hamdan, A.; College of Business and Finance, Bahrain; email: allamh3@hotmail.com","Springer Science and Business Media Deutschland GmbH",1860949X,,,,"English","Stud. Comput. Intell.",Book Chapter,"Final","",Scopus,2-s2.0-85102010951
"Le M.T.H.","57219950630;","Examining factors that boost intention and loyalty to use Fintech post-COVID-19 lockdown as a new normal behavior",2021,"Heliyon","7","8","e07821","","",,3,"10.1016/j.heliyon.2021.e07821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115361939&doi=10.1016%2fj.heliyon.2021.e07821&partnerID=40&md5=994f1e8aed2a474c656d287f87f2383b","University of Economics, Ho Chi Minh City, Viet Nam","Le, M.T.H., University of Economics, Ho Chi Minh City, Viet Nam","COVID-19 lockdown; Intention to use; Loyalty; New normal behavior; Perceived usefulness",,"Fintech technology (Fintech) is an emerging innovation in the financial industry, driven in part by the era of Industry 4.0. Internet availability and mobile communication have become indispensable in modern life, making the US a huge market for digital financial services. Fintech includes checking bank balances, making payments, and performing account transactions ( Tiwari and Kartika, 2019 ). According to Forbes, consumer utilization of finance apps grew 71% in 2019( Salz, 2020 ). In 2018, the US Fintech market was $18, and Fintech start-ups have recently boomed ( Kauflin, 2020 ). Internet financial service users are going mobile, and most banks and other financial services are competing to gain a large number of users ( Fisher, 2001 ; Lee et al., 2012 ). During lockdown due to COVID-19, shops and borders have closed and Fintech has accelerated at a rapid speed ( Talwar et al., 2020 ), creating a significant opportunity for Fintech firms.",,"Le, M.T.H.; University of EconomicsViet Nam; email: minhlth@ueh.edu.vn","Elsevier Ltd",24058440,,,,"English","Heliyon",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85115361939
"Petrov N.A.","57217736530;","Main Trends in the Market of Electronic Financial Services in Russia",2021,"Lecture Notes in Networks and Systems","160 LNNS",,,"708","712",,3,"10.1007/978-3-030-60929-0_91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093842716&doi=10.1007%2f978-3-030-60929-0_91&partnerID=40&md5=9eea5f10b89aa2e055f136fb699fdbc4","Samara State University of Economics, Samara, Russian Federation","Petrov, N.A., Samara State University of Economics, Samara, Russian Federation","Bank; Credit cards; Cryptocurrency; Electronic payments; Online trading; Payment orders",,,,"Petrov, N.A.; Samara State University of EconomicsRussian Federation; email: petrovnkt@gmail.com","Springer Science and Business Media Deutschland GmbH",23673370,9783030609283,,,"English","Lect. Notes Networks Syst.",Conference Paper,"Final","",Scopus,2-s2.0-85093842716
"Maslii N., Riashchenko V., Syvolap L., Bezpartochna O.","57201065209;57221740250;57226664786;57226659769;","Management approach to implementation of eep-system and cbip for effective of enterprises' integration",2021,"Journal of Information Technology Management","13",,,"91","102",,2,"10.22059/JITM.2021.80739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112289772&doi=10.22059%2fJITM.2021.80739&partnerID=40&md5=fdb8c7d107c45a534f8b1525c0ffd973","Department of Finance Banking and Insurance, Odessa I.I. Mechnikov National University, Odessa, Ukraine; Department of Management and Marketing, ISMA University, Riga, Latvia; Department of Human Resources and Enterprise Economics, Donetsk State University of Management, Mariupol, Ukraine; Department of Finance, University of Finance Business and Entrepreneurship, Sofia, Bulgaria","Maslii, N., Department of Finance Banking and Insurance, Odessa I.I. Mechnikov National University, Odessa, Ukraine; Riashchenko, V., Department of Management and Marketing, ISMA University, Riga, Latvia; Syvolap, L., Department of Human Resources and Enterprise Economics, Donetsk State University of Management, Mariupol, Ukraine; Bezpartochna, O., Department of Finance, University of Finance Business and Entrepreneurship, Sofia, Bulgaria","Comprehensive business integration process (CBIP); ERP-system; Information systems; Information technologies; Simulation modeling",,,,"Maslii, N.; Department of Finance Banking and Insurance, Ukraine; email: n.maslii@onu.edu.ua","University of Tehran",20085893,,,,"English","J. Inf. Technol. Manag.",Article,"Final","",Scopus,2-s2.0-85112289772
