authors,document_title,pub_year,publication_name,doi,issn,isbn,pubmed_id,eissn
Wang JS,Exploring biometric identification in FinTech applications based on the modified TAM,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00260-2,21994730,,,
Le L-TN;Yarovaya L;Nasir MA,Did COVID-19 change spillover patterns between Fintech and other asset classes?,2021,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/J.RIBAF.2021.101441,02755319,,,
Hasan M;Le T;Hoque A,How does financial literacy impact on inclusive finance?,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00259-9,21994730,,,
Kou G;Olgu Akdeniz Ö;Dinçer H;Yüksel S,Fintech investments in European banks: a hybrid IT2 fuzzy multidimensional decision-making approach,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00256-Y,21994730,,,
Meng Y;Wu H;Zhao W;Chen W;Dinçer H;Yüksel S,A hybrid heterogeneous Pythagorean fuzzy group decision modelling for crowdfunding development process pathways of fintech-based clean energy investment projects,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00250-4,21994730,,,
Bertrand J;Weill L,Do algorithms discriminate against African Americans in lending?,2021,ECONOMIC MODELLING,10.1016/J.ECONMOD.2021.105619,02649993,,,
Dong C;Chen C;Shi X;Ng CT,Operations strategy for supply chain finance with asset-backed securitization: Centralization and blockchain adoption,2021,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,10.1016/J.IJPE.2021.108261,09255273,,,
Suri T;Bharadwaj P;Jack W,Fintech and household resilience to shocks: Evidence from digital loans in Kenya,2021,JOURNAL OF DEVELOPMENT ECONOMICS,10.1016/J.JDEVECO.2021.102697,03043878,,,
Xu Y;Bao H;Zhang W;Zhang S,Which financial earmarking policy is more effective in promoting FinTech innovation and regulation?,2021,INDUSTRIAL MANAGEMENT AND DATA SYSTEMS,10.1108/IMDS-11-2020-0656,02635577,,,
Di Maggio M;Yao V,Fintech Borrowers: Lax Screening or Cream-Skimming?,2021,REVIEW OF FINANCIAL STUDIES,10.1093/RFS/HHAA142,08939454,,,
Al-Dmour A;Al-Dmour R;Al-Dmour HH;Ahmadamin EB,The effect of big data analytic capabilities upon bank performance via fintech innovation: UAE evidence,2021,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR,10.4018/IJISSS.2021100104,19355688,,,
Fang H;Chung C-P;Lu Y-C;Lee Y-H;Wang W-H,The impacts of investors' sentiments on stock returns using fintech approaches,2021,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,10.1016/J.IRFA.2021.101858,10575219,,,
Frimpong Boamah E;Murshid NS;Mozumder MGN,A network understanding of FinTech (in)capabilities in the global South,2021,APPLIED GEOGRAPHY,10.1016/J.APGEOG.2021.102538,01436228,,,
Kabengele C;Hahn R,Institutional and firm-level factors for mobile money adoption in emerging markets–A configurational analysis,2021,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/J.TECHFORE.2021.120934,00401625,,,
Xia Y;Zhao J;He L;Li Y;Yang X,Forecasting loss given default for peer-to-peer loans via heterogeneous stacking ensemble approach,2021,INTERNATIONAL JOURNAL OF FORECASTING,10.1016/J.IJFORECAST.2021.03.002,01692070,,,
Campino J;Brochado A;Rosa Á,Initial Coin Offerings (ICOs): the importance of human capital,2021,JOURNAL OF BUSINESS ECONOMICS,10.1007/S11573-021-01037-W,00442372,,,
Puthusserry P;Khan Z;Nair SR;King T,Mitigating Psychic Distance and Enhancing Internationalization of Fintech SMEs from Emerging Markets: The Role of Board of Directors,2021,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12502,10453172,,,
Hornuf L;Klus MF;Lohwasser TS;Schwienbacher A,How do banks interact with fintech startups?,2021,SMALL BUSINESS ECONOMICS,10.1007/S11187-020-00359-3,0921898X,,,
Gernego I;Petrenko L;Dyba M,FinTech Innovative Effects in Ukraine,2021,2021 11TH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER INFORMATION TECHNOLOGIES ACIT 2021  PROCEEDINGS,10.1109/ACIT52158.2021.9548508,,9781665418546,,
Wang J,“The party must strengthen its leadership in finance!”: Digital technologies and financial governance in China’s Fintech development,2021,CHINA QUARTERLY,10.1017/S0305741020000879,03057410,,,
Xia Y;Li Y;He L;Xu Y;Meng Y,Incorporating multilevel macroeconomic variables into credit scoring for online consumer lending,2021,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,10.1016/J.ELERAP.2021.101095,15674223,,,
Didenko AN,A better model for australia’s enhanced fintech sandbox,2021,UNIVERSITY OF NEW SOUTH WALES LAW JOURNAL,,03130096,,,
Setiawan B;Nugraha DP;Irawan A;Nathan RJ;Zoltan Z,User innovativeness and fintech adoption in indonesia,2021,JOURNAL OF OPEN INNOVATION TECHNOLOGY MARKET AND COMPLEXITY,10.3390/JOITMC7030188,21998531,,,
Ahern D,"Regulatory Lag, Regulatory Friction and Regulatory Transition as FinTech Disenablers: Calibrating an EU Response to the Regulatory Sandbox Phenomenon",2021,EUROPEAN BUSINESS ORGANIZATION LAW REVIEW,10.1007/S40804-021-00217-Z,15667529,,,
Ammann M;Schaub N,Do individual investors trade on investment-related internet postings?,2021,MANAGEMENT SCIENCE,10.1287/MNSC.2020.3733,00251909,,,
Haakman M;Cruz L;Huijgens H;van Deursen A,AI lifecycle models need to be revised: An exploratory study in Fintech,2021,EMPIRICAL SOFTWARE ENGINEERING,10.1007/S10664-021-09993-1,13823256,,,
Hernández-Nieves E;Hernández G;Gil-González AB;Rodríguez-González S;Corchado JM,CEBRA: A CasE-Based Reasoning Application to recommend banking products,2021,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,10.1016/J.ENGAPPAI.2021.104327,09521976,,,
Caglayan M;Talavera O;Zhang W,Herding behaviour in P2P lending markets,2021,JOURNAL OF EMPIRICAL FINANCE,10.1016/J.JEMPFIN.2021.05.005,09275398,,,
Maskara PK;Kuvvet E;Chen G,The role of P2P platforms in enhancing financial inclusion in the United States: An analysis of peer-to-peer lending across the rural–urban divide,2021,FINANCIAL MANAGEMENT,10.1111/FIMA.12341,00463892,,,
Hsu S;Li J;Bao H,P2P lending in China: Role and prospects for the future,2021,MANCHESTER SCHOOL,10.1111/MANC.12332,14636786,,,
Nurlaily F;Aini EK;Asmoro PS,Understanding the fintech continuance intention of Idonesian users: The moderating effect of gender,2021,BUSINESS THEORY AND PRACTICE,10.3846/BTP.2021.13880,16480627,,,
Tohang V;Ramadhan AS;Djajadiningrat V,An empirical study on customer acceptance of FinTech 3.0 in private banking,2021,PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND TECHNOLOGY ICIMTECH 2021,10.1109/ICIMTECH53080.2021.9535074,,9781665449373,,
Kurniawan R,Examination of the variables affecting customers' acceptance of online lending platform,2021,PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND TECHNOLOGY ICIMTECH 2021,10.1109/ICIMTECH53080.2021.9534911,,9781665449373,,
Theresia S;Tan H-S,Evaluation of service quality and user experience on credit card application using e-SERVQUAL model and usability testing,2021,IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE,10.1088/1755-1315/794/1/012095,17551307,,,
Le MTH,Examining factors that boost intention and loyalty to use Fintech post-COVID-19 lockdown as a new normal behavior,2021,HELIYON,10.1016/J.HELIYON.2021.E07821,24058440,,,
Le TDQ;Ho TH;Nguyen DT;Ngo T,Fintech credit and bank efficiency: International evidence,2021,INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,10.3390/GELS7030123,22277072,,,
Liu Z;Liu C;Lin W;Zhao J,Pretraining Financial Language Model with Multi-Task Learning for Financial Text Mining [用于金融文本挖掘的多任务学习预训练金融语言模型],2021,JISUANJI YANJIU YU FAZHANCOMPUTER RESEARCH AND DEVELOPMENT,10.7544/ISSN1000-1239.2021.20210298,10001239,,,
Cao L;Yang Q;Yu PS,Data science and AI in FinTech: an overview,2021,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,10.1007/S41060-021-00278-W,2364415X,,,
Hwang Y;Park S;Shin N,Sustainable development of a mobile payment security environment using fintech solutions,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13158375,20711050,,,
Faccia A;Petratos P,"Blockchain, enterprise resource planning (ERP) and accounting information systems (AIS): Research on e-procurement and system integration",2021,APPLIED SCIENCES SWITZERLAND,10.3390/APP11156792,20763417,,,
Ji X;Wang K;Xu H;Li M,Has digital financial inclusion narrowed the urban-rural income gap: The role of entrepreneurship in China,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13158292,20711050,,,
Xie J;Ye L;Huang W;Ye M,Understanding fintech platform adoption: Impacts of perceived value and perceived risk,2021,JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,10.3390/JTAER16050106,07181876,,,
Lebichot B;Paldino GM;Siblini W;He-Guelton L;Oblé F;Bontempi G,Incremental learning strategies for credit cards fraud detection,2021,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,10.1007/S41060-021-00258-0,2364415X,,,
Barbu CM;Florea DL;Dabija D-C;Barbu MCR,Customer experience in fintech,2021,JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,10.3390/JTAER16050080,07181876,,,
Wójcik D,"Financial geography II: The impacts of FinTech – Financial sector and centres, regulation and stability, inclusion and governance",2021,PROGRESS IN HUMAN GEOGRAPHY,10.1177/0309132520959825,03091325,,,
Lai KPY;Samers M,Towards an economic geography of FinTech,2021,PROGRESS IN HUMAN GEOGRAPHY,10.1177/0309132520938461,03091325,,,
Gazel M;Schwienbacher A,Entrepreneurial fintech clusters,2021,SMALL BUSINESS ECONOMICS,10.1007/S11187-020-00331-1,0921898X,,,
[No author name available],The role of green finance in community renewable energy projects of main region and taiwan,2021,LEX LOCALIS,10.4335/19.3.503-519(2021),15815374,,,
Lui A;Ryder N,"FinTech, Artificial Intelligence and the Law: Regulation and Crime Prevention",2021,FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,10.4324/9781003020998,,9781000412628; 9781032012469,,
Collard S;Gosset P;Evans J,Designing social-purpose FinTech: A UK case study,2021,FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,,,9781000412628; 9781032012469,,
Soon S,Improving the digital financial services ecosystem through collaboration of regulators and FinTech companies,2021,FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,,,9781000412628; 9781032012469,,
Durodola LO,Towards a responsible use of artificial intelligence (AI) and fintech in modern banking,2021,FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,,,9781000412628; 9781032012469,,
Bansal G;Chamola V;Kaddoum G;Piran MJ;Alrashoud M,Next generation stock exchange: Recurrent neural learning model for distributed ledger transactions,2021,COMPUTER NETWORKS,10.1016/J.COMNET.2021.107998,13891286,,,
Yoon C;Lim D,Customers’ intentions to switch to internet-only banks: Perspective of the push-pull-mooring model,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13148062,20711050,,,
Guo Q;Chen S;Zeng X,Does Fintech Narrow the Gender Wage Gap? Evidence from China,2021,CHINA AND WORLD ECONOMY,10.1111/CWE.12382,16712234,,,
A Basha S;Elgammal MM;Abuzayed BM,Online peer-to-peer lending: A review of the literature,2021,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,10.1016/J.ELERAP.2021.101069,15674223,,,
Muganyi T;Yan L;Sun H-P,"Green finance, fintech and environmental protection: Evidence from China",2021,ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,10.1016/J.ESE.2021.100107,26664984,,,
Alkhazaleh AMK;Haddad H,How does the Fintech services delivery affect customer satisfaction: A scenario of Jordanian banking sector,2021,STRATEGIC CHANGE,10.1002/JSC.2434,10991697,,,
Vergara CC;Agudo LF,Fintech and sustainability: Do they affect each other?,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13137012,20711050,,,
Luo D;Mishra T;Yarovaya L;Zhang Z,Investing during a Fintech Revolution: Ambiguity and return risk in cryptocurrencies,2021,JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS AND MONEY,10.1016/J.INTFIN.2021.101362,10424431,,,
Scott E;Milani F;Kilu E;Pfahl D,Enhancing agile software development in the banking sector—A comprehensive case study at LHV,2021,JOURNAL OF SOFTWARE EVOLUTION AND PROCESS,10.1002/SMR.2363,20477481,,,
Cho T-Y;Chen Y-S,The impact of financial technology on China's banking industry: An application of the metafrontier cost Malmquist productivity index,2021,NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,10.1016/J.NAJEF.2021.101414,10629408,,,
Wang M;Li X;Wang S,Discovering research trends and opportunities of green finance and energy policy: A data-driven scientometric analysis,2021,ENERGY POLICY,10.1016/J.ENPOL.2021.112295,03014215,,,
Lee C-C;Li X;Yu C-H;Zhao J,Does fintech innovation improve bank efficiency? Evidence from China's banking industry,2021,INTERNATIONAL REVIEW OF ECONOMICS AND FINANCE,10.1016/J.IREF.2021.03.009,10590560,,,
Chatterjee S;Sarker S;Lee MJ;Xiao X;Elbanna A,A possible conceptualization of the information systems (IS) artifact: A general systems theory perspective1,2021,INFORMATION SYSTEMS JOURNAL,10.1111/ISJ.12320,13501917,,,
Chen T-H;Chang R-C,Using machine learning to evaluate the influence of FinTech patents: The case of Taiwan's financial industry,2021,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,10.1016/J.CAM.2020.113215,03770427,,,
Takeda F;Takeda K;Takemura T;Ueda R,The impact of information technology investment announcements on the market value of the Japanese regional banks,2021,FINANCE RESEARCH LETTERS,10.1016/J.FRL.2020.101811,15446123,,,
Paul T,Fintech Empowers Prediction of Stock Market Index Using Artificial Neural Network,2021,ICAICST 2021  2021 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND COMPUTER SCIENCE TECHNOLOGY,10.1109/ICAICST53116.2021.9497817,,9781665424042,,
Wu G;Yuan H,The impact of fintech on the profitability of state-owned commercial banks in China,2021,JOURNAL OF PHYSICS CONFERENCE SERIES,10.1088/1742-6596/1955/1/012007,17426588,,,
Wanzeller WF;Cruz ME;Carvalho MF;Da Cruz AMR,Nice Payer-A software platform for registering Debtors with Past Due Debts [Nice Payer-Plataforma de Software Para Registo de Devedores com Dívidas Vencidas],2021,IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES CISTI,10.23919/CISTI52073.2021.9476227,21660727,9789895465910,,
Serbulova N,Fintech as a transformation driver of global financial markets,2021,E3S WEB OF CONFERENCES,10.1051/E3SCONF/202127308097,25550403,,,
Clements R,"Regulating fintech in Canada and the United States: Comparison, challenges and opportunities",2021,THE ROUTLEDGE HANDBOOK OF FINTECH,,,9781000375701; 9780367263591,,
Cumming DJ;Schwienbacher A,Fintech venture capital,2021,THE ROUTLEDGE HANDBOOK OF FINTECH,,,9781000375701; 9780367263591,,
Liaw KT,Fintech innovations and financial markets: An introduction,2021,THE ROUTLEDGE HANDBOOK OF FINTECH,,,9781000375701; 9780367263591,,
Mukkamala RR;Vatrapu R,Distributed ledger technologies and blockchain for fintech: Principles and applications,2021,THE ROUTLEDGE HANDBOOK OF FINTECH,,,9781000375701; 9780367263591,,
Chen Z;Li J;Zhang X;Li X;Zeng J;Wang S;Zhang W,The restructure of China's banking industry by artificial intelligence and fintech,2021,THE ROUTLEDGE HANDBOOK OF FINTECH,,,9781000375701; 9780367263591,,
Dandapani K;Joo MH;Nishikawa Y,Is fintech a threat or a promise to banks?,2021,THE ROUTLEDGE HANDBOOK OF FINTECH,,,9781000375701; 9780367263591,,
Liaw KT,The Routledge Handbook of FinTech,2021,THE ROUTLEDGE HANDBOOK OF FINTECH,10.4324/9780429292903,,9781000375701; 9780367263591,,
Ferrer-Gomila J-L;Hinarejos MF,A multi-party contract signing solution based on blockchain,2021,ELECTRONICS SWITZERLAND,10.3390/ELECTRONICS10121457,20799292,,,
Ilk N;Shang G;Fan S;Leon Zhao J,Stability of transaction fees in bitcoin: A supply and demand perspective,2021,MIS QUARTERLY MANAGEMENT INFORMATION SYSTEMS,10.25300/MISQ/2021/15718,02767783,,,
Abdeldayem MM;Al Dulaimi SH;Al Dulaimi FH,A qualitative approach to evaluate the reconciliation of GOLDX and OneGram in islamic finance [Kvalitativni pristup procjeni pomirenja GOLDX-a i OneGrama u islamskim financijama],2021,ZBORNIK RADOVA EKONOMSKOG FAKULTET AU RIJECI,10.18045/ZBEFRI.2021.1.113,13318004,,,
Elliott K;Price R;Shaw P;Spiliotopoulos T;Ng M;Coopamootoo K;van Moorsel A,Towards an Equitable Digital Society: Artificial Intelligence (AI) and Corporate Digital Responsibility (CDR),2021,SOCIETY,10.1007/S12115-021-00594-8,01472011,,,
Chen N-P;Shen K-Y;Liang C-J,Hybrid decision model for evaluating blockchain business strategy: A bank’s perspective,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13115809,20711050,,,
Rabbani MR;Bashar A;Nawaz N;Karim S;Ali MAM;Rahiman HU;Alam MS,Exploring the role of islamic fintech in combating the aftershocks of covid-19: The open social innovation of the islamic financial system,2021,JOURNAL OF OPEN INNOVATION TECHNOLOGY MARKET AND COMPLEXITY,10.3390/JOITMC7020136,21998531,,,
Zhou X;Chen S,FinTech innovation regulation based on reputation theory with the participation of new media,2021,PACIFIC BASIN FINANCE JOURNAL,10.1016/J.PACFIN.2021.101565,0927538X,,,
[No author name available],"Corrigendum to Geographies of finance I: Exploring FinTech – Maps and concepts (Progress in Human Geography, (2020), 10.1177/0309132520952865)",2021,PROGRESS IN HUMAN GEOGRAPHY,10.1177/0309132520970910,03091325,,,
Harris JL,Bridging the gap between ‘Fin’ and ‘Tech’: The role of accelerator networks in emerging FinTech entrepreneurial ecosystems,2021,GEOFORUM,10.1016/J.GEOFORUM.2021.04.010,00167185,,,
Bollaert H;Lopez-de-Silanes F;Schwienbacher A,Fintech and access to finance,2021,JOURNAL OF CORPORATE FINANCE,10.1016/J.JCORPFIN.2021.101941,09291199,,,
Lin T-C;Pursiainen V,The round number heuristic and entrepreneur crowdfunding performance,2021,JOURNAL OF CORPORATE FINANCE,10.1016/J.JCORPFIN.2021.101894,09291199,,,
Jiang J;Liao L;Wang Z;Zhang X,Government Affiliation and Peer-To-Peer Lending Platforms in China,2021,JOURNAL OF EMPIRICAL FINANCE,10.1016/J.JEMPFIN.2021.02.004,09275398,,,
Jiang J;Liao L;Lu X;Wang Z;Xiang H,Deciphering big data in consumer credit evaluation,2021,JOURNAL OF EMPIRICAL FINANCE,10.1016/J.JEMPFIN.2021.01.009,09275398,,,
Meng S;He X;Tian X,Research on Fintech development issues based on embedded cloud computing and big data analysis,2021,MICROPROCESSORS AND MICROSYSTEMS,10.1016/J.MICPRO.2021.103977,01419331,,,
Bellavitis C;Fisch C;Wiklund J,A comprehensive review of the global development of initial coin offerings (ICOs) and their regulation,2021,JOURNAL OF BUSINESS VENTURING INSIGHTS,10.1016/J.JBVI.2020.E00213,23526734,,,
Wójcik D,Financial Geography I: Exploring FinTech – Maps and concepts,2021,PROGRESS IN HUMAN GEOGRAPHY,10.1177/0309132520952865,03091325,,,
Friedline T;Chen Z,Digital redlining and the fintech marketplace: Evidence from US zip codes,2021,JOURNAL OF CONSUMER AFFAIRS,10.1111/JOCA.12297,00220078,,,
Saiedi E;Broström A;Ruiz F,Global drivers of cryptocurrency infrastructure adoption,2021,SMALL BUSINESS ECONOMICS,10.1007/S11187-019-00309-8,0921898X,,,
Sun Y,Financial engineering course construction under the background of beijing-tianjin-hebei coordinated development,2021,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,10.1145/3456887.3457090,,9781450389969,,
Svirina A;Appalonova N;Garanin D;Lukashevich N;Koshkin I,Fintech developmental trends: The role and influence of sustainable digital logistics,2021,E3S WEB OF CONFERENCES,10.1051/E3SCONF/202125802019,25550403,,,
Lacruz F;Saniie J,Applications of Machine Learning in Fintech Credit Card Fraud Detection,2021,IEEE INTERNATIONAL CONFERENCE ON ELECTRO INFORMATION TECHNOLOGY,10.1109/EIT51626.2021.9491903,21540357,9781665418461,,
Rohanifar Y;Chandra P;Rahman MA;Ahmed SI,"Money whispers: Informality, international politics, and immigration in transnational finance",2021,CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS  PROCEEDINGS,10.1145/3411764.3445065,,9781450380966,,
Elsden C;Morgan E;Speed C,Creative transactions: Special digital monies in break kickstarter' crowdfunding campaigns,2021,CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS  PROCEEDINGS,10.1145/3411764.3445632,,9781450380966,,
Bidwell NJ;Elsden C,A right time to give: Beyond saving time in automated conditional donations,2021,CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS  PROCEEDINGS,10.1145/3411764.3445371,,9781450380966,,
Sun F,Development and Transformation Strategies of Banking Industry under the Background of Fintech,2021,E3S WEB OF CONFERENCES,10.1051/E3SCONF/202125303068,25550403,,,
Mahalle A;Yong J;Tao X,Regulatory Challenges and Mitigation for Account Services Offered by FinTech,2021,PROCEEDINGS OF THE 2021 IEEE 24TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN CSCWD 2021,10.1109/CSCWD49262.2021.9437631,,9781728165974,,
Deng L;Lv Y;Liu Y;Zhao Y,Impact of fintech on bank risk-taking: Evidence from China,2021,RISKS,10.3390/RISKS9050099,22279091,,,
Appiah-Otoo I;Song N,The impact of fintech on poverty reduction: Evidence from China,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13095225,20711050,,,
Milana C;Ashta A,Artificial intelligence techniques in finance and financial markets: A survey of the literature,2021,STRATEGIC CHANGE,10.1002/JSC.2403,10991697,,,
Lee Y-K,Impacts of digital technostress and digital technology self-efficacy on fintech usage intention of Chinese gen Z consumers,2021,SUSTAINABILITY SWITZERLAND,10.3390/SU13095077,20711050,,,
Zhang BZ;Ashta A;Barton ME,Do FinTech and financial incumbents have different experiences and perspectives on the adoption of artificial intelligence?,2021,STRATEGIC CHANGE,10.1002/JSC.2405,10991697,,,
Ashta A;Herrmann H,"Artificial intelligence and fintech: An overview of opportunities and risks for banking, investments, and microfinance",2021,STRATEGIC CHANGE,10.1002/JSC.2404,10991697,,,
Emara N;Zhang Y,The non-linear impact of digitization on remittances inflow: Evidence from the BRICS,2021,TELECOMMUNICATIONS POLICY,10.1016/J.TELPOL.2021.102112,03085961,,,
Alaassar A;Mention A-L;Aas TH,Exploring a new incubation model for FinTechs: Regulatory sandboxes,2021,TECHNOVATION,10.1016/J.TECHNOVATION.2021.102237,01664972,,,
Kowalski M;Lee ZWY;Chan TKH,Blockchain technology and trust relationships in trade finance,2021,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/J.TECHFORE.2021.120641,00401625,,,
Chen X;You X;Chang V,FinTech and commercial banks' performance in China: A leap forward or survival of the fittest?,2021,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/J.TECHFORE.2021.120645,00401625,,,
