Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Tello-Gamarra J., Campos-Teixeira D., Longaray A.A., Reis J., Hernani-Merino M.","55349232300;57728648600;56708802800;57969435800;57193343556;","Fintechs and Institutions: A Systematic Literature Review and Future Research Agenda",2022,"Journal of Theoretical and Applied Electronic Commerce Research","17","2",,"722","750",,,"10.3390/jtaer17020038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131372281&doi=10.3390%2fjtaer17020038&partnerID=40&md5=8f0e74b5af42abddd0505078932cfe08","Department of Agroindustrial Engineering, Federal University of Rio Grande, Santo Antônio da Patrulha, 95500-000, Brazil; Institute of Economic, Administrative and Accounting Sciences, Federal University of Rio Grande, Rio Grande, 96203-000, Brazil; Industrial Engineering and Management, Faculty of Engineering, Lusófona University and EIGeS, Lisboa, 1749-024, Portugal; Department of Marketing and International Business, Universidad del Pacífico, Lima, 15072, Peru","Tello-Gamarra, J., Department of Agroindustrial Engineering, Federal University of Rio Grande, Santo Antônio da Patrulha, 95500-000, Brazil; Campos-Teixeira, D., Institute of Economic, Administrative and Accounting Sciences, Federal University of Rio Grande, Rio Grande, 96203-000, Brazil; Longaray, A.A., Institute of Economic, Administrative and Accounting Sciences, Federal University of Rio Grande, Rio Grande, 96203-000, Brazil; Reis, J., Industrial Engineering and Management, Faculty of Engineering, Lusófona University and EIGeS, Lisboa, 1749-024, Portugal; Hernani-Merino, M., Department of Marketing and International Business, Universidad del Pacífico, Lima, 15072, Peru","The growth of fintechs has exponentially modified the international financial system. These changes affect social mechanisms that regulate the performance of economic agents, generating the need to modify the current role played by institutions. Despite the clear relationship that exists between fintechs and institutions, studies exploring the details of this relationship are still scarce. The objective of this article is to propose a review and analysis of the current state of research on fintechs and institutions. To achieve this goal, a systematic literature review was conducted, with the selection and analysis of 123 documents published which were based on preestablished inclusion and exclusion criteria. The main results show the development of a framework that allows us to increase our understanding of fintechs and institutions; the identification of three propositions that serve as a guide to the institutional landscape in which fintechs operate; and finally the recognition of a research agenda. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","fintechs; institutions; regulation; transaction costs",,"Campos-Teixeira, D.; Institute of Economic, Brazil; email: diogomc2_14@hotmail.com",07181876,,,"J. Theor. Appl. Electron. Commer. Res.",Review,"Final","All Open Access, Gold",Scopus
"Huang S.M., Yen D.C., Yan T.J., Yang Y.T.","55684960500;57019964900;57561133100;57561323900;","An Intelligent Mechanism to Automatically Discover Emerging Technology Trends: Exploring Regulatory Technology",2022,"ACM Transactions on Management Information Systems","13","2","17","","",,1,"10.1145/3485187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127586842&doi=10.1145%2f3485187&partnerID=40&md5=29a2565b8524869aa824254cbc876271","Department of Accounting and Information Technology, National Chung Cheng University, Chiayi, Taiwan; Jhj School of Business, Texas Southern University, United States; Department of Information Management, National Chung Cheng University, Chiayi, Taiwan","Huang, S.M., Department of Accounting and Information Technology, National Chung Cheng University, Chiayi, Taiwan; Yen, D.C., Jhj School of Business, Texas Southern University, United States; Yan, T.J., Department of Information Management, National Chung Cheng University, Chiayi, Taiwan; Yang, Y.T., Department of Accounting and Information Technology, National Chung Cheng University, Chiayi, Taiwan","Technology trend analysis uses data relevant to historical performance and extrapolates it to estimate and assess the future potential of technology. Such analysis is used to analyze emerging technologies or predict the growing markets that influence the resulting social or economic development to assist in effective decision-making. Traditional trend analysis methods are time-consuming and require considerable labor. Moreover, the implemented processes may largely rely on the specific knowledge of the domain experts. With the advancement in the areas of science and technology, emerging cross-domain trends have received growing attention for its considerable influence on society and the economy. Consequently, emerging cross-domain predictions that combine or complement various technologies or integrate with diverse disciplines may be more critical than other tools and applications in the same domain. This study uses a design science research methodology, a text mining technique, and social network analysis (SNA) to analyze the development trends concerning the presentation of the product or service information on a company's website. This study applies regulatory technology (RegTech) as a case to analyze and justify the emerging cross-disciplinary trend. Furthermore, an experimental study is conducted using the Google search engine to verify and validate the proposed research mechanism at the end of this study. The study results reveal that, compared with Google Trends and Google Correlate, the research mechanism proposed in this study is more illustrative, feasible, and promising because it reduces noise and avoids the additional time and effort required to perform a further in-depth exploration to obtain the information. © 2021 Copyright held by the owner/author(s). Publication rights licensed to ACM.","computer auditing; fintech; regtech; social network analysis; technology trend analysis; Text mining","Data mining; Economic and social effects; Product design; Search engines; Social networking (online); Social sciences computing; Computer auditing; Cross-domain; Emerging technologies; Growing markets; Historical performance; Intelligent mechanisms; Regtech; Social Network Analysis; Technology trends; Technology trends analysis; Decision making",,2158656X,,,"ACM Trans. Manage. Inf. Syst.",Article,"Final","",Scopus
"Lyons A.C., Kass-Hanna J., Fava A.","7102912742;57208422168;57204362502;","Fintech development and savings, borrowing, and remittances: A comparative study of emerging economies",2022,"Emerging Markets Review","51",,"100842","","",,4,"10.1016/j.ememar.2021.100842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114258546&doi=10.1016%2fj.ememar.2021.100842&partnerID=40&md5=e17642aab865284a2daa229444ca0b9f","University of Illinois at Urbana-Champaign, United States; Saint Joseph University of Beirut, Faculty of Business Administration and Management, Campus of Social Sciences, Huvelin Street, Beirut, 1104 2020, Lebanon; Professora Adjunta Nível, Federal University of ABC – UFABC, Rua Arcturus, 03 – Jardim Antares, São Bernardo do Campo, SP CEP  09606-070, Brazil","Lyons, A.C., University of Illinois at Urbana-Champaign, United States; Kass-Hanna, J., Saint Joseph University of Beirut, Faculty of Business Administration and Management, Campus of Social Sciences, Huvelin Street, Beirut, 1104 2020, Lebanon; Fava, A., Professora Adjunta Nível, Federal University of ABC – UFABC, Rua Arcturus, 03 – Jardim Antares, São Bernardo do Campo, SP CEP  09606-070, Brazil","Fintech is rapidly changing the financial landscape, especially in the post-COVID era. This study uses data from the world's first global ranking of fintech ecosystems, the Global Fintech Index (GFI), to investigate the linkages between fintech development and demand for savings, borrowing, and remittances for 16 of the world's largest emerging economies. Our results find a consistently strong and positive relationship between fintech development and financial inclusion. However, considerable heterogeneities persist across population groups and regions. Evidence also suggests that access may not translate to greater usage of financial services. The findings have important implications for future models of financial inclusion looking to harness the power of fintech. © 2021 Elsevier B.V.","Digital financial services; Emerging economies; Financial inclusion; Financial security; Fintech; Vulnerable populations",,"Lyons, A.C.; University of Illinois at Urbana-Champaign, 440 Mumford Hall, 1301 W. Gregory Drive, United States; email: anglyons@illinois.edu",15660141,,,"Emerg. Mark. Rev.",Article,"Final","",Scopus
"Ryan P., Brennan R., Pandit H.J.","57219131815;36447456700;57190943010;","DPCat: Specification for an Interoperable and Machine-Readable Data Processing Catalogue Based on GDPR",2022,"Information (Switzerland)","13","5","244","","",,,"10.3390/info13050244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130566878&doi=10.3390%2finfo13050244&partnerID=40&md5=85bec6ceefa6d22cd7667b2031f518f9","Uniphar PLC, Dublin, D24 VO6K, Ireland; School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; ADAPT SFI Research Centre, Dublin, D02 FX65, Ireland; School of Computer Science & Statistics, Trinity College Dublin, Dublin, D02 PN40, Ireland","Ryan, P., Uniphar PLC, Dublin, D24 VO6K, Ireland, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland, ADAPT SFI Research Centre, Dublin, D02 FX65, Ireland; Brennan, R., School of Computing, Dublin City University, Dublin, D09 PX21, Ireland, ADAPT SFI Research Centre, Dublin, D02 FX65, Ireland; Pandit, H.J., ADAPT SFI Research Centre, Dublin, D02 FX65, Ireland, School of Computer Science & Statistics, Trinity College Dublin, Dublin, D02 PN40, Ireland","The GDPR requires Data Controllers and Data Protection Officers (DPO) to maintain a Register of Processing Activities (ROPA) as part of overseeing the organisation’s compliance processes. The ROPA must include information from heterogeneous sources such as (internal) departments with varying IT systems and (external) data processors. Current practices use spreadsheets or proprietary systems that lack machine-readability and interoperability, presenting barriers to automation. We propose the Data Processing Catalogue (DPCat) for the representation, collection and transfer of ROPA information, as catalogues in a machine-readable and interoperable manner. DPCat is based on the Data Catalog Vocabulary (DCAT) and its extension DCAT Application Profile for data portals in Europe (DCAT-AP), and the Data Privacy Vocabulary (DPV). It represents a comprehensive semantic model developed from GDPR’s Article and an analysis of the 17 ROPA templates from EU Data Protection Authorities (DPA). To demonstrate the practicality and feasibility of DPCat, we present the European Data Protection Supervisor’s (EDPS) ROPA documents using DPCat, verify them with SHACL to ensure the correctness of information based on legal and contextual requirements, and produce reports and ROPA documents based on DPA templates using SPARQL. DPCat supports a data governance process for data processing compliance to harmonise inputs from heterogeneous sources to produce dynamic documentation that can accommodate differences in regulatory approaches across DPAs and ease investigative burdens toward efficient enforcement. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","data governance; GDPR; semantic-web","Compliance control; Data privacy; Interoperability; Regulatory compliance; Current practices; Data controllers; Data governances; Data processors; GDPR; Heterogeneous sources; IT system; Processing activity; Readable data; Semantic-Web; Semantic Web","Ryan, P.; Uniphar PLCIreland; email: paul.ryan76@mail.dcu.ie
Pandit, H.J.; ADAPT SFI Research CentreIreland; email: pandith@tcd.ie",20782489,,,"Information",Article,"Final","All Open Access, Gold, Green",Scopus
"Chen B., Yang X., Ma Z.","57215589185;57704020800;8924293300;","Fintech and Financial Risks of Systemically Important Commercial Banks in China: An Inverted U-Shaped Relationship",2022,"Sustainability (Switzerland)","14","10","5912","","",,2,"10.3390/su14105912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130523654&doi=10.3390%2fsu14105912&partnerID=40&md5=002149908cf4f11ab39e3895bb6ca9ee","School of Business, Nanjing University, Nanjing, 210093, China; School of Business, Nanjing Audit University, Nanjing, 210017, China; Odette School of Business, University of Windsor, Windsor, ON  N9B 3P4, Canada","Chen, B., School of Business, Nanjing University, Nanjing, 210093, China; Yang, X., School of Business, Nanjing University, Nanjing, 210093, China; Ma, Z., School of Business, Nanjing Audit University, Nanjing, 210017, China, Odette School of Business, University of Windsor, Windsor, ON  N9B 3P4, Canada","The past decade has seen impressive developments in financial technology (FinTech) in China. As a new technology and innovative method that competes with, and also supplements, traditional financial methods, fintech has had a significant impact on traditional financial businesses and has thus challenged the role of commercial banks as credit intermediaries in the financial sector. This paper examines the potential risks that fintech brings to commercial banks in China, and collects data from 19 systemically important banks from 2011–2020 to analyze the effect of fintech development on commercial banks’ financial risks in order to achieve sustainable development in the financial sector. Using the Z value and non-performing loan ratio as the criterion variables, this study shows that the impact of fintech on the financial risks of systemically important banks demonstrates an inverted U-shaped pattern, with the financial risk increasing first and then decreasing alongside the further development of fintech. The results also show that commercial banks’ responses to fintech development has been comparatively slow. Managerial suggestions are then discussed on risk supervision for commercial banks and the financial sector in China and other emerging markets. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","commercial bank; emerging markets; financial risk; financial technology; fintech; systemically important banks","business; market conditions; spatiotemporal analysis; sustainable development; China","Ma, Z.; School of Business, China; email: maz@uwindsor.ca",20711050,,,"Sustainability",Article,"Final","All Open Access, Gold",Scopus
"Pi T., Hu H., Lu J., Chen X.","57208002689;57222724914;57659963100;57659031700;","The Analysis of Fintech Risks in China: Based on Fuzzy Models",2022,"Mathematics","10","9","1395","","",,3,"10.3390/math10091395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129258015&doi=10.3390%2fmath10091395&partnerID=40&md5=5e1a4f7eb62a3d2af1f60764285e79a8","School of Economics and Business Administration, Chongqing University, Chongqing, 400030, China; School of Materials Science and Engineering, Chongqing University, Chongqing, 400030, China; School of Civil Engineering, Wuhan University, Wuhan, 430072, China","Pi, T., School of Economics and Business Administration, Chongqing University, Chongqing, 400030, China; Hu, H., School of Materials Science and Engineering, Chongqing University, Chongqing, 400030, China; Lu, J., School of Civil Engineering, Wuhan University, Wuhan, 430072, China; Chen, X., School of Economics and Business Administration, Chongqing University, Chongqing, 400030, China","Fintech has not changed the nature and risk attributes of financial business. Its openness, interoperability, and other characteristics trigger the concealment, infectivity, universality and sudden characteristics of financial risk more obviously, and the potential systemic risk more complexly. This paper adopts fuzzy set analysis to conduct a comprehensive review of Fintech risk. It is found that the technology risk, moral hazard and legal risk, with a weight of up to 80%, are the dominant factors affecting the Fintech risk, while other prominent credit risk, market risk and operational risk in the traditional financial field account for a small proportion, but they still cannot be ignored. The research of this paper enriches the relevant research on the quantification of Fintech risk, and helps to strengthen risk prevention from the aspect of enhancing the safety of Fintech infrastructure, improving the legal system, sound the regulatory framework and strengthening industry self-discipline. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Fintech; fuzzy analytic hierarchy process; fuzzy models",,"Pi, T.; School of Economics and Business Administration, China; email: pitianlei@cqu.edu.cn",22277390,,,"Mathematics",Article,"Final","All Open Access, Gold",Scopus
"Ryan P., Brennan R.","57219131815;36447456700;","Support for Enhanced GDPR Accountability with the Common Semantic Model for ROPA (CSM-ROPA)",2022,"SN Computer Science","3","3","224","","",,2,"10.1007/s42979-022-01099-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128422404&doi=10.1007%2fs42979-022-01099-9&partnerID=40&md5=f59e942f4d537d71f61ff3cd92ece5f8","ADAPT Centre, School of Computing, Dublin City University, Glasnevin, Dublin 9, Ireland; Uniphar PLC, Dublin 24, Ireland","Ryan, P., ADAPT Centre, School of Computing, Dublin City University, Glasnevin, Dublin 9, Ireland, Uniphar PLC, Dublin 24, Ireland; Brennan, R., ADAPT Centre, School of Computing, Dublin City University, Glasnevin, Dublin 9, Ireland","The creation and maintenance of Registers of Processing Activities (ROPA) are essential to meeting the General Data Protection Regulation (GDPR) and thus to demonstrate compliance based on the GDPR concept of accountability. To establish its effectiveness in meeting this obligation, we evaluate an ROPA semantic model, the Common Semantic Model–ROPA (CSM–ROPA). Semantic models and tools represent one solution to the compliance challenges faced by organisations: the heterogeneity of relevant data sources, and the lack of tool interoperability and agreed common standards. By surveying current practice and the literature we identify the requirements for GDPR accountability tools: digital exchange of data, automated accountability verification and privacy-aware data governance. A case study was conducted to analyse the expressivity and effectiveness of CSM–ROPA when used as an interoperable, machine-readable mediation layer to express the concepts in a comprehensive regulator-provided accountability framework used for GDPR compliance. We demonstrate that CSM–ROPA can express 98% of ROPA accountability terms and fully express nine of the ten European regulators' ROPA templates. We identify three terms for addition to CSM–ROPA, and we identify areas where CSM–ROPA relies on partial matches that indicate model limitations. These improvements to CSM–ROPA will provide comprehensive coverage of the regulator-supplied model. We show that tools based on CSM–ROPA can fully meet the requirements of compliance best practice when compared with either manual accountability approaches or a leading privacy software solution. © 2022, The Author(s).","Accountability; Data Protection Officer; Register of Processing Activities; RegTech; Semantic Web",,"Ryan, P.; ADAPT Centre, Glasnevin, Ireland; email: paul.ryan76@mail.dcu.ie",2662995X,,,"SN COMPUT. SCI.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Chan R., Troshani I., Rao Hill S., Hoffmann A.","57557660300;16242596300;57221975163;25225739800;","Towards an understanding of consumers’ FinTech adoption: the case of Open Banking",2022,"International Journal of Bank Marketing","40","4",,"886","917",,5,"10.1108/IJBM-08-2021-0397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127411620&doi=10.1108%2fIJBM-08-2021-0397&partnerID=40&md5=b45309e3daf5103f0e952474effd4cd5","Adelaide Business School, The University of Adelaide, Adelaide, Australia","Chan, R., Adelaide Business School, The University of Adelaide, Adelaide, Australia; Troshani, I., Adelaide Business School, The University of Adelaide, Adelaide, Australia; Rao Hill, S., Adelaide Business School, The University of Adelaide, Adelaide, Australia; Hoffmann, A., Adelaide Business School, The University of Adelaide, Adelaide, Australia","Purpose: This study aims to identify key factors driving consumers' adoption of Open Banking. It extends the Unified Theory of Acceptance and Use of Technology (UTAUT) by integrating perceived risk, initial trust and financial literacy into an overarching conceptual model. Design/methodology/approach: Measurement items of the theoretical constructs included in the conceptual model were adapted from related literature and a set of hypotheses was developed. The hypotheses of the conceptual model were subsequently assessed with partial least squares structural equation modeling using a dataset of 456 Australian survey respondents. Findings: The model has strong explanatory power with an R2 of 69.5%. Performance expectancy, effort expectancy, social influence and perceived risk are direct antecedents of consumers' usage intention of Open Banking. Social influence has a strong mediating effect on usage intention through performance expectancy. The effect of perceived risk is alleviated by effort expectancy and initial trust, while initial trust positively affects the effects of performance expectancy and effort expectancy on consumers' usage intention of Open Banking. Finally, financial literacy lowers initial trust towards Open Banking, possibly inducing consumer skepticism. Practical implications: The results suggest that practitioners should focus on performance expectancy as a primary driver of Open Banking adoption, while understanding the role of other drivers, such as social influence and perceived risk in developing marketing strategies. Policy makers are recommended to adopt a governance approach to build initial trust amongst consumers. Originality/value: This research contributes by providing an integrated and comprehensive model for explaining consumers' FinTech adoptions by extending the existing technology adoption model UTAUT to the Open Banking domain and integrating perceived risk, initial trust and financial literacy, thereby advancing and enriching the conceptual horizon of the extant literature. © 2022, Emerald Publishing Limited.","Financial literacy; FinTech; Innovation adoption; Open banking; Perceived risk; Trust",,"Hoffmann, A.; Adelaide Business School, Australia; email: arvid.hoffmann@adelaide.edu.au",02652323,,,"Int. J. Bank Mark.",Article,"Final","",Scopus
"Lin D., Chen J., Wu J., Zheng Z.","57218105399;57287948800;55760584700;25224189400;","Evolution of Ethereum Transaction Relationships: Toward Understanding Global Driving Factors From Microscopic Patterns",2022,"IEEE Transactions on Computational Social Systems","9","2",,"559","570",,8,"10.1109/TCSS.2021.3093384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128151830&doi=10.1109%2fTCSS.2021.3093384&partnerID=40&md5=644238c9ab9e7689f92c535ca4cbab9f","School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China; National Engineering Research Center of Digital Life, Sun Yat-sen University, Guangzhou, 510006, China","Lin, D., School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China, National Engineering Research Center of Digital Life, Sun Yat-sen University, Guangzhou, 510006, China; Chen, J., School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China, National Engineering Research Center of Digital Life, Sun Yat-sen University, Guangzhou, 510006, China; Wu, J., School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China, National Engineering Research Center of Digital Life, Sun Yat-sen University, Guangzhou, 510006, China; Zheng, Z., School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China, National Engineering Research Center of Digital Life, Sun Yat-sen University, Guangzhou, 510006, China","Much of the current research in Ethereum transaction records focuses on the statistical analysis and measurements of existing data; however, the evolution mechanism of Ethereum transactions is an important, yet seldom discussed issue. In this work, we first collect the transaction data of Ethereum and build network models from a microlevel view and then use a link-prediction-based framework to quantify the impact of network characteristics on Ethereum evolution. Next, we explore the graph structure properties and the driving factors of newly generated transaction relationships. Experimental results show that the local and microscopic structure of Ethereum networks is star-shaped, and the transaction frequency of addresses has a great impact on the evolution of Ethereum transaction relationships. First-layer nodes of microstructures dominate the network evolution. Moreover, the degree of addresses is an effective basis for predicting the direction of new transactions. Potential further studies on Ethereum transaction link prediction are discussed, for example, the label effect of center addresses. © 2014 IEEE.","Complex network; cryptocurrency; Ethereum; network evolution; transaction relationships","Ethereum; Forecasting; 'current; Cryptocurrency; Driving factors; Evolution mechanism; Link prediction; Measurements of; Microscopic patterns; Networks evolutions; Transaction records; Transaction relationship; Complex networks","Wu, J.; School of Computer Science and Engineering, China; email: wujiajing@mail.sysu.edu.cn",2329924X,,,"IEEE Trans. Computat. Soc. Syst.",Article,"Final","",Scopus
"Chhetri T.R., Kurteva A., Delong R.J., Hilscher R., Korte K., Fensel A.","57215833167;57222867642;36711561000;57202371807;57321856100;57558101700;","Data Protection by Design Tool for Automated GDPR Compliance Verification Based on Semantically Modeled Informed Consent",2022,"Sensors","22","7","2763","","",,4,"10.3390/s22072763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127382516&doi=10.3390%2fs22072763&partnerID=40&md5=c5ecd76f9c18f400318cfa6b14fab5a7","Semantic Technology Institute (STI), Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; The Open Group, Reading, Berkshire, RG1 1AX, United Kingdom; Center for Data Science, RTI International, Research Triangle ParkNC  27709, United States; Institut für Rechtsinformatik (IRI), Leibniz Universität Hannover, Hannover, 30167, Germany; Wageningen Data Competence Center, Wageningen University & Research, Wageningen, 6708 PB, Netherlands; Consumption and Healthy Lifestyles Chair Group, Wageningen University & Research, Wageningen, 6706 KN, Netherlands","Chhetri, T.R., Semantic Technology Institute (STI), Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; Kurteva, A., Semantic Technology Institute (STI), Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; Delong, R.J., The Open Group, Reading, Berkshire, RG1 1AX, United Kingdom; Hilscher, R., Semantic Technology Institute (STI), Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria, Center for Data Science, RTI International, Research Triangle ParkNC  27709, United States; Korte, K., Institut für Rechtsinformatik (IRI), Leibniz Universität Hannover, Hannover, 30167, Germany; Fensel, A., Semantic Technology Institute (STI), Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria, Wageningen Data Competence Center, Wageningen University & Research, Wageningen, 6708 PB, Netherlands, Consumption and Healthy Lifestyles Chair Group, Wageningen University & Research, Wageningen, 6706 KN, Netherlands","The enforcement of the GDPR in May 2018 has led to a paradigm shift in data protection. Organizations face significant challenges, such as demonstrating compliance (or auditability) and automated compliance verification due to the complex and dynamic nature of consent, as well as the scale at which compliance verification must be performed. Furthermore, the GDPR’s promotion of data protection by design and industrial interoperability requirements has created new technical challenges, as they require significant changes in the design and implementation of systems that handle personal data. We present a scalable data protection by design tool for automated compliance verification and auditability based on informed consent that is modeled with a knowledge graph. Automated compliance verification is made possible by implementing a regulation-to-code process that translates GDPR regulations into well-defined technical and organizational measures and, ultimately, software code. We demonstrate the effectiveness of the tool in the insurance and smart cities domains. We highlight ways in which our tool can be adapted to other domains. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","compliance verification; data protection by design; data sharing; distributed systems; GDPR; informed consent; knowledge graph; privacy; standard data protection model","Automation; Compliance control; Distributed computer systems; Interoperability; Verification; Compliance verification; Data protection by designs; Data Sharing; Design tool; GDPR; Informed consent; Knowledge graphs; Privacy; Protection models; Standard data protection model; Data privacy; computer security; informed consent; software; Computer Security; Informed Consent; Software","Chhetri, T.R.; Semantic Technology Institute (STI), Austria; email: tekraj.chhetri@sti2.at",14248220,,,"Sensors",Article,"Final","All Open Access, Gold, Green",Scopus
"Zhao J., Li X., Yu C.-H., Chen S., Lee C.-C.","57222584940;57241410000;57195554212;56528572100;24478638400;","Riding the FinTech innovation wave: FinTech, patents and bank performance",2022,"Journal of International Money and Finance","122",,"102552","","",,36,"10.1016/j.jimonfin.2021.102552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119481987&doi=10.1016%2fj.jimonfin.2021.102552&partnerID=40&md5=31f6e595b6789b239750d458cf30ac6b","School of Economics, Southwestern University of Finance and Economics, Chengdu, China; Institute of Development Studies, Southwestern University of Finance and Economics, Chengdu, China; School of Law, Southwestern University of Finance and Economics, Chengdu, China","Zhao, J., School of Economics, Southwestern University of Finance and Economics, Chengdu, China; Li, X., School of Economics, Southwestern University of Finance and Economics, Chengdu, China; Yu, C.-H., Institute of Development Studies, Southwestern University of Finance and Economics, Chengdu, China; Chen, S., School of Law, Southwestern University of Finance and Economics, Chengdu, China; Lee, C.-C., Institute of Development Studies, Southwestern University of Finance and Economics, Chengdu, China","This research examines the impact of financial technology innovation on Chinese banks' performance, using both patent data and FinTech development index, by applying a generalized method of moments model to resolve potential endogeneity. While the results show that FinTech innovation reduces banks' profitability and asset quality in the aggregate, a finding more pronounced for large state-owned commercial banks, it improves banks' capital adequacy and management efficiency, though to a smaller degree for policy banks and state-owned commercial banks. Moreover, banks' own specific FinTech capabilities, measured by patent applications and claims, have similar effects on bank performance. The implications are that when facing the development of FinTech, banks should focus more on the rising capabilities of FinTech technology than its difficulties and what the competition is doing. Small banks can particularly achieve business process reengineering and innovation more reliably by actively cooperating with FinTech companies. © 2021 Elsevier Ltd","Bank performance; CAMEL; FinTech; Patents",,"Lee, C.-C.Room 1105, Gezhi Building, No. 555 Liutai Ave, Wenjiang District, China; email: leechichuan@swufe.edu.cn",02615606,,,"J. Int. Money Financ.",Article,"Final","",Scopus
"Alaassar A., Mention A.-L., Aas T.H.","57201703237;56289905900;36674602800;","Ecosystem dynamics: exploring the interplay within fintech entrepreneurial ecosystems",2022,"Small Business Economics","58","4",,"2157","2182",,11,"10.1007/s11187-021-00505-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105756702&doi=10.1007%2fs11187-021-00505-5&partnerID=40&md5=6fc98dacb15ce7656adb9b5eae318976","College of Business, RMIT University, Melbourne, Australia; University of Agder, Kristiansand, Norway; RMIT Europe, Barcelona, Spain; Tampere University, Visiting Scholar, Tampere, Finland; Blockchain and Fintech Research Fellow, Singapore University of Social Sciences, Singapore, Singapore; INESC TEC, Porto, Portugal","Alaassar, A., College of Business, RMIT University, Melbourne, Australia, University of Agder, Kristiansand, Norway, RMIT Europe, Barcelona, Spain; Mention, A.-L., College of Business, RMIT University, Melbourne, Australia, Tampere University, Visiting Scholar, Tampere, Finland, Blockchain and Fintech Research Fellow, Singapore University of Social Sciences, Singapore, Singapore, INESC TEC, Porto, Portugal; Aas, T.H., University of Agder, Kristiansand, Norway","Scholars and practitioners continue to recognize the crucial role of entrepreneurial ecosystems (EEs) in creating a conducive environment for productive entrepreneurship. Although EEs are fundamentally interaction systems of hierarchically independent yet mutually dependent actors, few studies have investigated how interactions among ecosystem actors drive the entrepreneurial process. Seeking to address this gap, this paper explores how ecosystem actor interactions influence new ventures in the financial technology (fintech) EE of Singapore. Guided by an EE framework and the use of an exploratory-abductive approach, empirical data from semi-structured interviews is collected and analyzed. The findings reveal four categories representing both the relational perspective, which features interaction and intermediation dynamics, and the cultural perspective, which encompasses ecosystem development and regulatory dynamics. These categories help explain how and why opportunity identification and resource exploitation are accelerated or inhibited for entrepreneurs in fintech EEs. The present study provides valuable contributions to scholars and practitioners interested in EEs and contributes to the academic understanding of the emerging fintech phenomenon. © 2021, The Author(s).","Ecosystem dynamics; Entrepreneurial ecosystems; Fintech; Network approach",,"Alaassar, A.; College of Business, Australia; email: ahmad.s.m.alaassar@rmit.edu.au",0921898X,,,"Small Bus. Econ.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
