"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kim, Y.; Choi, J.; Park, Y.-J.; Yeon, J.","Kim, Yonghee (56883629100); Choi, Jeongil (56126659900); Park, Youngju (57148922900); Yeon, Jiyoung (57150401700)","56883629100; 56126659900; 57148922900; 57150401700","The adoption of mobile payment services for “fintech”","2016","International Journal of Applied Engineering Research","11","2","","1058","1061","165","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959530641&partnerID=40&md5=01ffedcecd6b6f0ccc874643fa172510","Int. J. Appl. Eng. Res.","Article","Final","","Scopus","2-s2.0-84959530641"
"Prystav, F.","Prystav, Fabian (57079170300)","57079170300","Personal information in peer-to-peer loan applications: Is less more?","2016","Journal of Behavioral and Experimental Finance","9","","","6","19","20","10.1016/j.jbef.2015.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955564493&doi=10.1016%2Fj.jbef.2015.11.005&partnerID=40&md5=9fc6cc0754671a4da081c8be3509f76a","J. Behav. Exp. Financ.","Article","Final","","Scopus","2-s2.0-84955564493"
"Lončarski, I.","Lončarski, Igor (25630763300)","25630763300","Risk Management (2016)","2016","Risk Management","18","1","","1","3","5","10.1057/rm.2016.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962533917&doi=10.1057%2Frm.2016.2&partnerID=40&md5=43f23533f9a9ef2aad1c607310a0a1a8","Risk Manage.","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84962533917"
"Thiemann, T.","Thiemann, Todd (56082535200)","56082535200","Picking the right path to mobile biometric authentication","2016","Biometric Technology Today","2016","2","","5","8","4","10.1016/S0969-4765(16)30034-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958532777&doi=10.1016%2FS0969-4765%2816%2930034-0&partnerID=40&md5=8ccd0931a3296295f7c26ece67c06de2","Biom. Technol. Today","Article","Final","","Scopus","2-s2.0-84958532777"
"Tapscott, D.; Kirkland, R.","Tapscott, Don (6603615683); Kirkland, Rik (11138983400)","6603615683; 11138983400","How blockchains could change the world","2016","McKinsey Quarterly","2016","3","","110","113","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018247552&partnerID=40&md5=66cb3bc00cf22ec351218d639e7da616","McKinsey Q.","Article","Final","","Scopus","2-s2.0-85018247552"
"Zavolokina, L.; Dolata, M.; Schwabe, G.","Zavolokina, Liudmila (57193154298); Dolata, Mateusz (55085557500); Schwabe, Gerhard (8564379000)","57193154298; 55085557500; 8564379000","FinTech - What's in a name?","2016","","","","","","","104","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011313931&partnerID=40&md5=151a0787ac5465c74ac6853ad3cf9027","Int. Conf. Inf. Syst., ICIS","Conference paper","Final","","Scopus","2-s2.0-85011313931"
"Nasseri, A.A.; Tucker, A.; de Cesare, S.","Nasseri, Alya Al (56818859700); Tucker, Allan J. (57210525029); de Cesare, Sergio (13605972200)","56818859700; 57210525029; 13605972200","Quantifying StockTwits semantic terms' trading behavior in financial markets: An effective application of decision tree algorithms","2015","Expert Systems with Applications","42","23","","9192","9210","42","10.1016/j.eswa.2015.08.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940850993&doi=10.1016%2Fj.eswa.2015.08.008&partnerID=40&md5=e4878951c48b753386e57aa2b0ddc322","Expert Sys Appl","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84940850993"
"Yano, K.; Akitomi, T.; Ara, K.; Watanabe, J.; Tsuji, S.; Sato, N.; Hayakawa, M.; Moriwaki, N.","Yano, Kazuo (7402402775); Akitomi, Tomoaki (37074165200); Ara, Koji (16237964800); Watanabe, Junichiro (9432539000); Tsuji, Satomi (24559431600); Sato, Nobuo (35767112800); Hayakawa, Miki (24558566600); Moriwaki, Norihiko (6701311117)","7402402775; 37074165200; 16237964800; 9432539000; 24559431600; 35767112800; 24558566600; 6701311117","Measuring happiness using wearable technology:Technology for boosting productivity in knowledge work and service businesses","2015","Hitachi Review","64","8","","517","524","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954503919&partnerID=40&md5=5eb1a055a343dc4451cc59691bf2351d","Hitachi Rev.","Article","Final","","Scopus","2-s2.0-84954503919"
"Elwell, J.; Riley, R.; Abu-Ghazaleh, N.; Ponomarev, D.; Cervesato, I.","Elwell, Jesse (36782129000); Riley, Ryan D. (22981455200); Abu-Ghazaleh, Nael B. (6701804109); Ponomarev, Dmitry V. (57210403461); Cervesato, Iliano (55973207200)","36782129000; 22981455200; 6701804109; 57210403461; 55973207200","Rethinking memory permissions for protection against cross-layer attacks","2015","ACM Transactions on Architecture and Code Optimization","12","4","56","","","5","10.1145/2842621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954212815&doi=10.1145%2F2842621&partnerID=40&md5=63730409367f279f73ad0222ecfa4804","ACM Trans. Archit. Code Optim.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84954212815"
"Nair, A.; Madhu, A.; J Kizhakkethottam, J.J.","Nair, Anjali Aswathy (57202671806); Madhu, Arun (57189589260); J Kizhakkethottam, Jubilant J. (55949461500)","57202671806; 57189589260; 55949461500","Security issues of single sign on web services","2015","","","","7292381","","","2","10.1109/ICSNS.2015.7292381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973354145&doi=10.1109%2FICSNS.2015.7292381&partnerID=40&md5=998be4b370cb4dbfdc8cee77f3181e71","Proc. - Int. Conf. Secur. Technol., SecTech","Conference paper","Final","","Scopus","2-s2.0-84973354145"
"Shen, W.; Hu, Y.J.; Rees, J.R.","Shen, Wenqi (56970208300); Hu, Yu Jeffrey (7407115736); Rees, Jackie (7402322224)","56970208300; 7407115736; 7402322224","Competing for attention: An empirical study of online reviewers' strategic behavior","2015","MIS Quarterly: Management Information Systems","39","3","","683","696","156","10.25300/MISQ/2015/39.3.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947808023&doi=10.25300%2FMISQ%2F2015%2F39.3.08&partnerID=40&md5=1ca78f3598415fc88d0bab4fab6920c0","MIS Quart Manage Inf Syst","Review","Final","","Scopus","2-s2.0-84947808023"
"Kauffman, R.J.; Ma, D.","Kauffman, Robert J. (35083571300); Ma, Dan (35305318500)","35083571300; 35305318500","Special issue: Contemporary research on payments and cards in the global fintech revolution","2015","Electronic Commerce Research and Applications","14","5","631","261","264","17","10.1016/j.elerap.2015.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944051255&doi=10.1016%2Fj.elerap.2015.09.005&partnerID=40&md5=a6d11d68ee98334a2786ee024513717a","Elect. Commer. Res. Appl.","Editorial","Final","","Scopus","2-s2.0-84944051255"
"Beccalli, E.; Anolli, M.; Borello, G.","Beccalli, Elena (7003720733); Anolli, Mario (56024365200); Borello, Giuliana (56708494000)","7003720733; 56024365200; 56708494000","Are European banks too big? Evidence on economies of scale","2015","Journal of Banking and Finance","58","","","232","246","78","10.1016/j.jbankfin.2015.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934998170&doi=10.1016%2Fj.jbankfin.2015.04.014&partnerID=40&md5=bc6607eb87d2d920b20b83ebd6ee1810","J. Bank. Financ.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84934998170"
"Mousheimish, R.; Taher, Y.; Finance, B.","Mousheimish, Raef (56184858600); Taher, Yéhia (23669030600); Finance, Béatrice (6602879713)","56184858600; 23669030600; 6602879713","Towards smart logistics processes: A predictive monitoring and proactive adaptation approach","2015","ACM International Conference Proceeding Series","24-26-August-2015","","","169","170","3","10.1145/2785592.2794403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958532932&doi=10.1145%2F2785592.2794403&partnerID=40&md5=ec1d57146601c045a90ed3350a163b6d","ACM Int. Conf. Proc. Ser.","Conference paper","Final","","Scopus","2-s2.0-84958532932"
"Ha, Y.; Kim, J.; Libaque-Sáenz, C.F.; Chang, Y.; Park, M.-C.","Ha, Youngwook (7102444588); Kim, Jimin (56482897400); Libaque-Sáenz, Christian Fernando (56491341700); Chang, Younghoon (55557622800); Park, Myeong Cheol (7404491216)","7102444588; 56482897400; 56491341700; 55557622800; 7404491216","Use and gratifications of mobile SNSs: Facebook and KakaoTalk in Korea","2015","Telematics and Informatics","32","3","","425","438","201","10.1016/j.tele.2014.10.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921523096&doi=10.1016%2Fj.tele.2014.10.006&partnerID=40&md5=9605f9f0d5bfec8c0b9b192676dd0168","Telematics Inf","Article","Final","","Scopus","2-s2.0-84921523096"
"Suresh, C.K.H.; Ozev, S.; Sinanoglu, O.","Suresh, Chandra K.H. (55329027700); Ozev, Sule (35586287500); Sinanoglu, Ozgur (6701712277)","55329027700; 35586287500; 6701712277","Adaptive generation of unique IDs for digital chips through analog excitation","2015","ACM Transactions on Design Automation of Electronic Systems","20","3","46","","","3","10.1145/2732408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934753761&doi=10.1145%2F2732408&partnerID=40&md5=4c7465bc208cff57bfe6acfce47bb456","ACM Trans. Design Autom. Electron. Syst.","Article","Final","","Scopus","2-s2.0-84934753761"
"Calzavara, S.; Tolomei, G.; Casini, A.; Bugliesi, M.; Orlando, S.","Calzavara, Stefano (36630085200); Tolomei, Gabriele (12784026600); Casini, Andrea (56697952600); Bugliesi, Michele (57207272569); Orlando, Salvatore (35305588800)","36630085200; 12784026600; 56697952600; 57207272569; 35305588800","A supervised learning approach to protect client authentication on the web","2015","ACM Transactions on the Web","9","3","15","","","27","10.1145/2754933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932631843&doi=10.1145%2F2754933&partnerID=40&md5=15e9700aee5880628925366c5d949a8b","ACM Trans. Web","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84932631843"
"Pinto-Ferreira, J.J.P.; Mention, A.-L.; Torkkeli, M.","Pinto-Ferreira, João José (7403252438); Mention, Anne Laure (56289905900); Torkkeli, Marko T. (7003991771)","7403252438; 56289905900; 7003991771","Illumination in times of uncertainty: Fifty shades of innovation for societal impact","2015","Journal of Innovation Management","3","1","","1","4","11","10.24840/2183-0606_003.001_0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082297932&doi=10.24840%2F2183-0606_003.001_0001&partnerID=40&md5=60b0c73ef84f9959834daa44a44e324b","J. Innov. Manag.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85082297932"
"Greenbaum, S.I.; Thakor, A.V.; Boot, A.W.A.","Greenbaum, Stuart I. (16428734700); Thakor, Anjan V. (6701596295); Boot, Arnoud W. A. (56218676800)","16428734700; 6701596295; 56218676800","Contemporary financial intermediation","2015","","","","","1","490","59","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071001974&partnerID=40&md5=9b105882c5cc5729250fbd57879e6b89","Contemp. Financ. Intermed.","Book","Final","","Scopus","2-s2.0-85071001974"
"MacKenzie, A.","MacKenzie, Annette (57200499487)","57200499487","THE FINTECH REVOLUTION","2015","London Business School Review","26","3","","50","53","92","10.1111/2057-1615.12059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035003671&doi=10.1111%2F2057-1615.12059&partnerID=40&md5=b4817db607fd4c4c51b21f49156b0099","London Bus. Sch. Rev.","Article","Final","","Scopus","2-s2.0-85035003671"
"Kim, K.-J.; Hong, S.-P.","Kim, Kyongjin (42661469500); Hong, Sengphil (8552893500)","42661469500; 8552893500","A study on the trusted verification process for protecting assured privacy from Big Data analytics","2015","International Journal of Applied Engineering Research","10","21","","41790","41793","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994651179&partnerID=40&md5=c0dca7cdde29ac19d40be6415d62f8d6","Int. J. Appl. Eng. Res.","Article","Final","","Scopus","2-s2.0-84994651179"
"Baur, A.W.; Bühler, J.; Bick, M.; Bonorden, C.S.","Baur, Aaron Wolfgang (55503459500); Bühler, Julian (56023104000); Bick, Markus (7003363429); Bonorden, Charlotte S. (57021732200)","55503459500; 56023104000; 7003363429; 57021732200","Cryptocurrencies as a disruption? empirical findings on user adoption and future potential of Bitcoin and Co","2015","Lecture Notes in Computer Science","9373","","","63","80","113","10.1007/978-3-319-25013-7_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951834158&doi=10.1007%2F978-3-319-25013-7_6&partnerID=40&md5=46cae3a3438347f91872cc0fac1ac807","Lect. Notes Comput. Sci.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84951834158"
"Kim, K.-J.; Hong, S.-P.","Kim, Kyongjin (42661469500); Hong, Sengphil (8552893500)","42661469500; 8552893500","De-identification data modeling using anonymous process in big data: A case study in Korea","2015","International Journal of Applied Engineering Research","10","13","","33623","33625","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940193793&partnerID=40&md5=2ce7f3602548d1333bd4fdbb5fcfa447","Int. J. Appl. Eng. Res.","Article","Final","","Scopus","2-s2.0-84940193793"
"Kim, J.-J.; Hong, S.-P.","Kim, Jaejung (42661476600); Hong, Sengphil (8552893500)","42661476600; 8552893500","A study on the accredited certification system without password using FIDO(Fast identity online)","2015","International Journal of Applied Engineering Research","10","13","","33617","33619","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940184159&partnerID=40&md5=ba4bec17f67f0ac2eb0e11aa1ce9eabd","Int. J. Appl. Eng. Res.","Article","Final","","Scopus","2-s2.0-84940184159"
"Chai, S.-W.; Min, K.-S.; Lee, J.-H.","Chai, Seungwoan (56544036400); Min, Kyoungsik (56543966300); Lee, Jeong-hyun (56604753900)","56544036400; 56543966300; 56604753900","A study of issues about accredited certification methods in Korea","2015","International Journal of Security and its Applications","9","3","","77","84","3","10.14257/ijsia.2015.9.3.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928394748&doi=10.14257%2Fijsia.2015.9.3.08&partnerID=40&md5=5ac30e84d3021a36511e586e9f338f1c","Int. J. Secur. Appl.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84928394748"
"Lee, H.; Harindranath, G.; Oh, S.; Kim, D.-J.","Lee, Heejin (35330139500); Harindranath, G. (6603270342); Oh, Sangjo (9133116600); Kim, Dong-jae (56109730700)","35330139500; 6603270342; 9133116600; 56109730700","Provision of mobile banking services from an actor-network perspective: Implications for convergence and standardization","2015","Technological Forecasting and Social Change","90","PB","","551","561","56","10.1016/j.techfore.2014.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922284420&doi=10.1016%2Fj.techfore.2014.02.007&partnerID=40&md5=4d0d418f34ac4cd638030113d9874e2e","Technol. Forecast. Soc. Change","Article","Final","","Scopus","2-s2.0-84922284420"
"Shim, Y.; Shin, D.-H.","Shim, Yongwoon (9133116700); Shin, Donghee (16242424900)","9133116700; 16242424900","Analyzing the development of 4th generation mobile network in china: Actor network theory perspective","2015","Info","17","1","","22","38","14","10.1108/info-09-2014-0041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921057369&doi=10.1108%2Finfo-09-2014-0041&partnerID=40&md5=5f7db3f1a7bbdbe9dc816384c18e29b7","Info","Article","Final","","Scopus","2-s2.0-84921057369"
"Vaithyasubramanian, S.; Christy, A.","Vaithyasubramanian, S. (56349666000); Christy, A. (57215380965)","56349666000; 57215380965","A scheme to create secured random password using Markov chain","2015","Advances in Intelligent Systems and Computing","325","","","809","814","13","10.1007/978-81-322-2135-7_85","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912544547&doi=10.1007%2F978-81-322-2135-7_85&partnerID=40&md5=16682bdc2d78d0e732c8c451e86c745d","Adv. Intell. Sys. Comput.","Conference paper","Final","","Scopus","2-s2.0-84912544547"
"King, B.","King, Brett (59549281200)","59549281200","BANK 3.0: WHY BANKING IS NO LONGER SOMEWHERE YOU GO BUT SOMETHING YOU DO","2015","","","","","1","399","27","10.1002/9781119198918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000088884&doi=10.1002%2F9781119198918&partnerID=40&md5=1436fa14fa07e8a4512e651cdc532dab","Bank 3.0: Why Bank. Is No Longer Somewhere You Go But Something You Do","Book","Final","","Scopus","2-s2.0-105000088884"
"Sprenger, T.O.; Tumasjan, A.; Sandner, P.G.; Welpe, I.M.","Sprenger, Timm O. (54401781300); Tumasjan, Andranik (36616041400); Sandner, Philipp G. (26424772500); Welpe, Isabell Melanie (13205011500)","54401781300; 36616041400; 26424772500; 13205011500","Tweets and trades: The information content of stock microblogs","2014","European Financial Management","20","5","","926","957","358","10.1111/j.1468-036X.2013.12007.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911444928&doi=10.1111%2Fj.1468-036X.2013.12007.x&partnerID=40&md5=d02ccf08cf1cc2a580a6c221d31b65d0","Eur. Financ. Manage.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84911444928"
"Dodd, N.","Dodd, Nigel (8967661800)","8967661800","The social life of money","2014","","","","","1","444","394","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924534425&partnerID=40&md5=ecc7d382487914dcb36b2ab31099ffbb","The Soc. Life of Money","Book","Final","","Scopus","2-s2.0-84924534425"
"Chen, C.L.; Zhang, C.-Y.","Chen, C. L.philip (47861886300); Zhang, Chunyang (56072612200)","47861886300; 56072612200","Data-intensive applications, challenges, techniques and technologies: A survey on Big Data","2014","Information Sciences","275","","","314","347","2598","10.1016/j.ins.2014.01.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900800509&doi=10.1016%2Fj.ins.2014.01.015&partnerID=40&md5=f3fe3b23887e344b7005d4291c398d93","Inf Sci","Article","Final","","Scopus","2-s2.0-84900800509"
"Tatnall, A.","Tatnall, Arthur D. (8348283000)","8348283000","Technological advancements and the impact of actor-network theory","2014","","","","","1","331","2","10.4018/978-1-4666-6126-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946203142&doi=10.4018%2F978-1-4666-6126-4&partnerID=40&md5=3f95eecff73ce34dc3b4b0103ec18336","Technol. Adv. and the Impact of Actor-Netw. Theory","Book","Final","","Scopus","2-s2.0-84946203142"
"Castronova, E.","Castronova, Edward J. (6602346059)","6602346059","Wildcat currency: How the virtual money revolution is transforming the economy","2014","","","","","1","265","21","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903069158&partnerID=40&md5=a52c7c05f559c8f849d57e4a83f89815","Wildcat Curr.: How the Virtual Money Revolut. is Transforming the Economy","Book","Final","","Scopus","2-s2.0-84903069158"
"Fichman, R.G.; Dos Santos, B.L.; Zheng, Z.","Fichman, Robert G. (6701846129); Dos Santos, Brian L. (7003452285); Zheng, Zhiqiang (Eric) (36792438800)","6701846129; 7003452285; 36792438800","Digital innovation as a fundamental and powerful concept in the information systems curriculum","2014","MIS Quarterly: Management Information Systems","38","2","","329","353","892","10.25300/misq/2014/38.2.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923459614&doi=10.25300%2Fmisq%2F2014%2F38.2.01&partnerID=40&md5=e3f34adea6aa47ee1fb7a3f1c706a20a","MIS Quart Manage Inf Syst","Review","Final","","Scopus","2-s2.0-84923459614"
"Chen, H.; De, P.; Hu, Y.J.; Hwang, B.-H.","Chen, Hailiang (35110334600); De, Prabuddha (59875880600); Hu, Yu Jeffrey (7407115736); Hwang, Byounghyoun (26435211500)","35110334600; 59875880600; 7407115736; 26435211500","Wisdom of crowds: The value of stock opinions transmitted through social media","2014","Review of Financial Studies","27","5","","1367","1403","785","10.1093/rfs/hhu001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898921248&doi=10.1093%2Frfs%2Fhhu001&partnerID=40&md5=8f1bbff788a19b68b5d56c8fdf397cc9","Rev. Financ. Stud.","Article","Final","","Scopus","2-s2.0-84898921248"
