issn,eissn,subj_areas
18680356,,Earth and Planetary Sciences; Environmental Science
03657000,,Earth and Planetary Sciences; Environmental Science
0174870X,,Medicine
20966326,26621738,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
03148769,18379389,Arts and Humanities; Social Sciences
00013277,,Engineering
00965995,,Engineering
20148526,20148534,Arts and Humanities; Social Sciences
10853375,16870409,Mathematics
01336215,,Agricultural and Biological Sciences
01266209,,Engineering
03424022,,Medicine
00013706,,Engineering
01902946,,Social Sciences
,22411402,Social Sciences
1018161X,18104851,"Economics, Econometrics and Finance"
00013854,,Medicine
10128255,20565127,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
10696563,15532712,Medicine
,19253621,Medicine
19958943,,"Biochemistry, Genetics and Molecular Biology; Medicine"
22813993,22814612,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
15837904,,Engineering
20971338,,Medicine
0258879X,,Medicine
16718267,,"Biochemistry, Genetics and Molecular Biology"
15337812,,"Business, Management and Accounting; Social Sciences"
10402446,1938808X,Social Sciences
10620249,,Nursing
,23742895,Medicine
18762859,18762867,Medicine
10429670,15457230,Medicine; Social Sciences
,19040008,Arts and Humanities
08954852,19364709,Social Sciences
10766332,18784046,Medicine
18553303,23354194,"Business, Management and Accounting; Social Sciences"
12962147,,Physics and Astronomy
10963685,15282635,"Business, Management and Accounting; Economics, Econometrics and Finance"
19392230,19392249,"Economics, Econometrics and Finance"
10879595,15282686,"Business, Management and Accounting; Economics, Econometrics and Finance"
19416520,19416067,"Business, Management and Accounting"
,21681007,"Business, Management and Accounting"
10795545,,"Business, Management and Accounting"
00014273,,"Business, Management and Accounting"
1537260X,,"Business, Management and Accounting; Social Sciences"
15589080,,"Business, Management and Accounting"
03637425,,"Business, Management and Accounting"
10956298,15282678,"Business, Management and Accounting; Economics, Econometrics and Finance"
15441458,19396104,"Business, Management and Accounting"
00445851,17127432,Arts and Humanities
01328077,22215115,Agricultural and Biological Sciences
0044586X,21077207,Agricultural and Biological Sciences
15568571,,Medicine; Nursing
10621458,,Medicine; Nursing
,25168290,Immunology and Microbiology; Medicine
26630575,26630583,Social Sciences
00014575,18792057,Engineering; Medicine; Social Sciences
09652302,,Medicine; Nursing
08989621,15455815,Social Sciences
23697393,23697407,"Business, Management and Accounting; Pharmacology, Toxicology and Pharmaceutics"
00014788,21594260,"Business, Management and Accounting"
08105391,1467629X,"Business, Management and Accounting; Economics, Econometrics and Finance"
15309320,,"Business, Management and Accounting"
09639284,14684489,"Business, Management and Accounting; Social Sciences"
01559982,14676303,"Business, Management and Accounting; Economics, Econometrics and Finance"
01484184,23274468,"Arts and Humanities; Business, Management and Accounting"
10323732,17493374,"Arts and Humanities; Business, Management and Accounting"
21552851,2155286X,"Arts and Humanities; Business, Management and Accounting"
08887993,15587975,"Business, Management and Accounting"
17449480,17449499,"Business, Management and Accounting; Economics, Econometrics and Finance"
1911382X,19113838,"Business, Management and Accounting; Economics, Econometrics and Finance"
10309616,,"Business, Management and Accounting; Economics, Econometrics and Finance"
00014826,15587967,"Business, Management and Accounting; Economics, Econometrics and Finance"
09513574,,"Business, Management and Accounting; Economics, Econometrics and Finance"
09585206,14664275,"Business, Management and Accounting"
,21522820,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
25097873,25097881,"Business, Management and Accounting; Economics, Econometrics and Finance"
09598022,18737595,"Business, Management and Accounting; Computer Science; Social Sciences"
03613682,,"Business, Management and Accounting; Decision Sciences; Social Sciences"
00014842,15204898,Chemistry
,26436728,Chemical Engineering; Materials Science
09491775,14320517,Chemical Engineering; Chemistry; Engineering; Physics and Astronomy
20271131,21454493,Social Sciences
0102700X,22378723,Arts and Humanities; Social Sciences
,23263253,Medicine
12178969,,Chemistry
0889325X,,Engineering; Materials Science
08893241,,Engineering
10249435,15612880,Medicine; Health Professions
19322232,19322240,Computer Science; Mathematics
03600300,15577341,Computer Science; Mathematics
21532184,21532192,Computer Science; Social Sciences
15314278,,Computer Science
15504832,15504840,Computer Science; Engineering
,15513688,Computer Science; Engineering
15232867,15581160,Computer Science
19367228,,Computer Science
15496325,15496333,Mathematics
15443558,15443965,Computer Science; Mathematics; Psychology
23754699,23754702,Computer Science
15300226,15583430,Computer Science
15564665,15564703,Computer Science; Engineering
19423454,19423462,Computer Science; Mathematics
15293785,1557945X,Computer Science; Mathematics
07342071,15577333,Computer Science
10730516,15577325,Computer Science
,19466226,Computer Science; Social Sciences
26911957,26378051,Computer Science; Engineering; Medicine; Health Professions
2378962X,23789638,Computer Science; Mathematics
03625915,15574644,Computer Science
10844309,15577309,Computer Science; Engineering
21678375,21678383,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
2688299X,26883007,Computer Science
07300301,15577368,Computer Science
,25739522,Computer Science
10949224,15577406,Computer Science; Engineering
10468188,15582868,"Business, Management and Accounting; Computer Science"
21576904,21576912,Computer Science; Mathematics
21606455,21606463,Computer Science
25776207,,Computer Science
15335399,15576051,Computer Science
15564681,,Computer Science
2158656X,21586578,"Business, Management and Accounting; Computer Science"
00983500,15577295,Computer Science; Mathematics
10493301,15581195,Computer Science; Mathematics
23763639,23763647,Computer Science; Engineering
15516857,15516865,Computer Science
07342047,,Engineering
23294949,23294957,Computer Science; Mathematics
24712566,24712574,Computer Science; Engineering
01640925,,Computer Science
,26436817,Computer Science; Mathematics; Physics and Astronomy
19367406,19367414,Computer Science
15504859,,Computer Science
1049331X,15577392,Computer Science
23740353,23740361,Computer Science; Mathematics
15504875,,Computer Science; Mathematics
15533077,,Computer Science
15591131,,Computer Science
14929732,14929732,Social Sciences
10856862,,Medicine
1074861X,,Medicine
08971471,,
14487535,,Nursing
11307269,24443948,Arts and Humanities
15297853,,Physics and Astronomy
10637710,15626865,Physics and Astronomy
13463969,13475177,Physics and Astronomy
,2624599X,Physics and Astronomy
08146039,18392571,Physics and Astronomy
0308437X,,Physics and Astronomy
01401599,,Physics and Astronomy
10568751,15398560,Medicine
1828454X,22806458,Earth and Planetary Sciences; Environmental Science
08963576,1544435X,Social Sciences
,25785745,Medicine
,23057394,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
03512851,,Agricultural and Biological Sciences
15851923,15882519,Arts and Humanities; Social Sciences
,26921952,Agricultural and Biological Sciences
,25766422,Chemistry; Engineering; Materials Science; Medicine
,26376113,Chemistry; Materials Science
,25740962,Chemical Engineering; Chemistry; Energy; Engineering; Materials Science
19448244,19448252,Materials Science
,25740970,Materials Science
,27719855,Chemistry; Materials Science; Physics and Astronomy
,26376105,Chemical Engineering; Chemistry; Materials Science
,26942437,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
,23739878,Engineering; Materials Science
,21555435,Chemical Engineering; Chemistry
23747943,23747951,Chemical Engineering; Chemistry
15548929,15548937,"Biochemistry, Genetics and Molecular Biology"
18715532,18780504,Chemical Engineering; Chemistry; Medicine
,19487193,"Biochemistry, Genetics and Molecular Biology; Neuroscience"
21568952,21568944,Chemistry
,24723452,Earth and Planetary Sciences
,23808195,Chemistry; Energy; Materials Science
,26942518,Environmental Science
,26900645,Chemical Engineering; Environmental Science
,26900637,Chemical Engineering; Chemistry; Environmental Science
,26921944,Agricultural and Biological Sciences; Chemistry
,23738227,Medicine
,21611653,Chemistry; Materials Science
,26942461,Materials Science
,26394979,Chemical Engineering; Engineering; Materials Science
,2694250X,Chemistry
,19485875,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
19360851,1936086X,Engineering; Materials Science; Physics and Astronomy
,26942496,Chemistry; Materials Science
,24701343,Chemical Engineering; Chemistry
,2694247X,Chemistry
,25759108,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
,23304022,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science; Physics and Astronomy"
,26942445,Chemistry; Computer Science
,26942453,Chemical Engineering; Chemistry; Materials Science
,23793694,Chemical Engineering; Physics and Astronomy
,21680485,Chemical Engineering; Chemistry; Energy; Environmental Science
00976156,19475918,Chemical Engineering; Chemistry
,21615063,"Biochemistry, Genetics and Molecular Biology; Engineering"
07479417,,Earth and Planetary Sciences; Environmental Science
10915397,1536593X,Medicine; Health Professions
03653056,,Medicine
13920316,,Arts and Humanities
1000243X,,Medicine
02533650,,Medicine
02534290,,Medicine
1000503X,,Medicine
02533316,,Chemical Engineering
05872405,,Arts and Humanities; Social Sciences
10224793,26814617,Arts and Humanities; Computer Science; Engineering; Physics and Astronomy; Health Professions
16101928,18619959,Arts and Humanities; Physics and Astronomy
00650900,,Arts and Humanities; Social Sciences
00015113,18460453,Earth and Planetary Sciences
10070435,,Agricultural and Biological Sciences; Environmental Science
00015121,,Agricultural and Biological Sciences; Veterinary
09064702,16511972,Agricultural and Biological Sciences; Veterinary
09064710,16511913,Agricultural and Biological Sciences
15819175,18541941,Agricultural and Biological Sciences; Environmental Science
00650951,2300357X,Agricultural and Biological Sciences
01202812,23230118,Agricultural and Biological Sciences
02380161,15882527,Agricultural and Biological Sciences
18752780,,Agricultural and Biological Sciences
04963490,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
01393006,15882535,Agricultural and Biological Sciences
00015148,,Medicine
0065096X,,Medicine
00445967,,Agricultural and Biological Sciences
00015156,,Medicine
00015164,,Medicine
03744965,,Medicine
11248882,,Medicine
00015172,13996576,Medicine
05152720,,Medicine
02541319,,Medicine
18754597,1875452X,Medicine
03535150,18746349,Arts and Humanities
00015180,,Medicine
05291356,,"Biochemistry, Genetics and Molecular Biology; Medicine"
1234950X,16443276,Medicine
00445975,15882543,Arts and Humanities; Social Sciences
01678019,15729036,Mathematics
00015202,,Agricultural and Biological Sciences
0065101X,16000390,Arts and Humanities; Social Sciences
00015210,15882551,Arts and Humanities; Social Sciences
00650986,24510300,Arts and Humanities; Social Sciences
00651036,17306264,Mathematics
08606102,24498653,Arts and Humanities; Social Sciences
00945765,,Engineering
00015237,,Earth and Planetary Sciences; Physics and Astronomy
22282009,22282017,Arts and Humanities
00651044,23922389,Arts and Humanities; Social Sciences
04003977,,Medicine
07760353,,Medicine
07715684,,Medicine
00015253,,Medicine
02376261,,"Biochemistry, Genetics and Molecular Biology"
16729145,17457270,"Biochemistry, Genetics and Molecular Biology"
0001527X,1734154X,"Biochemistry, Genetics and Molecular Biology"
07175906,1726569X,Medicine; Social Sciences
03650820,,Medicine
00015288,,Agricultural and Biological Sciences
01779214,,Earth and Planetary Sciences; Environmental Science
0120548X,19001649,Agricultural and Biological Sciences
00015296,18980295,Agricultural and Biological Sciences
0001530X,,Agricultural and Biological Sciences
00015318,,Medicine
02365383,1588256X,"Biochemistry, Genetics and Molecular Biology; Environmental Science; Neuroscience"
,24121908,Agricultural and Biological Sciences; Environmental Science
,18543073,Agricultural and Biological Sciences
1588385X,15884082,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
14078953,,Agricultural and Biological Sciences
17427061,18787568,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
03924203,25316745,Medicine
25419420,25879596,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
03252957,,"Biochemistry, Genetics and Molecular Biology"
01384988,,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
00015342,15728358,"Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Environmental Science; Mathematics"
08003831,1503111X,Arts and Humanities; Social Sciences
01023306,1677941X,Agricultural and Biological Sciences
03650588,18478476,Agricultural and Biological Sciences
00015369,,Agricultural and Biological Sciences
12538078,,Agricultural and Biological Sciences
02366495,15882578,Agricultural and Biological Sciences
02109506,,Earth and Planetary Sciences; Environmental Science
01877151,24487589,Agricultural and Biological Sciences
00445983,,Agricultural and Biological Sciences
05777496,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
00845906,24434264,Agricultural and Biological Sciences
03650766,,Medicine
00015385,03737934,Medicine
10116842,,Medicine
11248874,,Medicine
05836050,15802612,Earth and Planetary Sciences
0904213X,,Chemical Engineering
00015393,,Medicine
03024377,,Medicine
03024369,,Medicine
00015407,,Medicine
02313146,,Chemistry
05677351,,Chemistry
02567660,,Chemistry
13180207,15803155,Chemistry
15081109,,Agricultural and Biological Sciences
00015415,,Medicine
00015423,18054404,Medicine
00015431,,Medicine
0001544X,15632563,Medicine
00015458,,Medicine
02314614,,Medicine
00015466,,Medicine
0354950X,,Medicine
03906892,,Medicine
00015482,,Medicine
03011860,,Medicine
12332356,20835736,Chemistry
00015504,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
01028650,,Medicine
00651141,,Arts and Humanities
0418453X,27323390,Arts and Humanities
17843286,22953337,Medicine
05677386,,Medicine
03539466,13339451,Medicine
03539474,,Medicine
01227262,27730697,Medicine; Nursing
01239155,19099711,Medicine; Psychology
02315955,,Arts and Humanities; Social Sciences
24131903,16841999,"Business, Management and Accounting"
01888145,,Psychology; Social Sciences
22126007,,Arts and Humanities
03020029,,Medicine
0365110X,,Earth and Planetary Sciences; Environmental Science
,20532733,"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy"
01087673,16005724,"Biochemistry, Genetics and Molecular Biology"
01087681,16005740,"Biochemistry, Genetics and Molecular Biology"
20525192,20525206,Materials Science; Physics and Astronomy
01082701,16005759,"Biochemistry, Genetics and Molecular Biology"
09074449,13990047,"Biochemistry, Genetics and Molecular Biology"
,20597983,"Biochemistry, Genetics and Molecular Biology"
,20569890,Chemistry; Materials Science; Physics and Astronomy
,16005368,Chemistry; Materials Science; Physics and Astronomy
17443091,,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
,2053230X,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
05677408,,Medicine
,20532296,Chemistry; Materials Science; Physics and Astronomy
0324721X,,Computer Science; Decision Sciences; Engineering; Mathematics
00015547,19382650,Medicine
00651176,,Medicine
03760189,,Medicine
00015555,16512057,Medicine
03658341,,Medicine
13184458,15812979,Medicine
1330027X,18476538,Medicine
03024466,,Medicine
09405429,14325233,"Biochemistry, Genetics and Molecular Biology; Medicine"
00015563,,"Biochemistry, Genetics and Molecular Biology; Medicine"
,25358219,Social Sciences
,15049922,Social Sciences
18722032,,Agricultural and Biological Sciences; Environmental Science
03919706,,"Biochemistry, Genetics and Molecular Biology; Medicine"
05677416,,Medicine
00651184,,Medicine
00015598,,"Biochemistry, Genetics and Molecular Biology"
18410987,1843066X,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
04004000,,Medicine
03009750,,"Biochemistry, Genetics and Molecular Biology"
0240642X,19585454,Medicine
03979164,,Medicine
08674140,,Medicine
03741036,18046487,Agricultural and Biological Sciences
04546296,,Earth and Planetary Sciences; Environmental Science
20969384,25244434,Medicine; Neuroscience
14062283,22284699,Mathematics
12169803,15882586,Arts and Humanities; Social Sciences
08739749,14379546,Agricultural and Biological Sciences
00651206,,Medicine
03516083,22172521,Medicine
03012298,13386786,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
1803408X,25710273,Arts and Humanities; Social Sciences
13363824,,Agricultural and Biological Sciences
00015636,,Agricultural and Biological Sciences
1335258X,13369245,Agricultural and Biological Sciences
00015644,,Medicine
03009033,,Medicine
05677440,03652785,Energy; Environmental Science; Mathematics
00015660,,Medicine
20960956,23657499,Earth and Planetary Sciences
10011595,,Earth and Planetary Sciences
22135812,22135820,Earth and Planetary Sciences; Engineering
12178977,15871037,Earth and Planetary Sciences; Engineering
03741842,,Earth and Planetary Sciences; Environmental Science
02365758,,Earth and Planetary Sciences; Environmental Science
12149705,,Earth and Planetary Sciences
00015687,,Earth and Planetary Sciences; Social Sciences
13300466,,Earth and Planetary Sciences; Social Sciences
00651249,,Earth and Planetary Sciences; Social Sciences
00651257,,Earth and Planetary Sciences; Environmental Science
15816613,15818314,Earth and Planetary Sciences; Social Sciences
13386034,,Earth and Planetary Sciences; Environmental Science; Social Sciences
05677505,,Earth and Planetary Sciences
02365278,15882594,Earth and Planetary Sciences
00015709,,Earth and Planetary Sciences
10009515,17556724,Earth and Planetary Sciences
13380044,13385674,Earth and Planetary Sciences
18956572,18957455,Earth and Planetary Sciences
00015725,,Earth and Planetary Sciences
00015733,,Earth and Planetary Sciences
10063021,,Earth and Planetary Sciences
18611125,18611133,Earth and Planetary Sciences
18540171,,Earth and Planetary Sciences
00015776,,Medicine
23364912,23364920,Health Professions
00015784,,Medicine
00015792,14219662,Medicine
00015814,23007117,Medicine
0300970X,,Medicine
03652858,,Medicine
00015822,,Medicine
18279635,18279643,Agricultural and Biological Sciences
00651281,16180372,"Biochemistry, Genetics and Molecular Biology; Medicine"
00445991,13475800,"Biochemistry, Genetics and Molecular Biology; Medicine"
14080419,,Arts and Humanities; Social Sciences
00015830,15882608,Arts and Humanities; Social Sciences
00015857,,Medicine
00651311,,Medicine
14062925,17367476,Arts and Humanities
13924095,23516526,Arts and Humanities
13180185,,Arts and Humanities
05677572,,Agricultural and Biological Sciences
0513353X,,Agricultural and Biological Sciences
00446009,,Medicine
10003207,,Agricultural and Biological Sciences; Environmental Science
03234320,1521401X,Agricultural and Biological Sciences; Environmental Science
,26444690,Earth and Planetary Sciences; Environmental Science
03523551,15810267,Earth and Planetary Sciences; Environmental Science
01371592,17341515,Agricultural and Biological Sciences
0237028X,2221870X,Engineering; Physics and Astronomy
00015903,14320525,Computer Science
03538109,19865988,Medicine
,18054951,"Business, Management and Accounting; Computer Science; Social Sciences"
,23005599,Energy; Environmental Science
12162574,15882616,Social Sciences
15207412,,Arts and Humanities; Social Sciences
00651362,,Medicine
00015938,,Medicine
01026712,2179975X,Agricultural and Biological Sciences; Environmental Science
25598201,,Arts and Humanities; Social Sciences
,22323317,Arts and Humanities; Social Sciences
03740463,,Arts and Humanities; Social Sciences
12168076,15882624,Arts and Humanities; Social Sciences
16484444,2669218X,Arts and Humanities; Social Sciences
23065737,26584069,Arts and Humanities; Social Sciences
07160909,07176848,Arts and Humanities
,13395629,"Business, Management and Accounting; Engineering; Social Sciences"
26687755,26687763,"Medicine; Pharmacology, Toxicology and Pharmaceutics; Dentistry"
13596454,,Materials Science
00015962,,Mathematics
08660182,17860091,Mathematics; Social Sciences
00015954,,Mathematics
02365294,15882632,Mathematics
02529602,15729087,Mathematics; Physics and Astronomy
10009574,,Mathematics
05831431,,Mathematics
14398516,14397617,Mathematics
08629544,13360310,Mathematics
02514184,,Mathematics
01689673,,Mathematics
00015970,16196937,Engineering
18984088,,Engineering
05677718,16143116,Engineering
08949166,18602134,Engineering
12114286,18059694,Medicine; Health Professions
1211247X,,Medicine
00015989,,Medicine
18401848,18402879,Medicine; Veterinary
03038173,15632571,Medicine
03038181,,Medicine
00016004,,Medicine
03241750,,Medicine
13300164,,Medicine
03794857,,Medicine
05677734,,"Biochemistry, Genetics and Molecular Biology"
02365286,,Medicine
01259326,23382732,Immunology and Microbiology; Medicine
00446025,17359694,Medicine
03653285,,Medicine
00016039,,Medicine
03758338,,Medicine
13920138,20294174,Medicine
03936384,,Medicine
00016055,,Medicine
0386300X,,"Biochemistry, Genetics and Molecular Biology; Medicine"
03654540,,Medicine
10188800,17285917,Medicine
00016071,20949278,Medicine
0870399X,16460758,Medicine
00016098,,Medicine
0350364X,18403956,Medicine
00016101,,Medicine
0365463X,,Medicine
00016152,,Medicine
10228012,2592818X,Arts and Humanities
00016160,,Engineering
09567151,,Engineering
10067191,,Engineering; Materials Science
10009442,,Engineering
10009450,,Engineering
13351532,13381156,Materials Science
08940525,21914788,Earth and Planetary Sciences; Engineering
00016187,,Medicine
02048809,26033755,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
12178950,15882640,Immunology and Microbiology; Medicine
04389573,24594113,Medicine
02314622,,Immunology and Microbiology; Medicine
01371320,,Immunology and Microbiology
05677815,,Medicine
05677823,,Medicine
00016209,,Immunology and Microbiology
07984545,,Materials Science; Medicine; Physics and Astronomy
13351788,,Earth and Planetary Sciences
00016217,,Medicine
02365391,,Medicine
00016225,,Medicine
00016233,,Arts and Humanities
12118796,25714686,Earth and Planetary Sciences
14541513,27344487,Arts and Humanities; Social Sciences
00365343,18046479,Arts and Humanities
00016241,,Arts and Humanities
0001625X,2353074X,Agricultural and Biological Sciences
11282460,25321900,Medicine
20758251,,"Biochemistry, Genetics and Molecular Biology"
0392419X,,Earth and Planetary Sciences
03654907,,Medicine
00290386,,Medicine
0567784X,2350417X,Arts and Humanities; Social Sciences
00651400,16890035,Neuroscience
00016268,09420940,Medicine
00651419,21978395,Medicine
03009009,22402993,Medicine
00016284,,Medicine
00016314,16000404,Medicine; Neuroscience
00651427,16005449,Medicine
1028768X,,Medicine; Neuroscience
00016322,14320533,Medicine; Neuroscience
,20515960,Medicine; Neuroscience
09242708,16015215,Medicine; Neuroscience
17307503,,Psychology
03759245,,Neuroscience
09624929,14740508,Mathematics
00016330,,Medicine
02109832,,Medicine
00016349,16000412,Medicine
03008835,,Medicine
0253505X,18691099,Agricultural and Biological Sciences; Earth and Planetary Sciences
03264815,18524834,Dentistry
00016357,15023850,Dentistry
1146609X,,Agricultural and Biological Sciences; Environmental Science
02437651,,Earth and Planetary Sciences; Environmental Science
02437678,,Earth and Planetary Sciences; Environmental Science
0243766X,,Earth and Planetary Sciences; Environmental Science
00016373,15882659,"Economics, Econometrics and Finance"
1509409X,,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
0284186X,1651226X,Medicine
11001704,,"Biochemistry, Genetics and Molecular Biology; Medicine"
12114413,,Arts and Humanities; Social Sciences
0001639X,,Medicine
1755375X,17553768,Medicine
13953907,16000420,Medicine
13953931,,Medicine
00651451,,Medicine
00016446,15882667,Arts and Humanities; Social Sciences
00016454,,Agricultural and Biological Sciences
17453674,17453682,Medicine
00016462,,Medicine
1017995X,,Medicine
03502309,,Medicine
00016470,16511964,Medicine
03008827,,Medicine
17453690,17453704,Medicine
14137852,,Medicine; Health Professions
23064102,,Medicine
00016489,16512251,Medicine
03655237,,Medicine
00016497,,Medicine
0392100X,1827675X,Medicine
03937976,,Medicine
00016500,,Medicine
00016519,19883013,Medicine
13925016,1648665X,Social Sciences
00016527,,Medicine
00016535,,Medicine
0231441X,,Medicine
03745600,,Medicine
0001656X,,Medicine
03008843,,Medicine
00016578,,Medicine
16088115,,Medicine
08035253,16512227,Medicine
08035326,,Medicine
03655741,,Medicine
00016586,,Medicine
00016594,20820259,Agricultural and Biological Sciences; Earth and Planetary Sciences
05677920,17322421,Earth and Planetary Sciences
1842371X,22483802,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science
12302821,18961851,Immunology and Microbiology
00651478,,Immunology and Microbiology
03655555,,Medicine
03654184,,Medicine
03655563,,Medicine
03041328,,Medicine
00016632,,Medicine
01080164,,Immunology and Microbiology
01080180,,Immunology and Microbiology
01080202,,Immunology and Microbiology
01032100,19820194,Nursing
01862391,,Medicine
00016640,,Medicine
05643929,,Agricultural and Biological Sciences
14507188,,Engineering
10006524,,Earth and Planetary Sciences
10000569,20958927,Earth and Planetary Sciences
13300075,18469558,"Pharmacology, Toxicology and Pharmaceutics"
03563456,,"Pharmacology, Toxicology and Pharmaceutics"
00016659,,"Pharmacology, Toxicology and Pharmaceutics"
00016667,,"Pharmacology, Toxicology and Pharmaceutics"
11001801,,"Pharmacology, Toxicology and Pharmaceutics"
13072080,,"Pharmacology, Toxicology and Pharmaceutics"
22113835,22113843,"Pharmacology, Toxicology and Pharmaceutics"
00016675,,"Pharmacology, Toxicology and Pharmaceutics"
03403157,,"Pharmacology, Toxicology and Pharmaceutics"
1300638X,,"Pharmacology, Toxicology and Pharmaceutics"
00016683,,"Pharmacology, Toxicology and Pharmaceutics"
16714083,17457254,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
11212179,18256562,Arts and Humanities
1593232X,18271766,Medicine
00016705,,Physics and Astronomy
02314428,,Physics and Astronomy
12197580,15882675,Physics and Astronomy
15899535,,Physics and Astronomy
05874246,,Physics and Astronomy
05874254,,Physics and Astronomy
18992358,,Physics and Astronomy
1004423X,,Physics and Astronomy
03230465,1336040X,Physics and Astronomy
01375881,18611664,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
17481708,17481716,"Biochemistry, Genetics and Molecular Biology"
00016756,,"Biochemistry, Genetics and Molecular Biology"
03239950,,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
03266656,,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
00016748,,Medicine
0231424X,15882683,Medicine
00016764,,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
03276309,,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
