"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","Funding Details","Funding Texts","References","Correspondence Address","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Jun, J.; Yeo, E.","Jun, Jooyong (57189216030); Yeo, Eunjung (57189216771)","57189216030; 57189216771","Entry of FinTech Firms and Competition in the Retail Payments Market","2016","Asia-Pacific Journal of Financial Studies","45","2","","159","184","54","10.1111/ajfs.12126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966339680&doi=10.1111%2Fajfs.12126&partnerID=40&md5=682080cb06fba058b496cea15d999363","Economic Research Institute, Bank of Korea, Seoul, South Korea; Chung-Ang University Business School, Seoul, South Korea","Jun, Jooyong, Economic Research Institute, Bank of Korea, Seoul, South Korea; Yeo, Eunjung, Chung-Ang University Business School, Seoul, South Korea","We investigate the effects of entry of financial technology (FinTech) based firms on competition in the retail payments market. With a model of two-sided market with vertical restraints, we derive the following results. When only the entry of a vertically integrated (or end-to-end service) provider is allowed, either all merchants opt for multi-homing or no entry occurs, regardless of the regulatory requirement. On the other hand, if the entry of a downstream-only (or front-end service) provider is allowed, a partial multi-homing equilibrium could emerge under certain conditions, in which the entry of an end-to-end service provider does not occur. Without regulation, however, the vertically integrated incumbent does not voluntarily provide the back-end service to the entrant in general. This suggests the need for proper regulatory measures to reach a socially desirable outcome from the new entry in the retail payments market. © 2016 Korean Securities Association.","End-to-end; Entry; FinTech; Front-end; Retail payment","","","","","","","","Boom in Global Fintech Investment A New Growth Opportunity for London Technical Report, (2014); Anderson, Ross J., The economics of information security, Science, 314, 5799, pp. 610-613, (2006); Armstrong, Mark, Competition in two-sided markets, RAND Journal of Economics, 37, 3, pp. 668-691, (2006); Journal of Law and Economics, (1983); Managing Information Risk and the Economics of Security, (2009); Banks New Competitors Starbucks Google and Alibaba Harvard Business Review Online, (2014); World Payments Report 2013 Technical Report, (2013); World Payments Report 2015 Technical Report, (2015); Choi, Jay Pil, Tying in two-sided markets with multi-homing, Journal of Industrial Economics, 58, 3, pp. 607-626, (2010); Non Banks in Retail Payments, (2014)","E. Yeo; School of Business Administration, Chung-Ang University, Seoul, 84 Heukseok-Ro, Dongjak-Gu, 06974, South Korea; email: ejyeo@cau.ac.kr","","Wiley-Blackwell info@wiley.com","","","","","","20419945","","","","English","Asia-Pac. J. Financ. Stud.","Article","Final","","Scopus","2-s2.0-84966339680"
"Faid, N.","Faid, Nazim (60014833600)","60014833600","Luxembourg, a future FinTech hub?","2016","","","","","51","52","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011773290&partnerID=40&md5=f271bcf17532ac2d3f3f90f550dccb37","Kaufhold and Reveillaud, Luxembourg, Luxembourg","Faid, Nazim, Kaufhold and Reveillaud, Luxembourg, Luxembourg","[No abstract available]","","Luxembourg; Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011773290"
"Jutla, S.; Sundararajan, N.","Jutla, Sukhi (60014848000); Sundararajan, Narendiran (60014796600)","60014848000; 60014796600","India's FinTech ecosystem","2016","","","","","56","57","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011766270&partnerID=40&md5=1678ace85aa53b34b100421a15a31d17","Indian Institute of Management Ahmedabad, Ahmedabad, GJ, India","Jutla, Sukhi, ; Sundararajan, Narendiran, Indian Institute of Management Ahmedabad, Ahmedabad, GJ, India","[No abstract available]","","Fintech; Ecosystems","","","","","","","Trak in Funding Tracker; undefined; undefined; Hindu; undefined; undefined; undefined; Yourstory; undefined; undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011766270"
"Cline, R.","Cline, Rael (60014831800)","60014831800","FinTech solutions benefiting other sectors","2016","","","","","128","130","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011757931&partnerID=40&md5=607f159c0bfd7adc7be0d27563ecaa81","","Cline, Rael, ","[No abstract available]","","Fintech","","","","","","","Technavio Report Titled Global Laas Market 2015 2019; Business Insider, (2020); Idc Forecast; Emarketer Report; Transparency Market Research Report","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011757931"
"Steeves, D.","Steeves, Daniel (60014834400)","60014834400","The social impact of FinTech in Nigeria","2016","","","","","78","80","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011757659&partnerID=40&md5=ab188cafe182ae87b36f0fe0214d2dbc","","Steeves, Daniel, ","[No abstract available]","","Fintech; Nigeria; Social impact; Economic and social effects","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011757659"
"Lunn, B.","Lunn, Bernard (60014796400)","60014796400","Banks partnering with FinTech start-ups to create an integrated customer experience","2016","","","","","241","244","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011740926&partnerID=40&md5=2b2a94f8cf489697da085e97eb1be21a","","Lunn, Bernard, ","[No abstract available]","","Customer experience; Fintech","","","","","","","undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011740926"
"Cockerton, C.","Cockerton, Claire (60014796300)","60014796300","Nurturing new FinTech communities","2016","","","","","42","44","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011740284&partnerID=40&md5=77e2165edc37a5f2ad462711e67255f1","","Cockerton, Claire, ","[No abstract available]","","Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011740284"
"Bajer, D.E.","Bajer, Dominika E. (60014808400)","60014808400","FinTech innovation for wearables","2016","","","","","131","133","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011734650&partnerID=40&md5=830766d094e010715fa7b7bdf73eca92","","Bajer, Dominika E., ","[No abstract available]","","Fintech; Wearable technology","","","","","","","undefined; undefined; undefined; Oxford Dictionary, (2025); undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011734650"
"Mellinghoff, M.","Mellinghoff, Michael (60014801500)","60014801500","The digital investment space - Spanning from social trading to digital private banking - A FinTech sector made for disruption?","2016","","","","","147","148","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011729695&partnerID=40&md5=967737efbb86cb75254b7b4f257ed413","","Mellinghoff, Michael, ","[No abstract available]","","Fintech; Investments","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011729695"
"Chishti, S.; Barberis, J.","Chishti, Susanne (57192701330); Barberis, Janos N. (57192695507)","57192701330; 57192695507","The FinTech Book: The financial technology handbook for investors, entrepreneurs and visionaries","2016","","","","","1","300","63","10.1002/9781119218906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011729331&doi=10.1002%2F9781119218906&partnerID=40&md5=e46c9bdfb9298f17d653549fba7ea061","","Chishti, Susanne, ; Barberis, Janos N., ","A front-line industry insider's look at the financial technology explosion The FINTECH Book is your primary guide to the financial technology revolution, and the disruption, innovation and opportunity therein. Written by prominent thought leaders in the global fintech investment space, this book aggregates diverse industry expertise into a single informative volume to provide entrepreneurs, bankers and investors with the answers they need to capitalize on this lucrative market. Key industry developments are explained in detail, and critical insights from cutting-edge practitioners offer first-hand information and lessons learned. The financial technology sector is booming, and entrepreneurs, bankers, consultants, investors and asset managers are scrambling for more information: Who are the key players? What's driving the explosive growth? What are the risks? This book collates insights, knowledge and guidance from industry experts to provide the answers to these questions and more. • Get up to speed on the latest industry developments • Grasp the market dynamics of the 'fintech revolution' • Realize the sector's potential and impact on related industries • Gain expert insight on investment and entrepreneurial opportunities The fintech market captured over US$14 billion in 2014, a three-fold increase from the previous year. New startups are popping up at an increasing pace, and large banks and insurance companies are being pushed toward increasing digital operations in order to survive. The financial technology sector is booming and The FINTECH Book is the first crowd-sourced book on the subject globally, making it an invaluable source of information for anybody working in or interested in this space. © 2016 Susanne Chishti and Janos Barberis. All rights reserved.","","Fintech; Insurance; Investments; Asset managers; Cutting edges; Explosive growth; Industry development; Industry experts; Investor managers; Market dynamics; Technology revolution; Technology sectors; Thought leaders; Commerce","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book","Final","","Scopus","2-s2.0-105011729331"
"Vandenreydt, F.","Vandenreydt, Fabian (60014825300)","60014825300","FinTech trends from the frontline - Building collaborative opportunities for start-ups, market infrastructures, and wholesale banks","2016","","","","","206","207","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011727242&partnerID=40&md5=132dfa389b43be67515fb4372cb6a3ef","","Vandenreydt, Fabian, ","[No abstract available]","","Frontline; Market infrastructure; Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011727242"
"Haas, S.; Bierbaumer, R.","Haas, Sebastian (60014834300); Bierbaumer, Reinhold (60014803800)","60014834300; 60014803800","Vienna as the No. 1 FinTech hub in mobile payments?","2016","","","","","53","55","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011726255&partnerID=40&md5=0689f477cf806e6056d637e8555d2971","","Haas, Sebastian, ; Bierbaumer, Reinhold, ","[No abstract available]","","Fintech; Global system for mobile communications; Mobile payment; Electronic money","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011726255"
"Hally, L.","Hally, Luke (57735791200)","57735791200","FinTech solutions for small businesses","2016","","","","","123","124","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011724868&partnerID=40&md5=6e8ea0d0e5bf7ece818dc04ac4db8c50","","Hally, Luke, ","[No abstract available]","","Small business; Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011724868"
"Joseph, S.","Joseph, Susan (60014803600)","60014803600","FinTech: The not so little engine that can","2016","","","","","66","68","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011724204&partnerID=40&md5=612442054660b86b410f5a294932f6c3","","Joseph, Susan, ","[No abstract available]","","Engines; Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011724204"
"Cordeiro, T.; Weevers, I.","Cordeiro, Terry (60014847700); Weevers, Ivo (6506155388)","60014847700; 6506155388","Design is no longer an option - User experience (UX) in FinTech","2016","","","","","34","37","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011723018&partnerID=40&md5=bd21376306142c696a910281730b28ee","","Cordeiro, Terry, ; Weevers, Ivo, ","[No abstract available]","","Design; Inflation; User experience; User profile; Users' experiences; Fintech","","","","","","","Emotional Design Why We Love or Hate Everyday Things, (2004)","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011723018"
"Ferrari, R.","Ferrari, Roberto (60014826200)","60014826200","FinTech impact on retail banking - From a universal banking model to banking verticalization","2016","","","","","248","252","23","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011719128&partnerID=40&md5=bdd934cb2d7ed8836c8fea760ca2bb37","","Ferrari, Roberto, ","[No abstract available]","","Decentralized finance; Fintech; Retail banking; Banking","","","","","","","undefined; undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011719128"
"Ginsel, D.","Ginsel, Don (60014847600)","60014847600","The journey towards an integrated FinTech ecosystem-The Netherlands","2016","","","","","48","50","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011718186&partnerID=40&md5=ec156fa86b3b49f020236f4ac6675959","Holland FinTech, Netherlands","Ginsel, Don, Holland FinTech, Netherlands","[No abstract available]","","Fintech; Netherlands; Ecosystems","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011718186"
"Sironi, P.","Sironi, Paolo (57856514900)","57856514900","My robo advisor was an iPod - Applying the lessons from other sectors to FinTech disruption","2016","","","","","152","154","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011717639&partnerID=40&md5=a900902713548d430b0f4d3c22fcd1e7","","Sironi, Paolo, ","[No abstract available]","","Fintech","","","","","","","undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011717639"
"Menat, R.","Menat, Rébecca (60014797200)","60014797200","Why we're so excited about FinTech","2016","","","","","10","12","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011714278&partnerID=40&md5=6b580c10ccb2d7731cd46ef0eb3f0fc3","","Menat, Rébecca, ","[No abstract available]","","Fintech","","","","","","","undefined; Insider S View to Payments and Fintech, (2015); undefined; undefined; Future of Fintech and Banking Digitally Disrupted or Reimagined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011714278"
"Margaris, S.","Margaris, Spiros (60014847500)","60014847500","The FinTech supermarket - The bank is dead, long live the bank!","2016","","","","","238","240","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011711460&partnerID=40&md5=74c67cd3e61c754cf60f8346e37e0ee3","","Margaris, Spiros, ","[No abstract available]","","Fintech; Retail stores","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011711460"
"Gnirck, M.; Visser, G.","Gnirck, Markus (60014830900); Visser, Gerben (60014844600)","60014830900; 60014844600","Singapore, the FinTech hub for Southeast Asia","2016","","","","","58","60","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011711342&partnerID=40&md5=7b5cd3bf80ef64b844de9a96f4dcb752","Startupbootcamp FinTech, United Kingdom; Incubasia Ventures, Singapore City, Singapore","Gnirck, Markus, Startupbootcamp FinTech, United Kingdom; Visser, Gerben, Incubasia Ventures, Singapore City, Singapore","[No abstract available]","","Singapore; Southeast Asia; Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011711342"
"Tresca, S.L.","Tresca, Stefano L. (60014803900)","60014803900","The rise of the rest in FinTech","2016","","","","","72","74","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011702232&partnerID=40&md5=26c6619ad78a341b24de473013f55c30","","Tresca, Stefano L., ","[No abstract available]","","Economic and social effects; Fintech","","","","","","","undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011702232"
"Gelis, P.","Gelis, Philippe (60014818200)","60014818200","Why FinTech banks will rule the world","2016","","","","","235","237","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011697616&partnerID=40&md5=7f7d4c852c2ecadc2bd2517559947ad7","","Gelis, Philippe, ","[No abstract available]","","Bank protection; Decentralized finance; Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011697616"
"Wakeham, B.","Wakeham, Benjamin (60014795900)","60014795900","The next big innovation in FinTech - Identity","2016","","","","","28","30","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011694128&partnerID=40&md5=f535f1c9fbfcfe32d2bc8fbb758a403c","","Wakeham, Benjamin, ","[No abstract available]","","Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011694128"
"Anderson, N.","Anderson, Nicole (60014840300)","60014840300","Corporate venture capital - The new power broker in the FinTech innovation ecosystem","2016","","","","","186","189","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011691298&partnerID=40&md5=bfd66d31f9106f18a58192a513e151c4","","Anderson, Nicole, ","[No abstract available]","","Fintech; Information management; Corporate venture capital; Power; Investments","","","","","","","Corporate Venture Capital Avoid the Risk Miss the Rewards; undefined; A Letter to Shareholders; Is there Technological Turmoil in the Financial Services Industry, (2015)","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011691298"
"Richardson, C.J.","Richardson, Cesar J. (58287647200)","58287647200","Smartphones, FinTech, and education - Helping the unbanked reach financial inclusion","2016","","","","","75","77","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011686546&partnerID=40&md5=fd96ae22b93603b9cfe1d89e634751b5","","Richardson, Cesar J., ","[No abstract available]","","Fintech; Inclusions; Financial inclusions; Smart phones; Smartphones","","","","","","","State of the Industry Mobile Financial Services for the Unbanked, (2014)","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011686546"
"Trieu, H.N.","Trieu, Huy Nguyen (60014826600)","60014826600","Ethics in FinTech?","2016","","","","","270","272","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011683973&partnerID=40&md5=b60d6196f92fa15258264170cb73c530","","Trieu, Huy Nguyen, ","[No abstract available]","","Ethical technology; Fintech","","","","","","","undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011683973"
"Gyori, D.","Gyori, David (58287466000)","58287466000","FinTech is the future itself","2016","","","","","264","266","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011681134&partnerID=40&md5=13ce1fe49d58ffd5bde3bdfc356082cc","","Gyori, David, ","[No abstract available]","","Fintech","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011681134"
"Datoo, A.","Datoo, Akber (57203900575)","57203900575","FinTech solutions in complex contracts optimization","2016","","","","","106","108","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011677832&partnerID=40&md5=f6e0c45a2b68ccd59af5efbb0322f65f","","Datoo, Akber, ","[No abstract available]","","Fintech; Optimisations; Optimization","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011677832"
"Glas, A.; Truszel, M.","Glas, Alexander (55773110900); Truszel, Marcin (60014803000)","55773110900; 60014803000","Current trends in financial technology","2016","","","","","13","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011675712&partnerID=40&md5=1d9cb984a3e4688c88a3eaf98a76ba8f","Kontomatik, Poland","Glas, Alexander, ; Truszel, Marcin, Kontomatik, Poland","[No abstract available]","","'current","","","","","","","","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011675712"
"Clot, A.; Pailhon, J.-M.","Clot, Alain (60014818000); Pailhon, Jean Michel (60014818100)","60014818000; 60014818100","La (French) FinTech connection","2016","","","","","45","47","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011675072&partnerID=40&md5=52653a408aae60e05eb27e0abeb3f618","","Clot, Alain, ; Pailhon, Jean Michel, ","[No abstract available]","","Fintech","","","","","","","undefined; undefined; undefined; undefined; undefined; Pwc Cities of Opportunity 6; undefined; undefined; undefined; undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011675072"
"Chishti, S.","Chishti, Susanne (57192701330)","57192701330","Angel investing - Access to ""smart money"" to fund the best FinTech companies","2016","","","","","141","143","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011674668&partnerID=40&md5=7a85d5d662396375bc684c69396556cd","","Chishti, Susanne, ","[No abstract available]","","Electronic money; Inflation; Fintech","","","","","","","Angel Investing the Gust Guide to Making Money and having Fun Investing in Startups, (2014); Wall Street Journal, (2015); A Nation of Angels Assessing the Impact of Angel Investing Across the Uk, (2015)","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011674668"
"Eagar, M.","Eagar, Manie (60014810400)","60014810400","FinTech + digital currency - Convergence or collision?","2016","","","","","212","216","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011674663&partnerID=40&md5=3e08f9acb422566704c8688592f52e83","","Eagar, Manie, ","[No abstract available]","","Electronic trading; Fintech; Inflation; Currency convergence; Electronic money","","","","","","","undefined; undefined; undefined; undefined; undefined; undefined","","","wiley","","","","","","","9781119218906; 9781119218876","","","English","The FinTech Book: The Financial Technology Handb. for Investors, Entrepreneurs and Visionaries","Book chapter","Final","","Scopus","2-s2.0-105011674663"
"Shim, Y.; Shin, D.-H.","Shim, Yongwoon (9133116700); Shin, Donghee (16242424900)","9133116700; 16242424900","Analyzing China's Fintech Industry from the Perspective of Actor-Network Theory","2016","Telecommunications Policy","40","2-3","","168","181","206","10.1016/j.telpol.2015.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959532055&doi=10.1016%2Fj.telpol.2015.11.005&partnerID=40&md5=5b7b55834e783c8264f9e2c83f826644","SK Telecom Co., Ltd., Seoul, South Korea; Sungkyunkwan University, Seoul, South Korea","Shim, Yongwoon, SK Telecom Co., Ltd., Seoul, South Korea; Shin, Donghee, Sungkyunkwan University, Seoul, South Korea","The rapid development of information and communications technology is transforming the entire industry landscape, heralding a new era of convergence services. As one of the developing countries in the financial sector, China is experiencing an unprecedented level of convergence between finance and technology. This study applies the lens of actor-network theory (ANT) to conduct a multi-level analysis of the historical development of China's financial technology (fintech) industry. It attempts to elucidate the process of building and disrupting a variety of networks comprising heterogeneous actors involved in the newly emerging convergence industry. This research represents a stepping stone in exploring the interaction between fintech and its yet unfolding social and political context. It also discusses policy implications for China's fintech industry, focusing on the changing role of the state in fostering the growth of national industry within and outside of China. © 2015 Elsevier Ltd.","Actor network theory; Chinese telecom; Fintech industry; Internet-based service","Developing countries; Finance; Internet; Public policy; Actor network theory; Convergence services; Historical development; Information and communications technology; Internet-based services; Multi-level analysis; Policy implications; Telecom; Social sciences computing","","","","","Ministry of Science, ICT and Future Planning, MSIP; Institute for Information and Communications Technology Promotion, IITP","This work was supported by the ICT R&D program of MSIP/IITP. [B0101-15-247, Development of open ICT healing platform using personal health data.","Accenture Consulting, (2014); Fintech Report Fintech Hk, (2014); Internet Companies often Fail, (2010); Power Action and Belief A New Sociology of Knowledge, (1986); Year of 2005 A Critical Year for Developing Electronic Commerce in China, (2011); China Spurs Growth of Online and Mobile Payments but Foreign Firms Still Blocked, (2013); No 1 Risk for Investing in Alibaba is Chinese Politics, (2014); International Law and Politics, (2006); China Boots Up an Internet Banking Industry, (2015); Brief Review on the Development of China S Payment System, (2015)","D.-H. Shin; Sungkyunkwan University, 90327 International Hall, Seoul, Sungkyunkwan-ro 25-2, South Korea; email: dshin@skku.edu","","Elsevier Ltd","","","","","","03085961","","TEPOD","","English","Telecommun Policy","Article","Final","","Scopus","2-s2.0-84959532055"
