"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","Funding Details","Funding Texts","References","Correspondence Address","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Jereczek, K.","Jereczek, Katarzyna (58544054900)","58544054900","Geographic decentralization of FinTech companies in Sweden","2018","","","","","399","410","1","10.4324/9781351183628-22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168499024&doi=10.4324%2F9781351183628-22&partnerID=40&md5=874ee8c7a7b0923a14d5c7ea4f25648c","Szkola Glówna Handlowa w Warszawie, Warsaw, MA, Poland","Jereczek, Katarzyna, Szkola Glówna Handlowa w Warszawie, Warsaw, MA, Poland","[No abstract available]","","","","","","","","","Dagens Industri, (2017); Dahl, Michael S., Home sweet home: Entrepreneurs' location choices and the performance of their ventures, Management Science, 58, 6, pp. 1059-1071, (2012); Fsireview, (2016); Global Innovation Index 2016 Winning with Global Innovation; Q Series Global Banks is Fintech A Threat or an Opportunity, (2016); Forbes, (2017); Pulse of Fintech Q4 2017global Analysis of Investment in Fintech, (2017)","","","Taylor and Francis","","","","","","","9781351183611; 9780815378501","","","English","The Rise and Development of FinTech: Accounts of Disruption from Sweden and Beyond","Book chapter","Final","","Scopus","2-s2.0-85168499024"
"Linder, C.B.","Linder, Catharina Burenstam (58543888600)","58543888600","The Stockholm FinTech Hub","2018","","","","","390","398","1","10.4324/9781351183628-21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168469041&doi=10.4324%2F9781351183628-21&partnerID=40&md5=c816c8d346f27e313751dc84043c78e0","Swedish cleantech company Climeon, Sweden","Linder, Catharina Burenstam, Swedish cleantech company Climeon, Sweden","[No abstract available]","","","","","","","","","Sweden Unep and Fintechs Collaborate for Sustainable Finance, (2017); Fintech and Sustainable Development Assessing the Implications, (2016); A Tale of 44 Cities Connecting Global Fintech Interim Hub Review 2017, (2017); Om Oss about Us, (2017); Global Innovation Index 2012 Stronger Innovation Linkages for Global Growth, (2012); Stockholms ICT Cluster Improving the Ties that Bind, (2017); Sustainable Development Goals, (2015); Stockholm Fintech an Overview of the Fintech Sector in the Greater Stockholm Region, (2015); Doing Business 2017 Equal Opportunity for all, (2017); Global Financial Centres Index, (2011)","","","Taylor and Francis","","","","","","","9781351183611; 9780815378501","","","English","The Rise and Development of FinTech: Accounts of Disruption from Sweden and Beyond","Book chapter","Final","","Scopus","2-s2.0-85168469041"
"Teigland, R.; Siri, S.; Larsson, A.; Puertas, A.M.; Ingram Bogusz, C.I.","Teigland, Robin (6603493318); Siri, Shahryar (57372613200); Larsson, Anthony (57195330718); Puertas, Alejandro Moreno (57215126977); Ingram Bogusz, Claire (57200578595)","6603493318; 57372613200; 57195330718; 57215126977; 57200578595","The Rise and Development of FinTech: Accounts of Disruption from Sweden and Beyond","2018","","","","","1","444","20","10.4324/9781351183628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168436371&doi=10.4324%2F9781351183628&partnerID=40&md5=4abeba10f5712009d610e91f040e8abe","Center for Strategy and Competitiveness, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden","Teigland, Robin, Center for Strategy and Competitiveness, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Siri, Shahryar, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Larsson, Anthony, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Puertas, Alejandro Moreno, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Ingram Bogusz, Claire, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden","This comprehensive guide serves to illuminate the rise and development of FinTech in Sweden, with the Internet as the key underlying driver. The multiple case studies examine topics such as: the adoption of online banking in Sweden; the identification and classification of different FinTech categories; process innovation developments within the traditional banking industry; and the Venture Capital (VC) landscape in Sweden, as shown through interviews with VC representatives, mainly from Sweden but also from the US and Germany, as well as offering insight into the companies that are currently operating in the FinTech arena in Sweden. The authors address questions such as: How will the regulatory landscape shape the future of FinTech companies? What are the factors that will likely drive the adoption of FinTech services in the future? What is the future role of banks in the context of FinTech and digitalization? What are the policies and government initiatives that aim to support the FinTech ecosystem in Sweden? Complex concepts and ideas are rendered in an easily digestible yet thought-provoking way. The book was initiated by the IIS (the Internet Foundation in Sweden), an independent organization promoting the positive development of the Internet in the country. It is also responsible for the Internet’s Swedish top-level domain .se, including the registration of domain names, and the administration and technical maintenance of the national domain name registry. The book illustrates how Sweden acts (or does not act) as a competitive player in the global FinTech arena, and is a vital addition to students and practitioners in the field. © 2018 selection and editorial matter, Robin Teigland, Shahryar Siri, Anthony Larsson, Alejandro Moreno Puertas, and Claire Ingram Bogusz; individual chapters, the contributors.","","","","","","","","","","","","Taylor and Francis","","","","","","","9781351183611; 9780815378501","","","English","The Rise and Development of FinTech: Accounts of Disruption from Sweden and Beyond","Book","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85168436371"
"Kryparos, G.","Kryparos, Georgios (58544393400)","58544393400","Information security in the realm of FinTech","2018","","","","","43","65","1","10.4324/9781351183628-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162105241&doi=10.4324%2F9781351183628-3&partnerID=40&md5=3e21cca63d2083386d1a7800b465e343","Klarna, Sweden","Kryparos, Georgios, Klarna, Sweden","[No abstract available]","","","","","","","","","Companies Tightening Up Data Security After Sony Pictures Hack, (2014); This is Bankid, (2003); Manifesto for Agile Software Development, (2001); Scammers Pose as Company Execs in Wire Transfer Spam Campaign, (2014); New Quotable Einstein, (2005); Remediation Statistics What does Fixing Application Vulnerabilities Cost, (2012); Directive 2007 64 EC of the European Parliament and the Council, (2007); Official Journal of the European Union, (2014); Official Journal of the European Union, (2015); Press Release Capital Markets Union Commission Supports Crowdfunding as Alternative Source of Finance for Europe S Start Ups, (2016)","","","Taylor and Francis","","","","","","","9781351183611; 9780815378501","","","English","The Rise and Development of FinTech: Accounts of Disruption from Sweden and Beyond","Book chapter","Final","","Scopus","2-s2.0-85162105241"
"Teigland, R.; Siri, S.; Larsson, A.; Puertas, A.M.; Ingram Bogusz, C.I.","Teigland, Robin (6603493318); Siri, Shahryar (57372613200); Larsson, Anthony (57195330718); Puertas, Alejandro Moreno (57215126977); Ingram Bogusz, Claire (57200578595)","6603493318; 57372613200; 57195330718; 57215126977; 57200578595","Introduction: FinTech and shifting financial system institutions","2018","","","","","1","18","3","10.4324/9781351183628-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152751119&doi=10.4324%2F9781351183628-1&partnerID=40&md5=185df9c8aaa6a9ad471aee0e64d858a9","Center for Strategy and Competitiveness, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden","Teigland, Robin, Center for Strategy and Competitiveness, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Siri, Shahryar, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Larsson, Anthony, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Puertas, Alejandro Moreno, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden; Ingram Bogusz, Claire, Handelshögskolan i Stockholm, Stockholm, Stockholm, Sweden","[No abstract available]","","","","","","","","","Academy of Management Annals, (2009); Independent, (2014); Bba Briefing Reforms Since the Financial Crisis, (2016); Dacin, M. Tina, Institutional theory and institutional change: Introduction to the special research forum, Academy of Management Journal, 45, 1, pp. 45-57, (2002); American Sociological Review, (1983); New Institutionalism in Organizational Analysis, (1991); DiMaggio, Paul J., Social implications of the internet, Annual Review of Sociology, 27, pp. 307-336, (2001); Business Ethics in Banking, (2014); Garud, Raghu B., Institutional entrepreneurship in the sponsorship of common technological standards: The case of Sun Microsystems and Java, Academy of Management Journal, 45, 1, pp. 196-214, (2002); Professional Service Firms, (2006)","","","Taylor and Francis","","","","","","","9781351183611; 9780815378501","","","English","The Rise and Development of FinTech: Accounts of Disruption from Sweden and Beyond","Editorial","Final","","Scopus","2-s2.0-85152751119"
"Gassner, M.; Lawrence, J.","Gassner, Michael (57923828300); Lawrence, Jonathan (57924304400)","57923828300; 57924304400","Fintech in Islamic finance: Business models and the need for legal solutions","2018","","","","","174","182","4","10.4324/9781351025584-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139712743&doi=10.4324%2F9781351025584-12&partnerID=40&md5=a5e572463a3e80daa421b0b3795a8ec9","Université de Lausanne (UNIL), Lausanne, VD, Switzerland; Bosna Bank International, Sarajevo, Bosnia and Herzegovina; K&L Gates LLP, Pittsburgh, PA, United States","Gassner, Michael, Université de Lausanne (UNIL), Lausanne, VD, Switzerland, Bosna Bank International, Sarajevo, Bosnia and Herzegovina; Lawrence, Jonathan, K&L Gates LLP, Pittsburgh, PA, United States","Fintech is disruptive due to two economic drivers: first, through zero marginal costs, allowing the ability to scale services to include the poor; and second, and the law of increasing returns, which results in monopolies as the first supplier receives the majority of income. Fintech may contribute to solutions by reinventing the business models. There are various players in the fintech universe: the old established incumbent banks, the completely fresh start-ups and the mega tech companies. The fintech regulatory framework in many countries is still new or under considerable development and may otherwise conflict with existing securities regulation. Islamic finance has an opportunity to expand by being at the cutting edge of such developments. Regulators are open to discussions about new ways of working; Islamic finance participants should grasp this opportunity. Most Muslim economists propose using profit/loss sharing as the favoured mode of finance and being as modest as possible even with the permissible debt modes. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","MIT Technology Review, (2011); Arthur, W. Brian, Increasing returns and the new world of business., Harvard Business Review, 74, 4, pp. 100-109, (1996); Financial Times, (2018); Bloomberg News, (2016); Icc Commission on Taxation, (2012); Singularity is Near When Humans Transcend Biology, (2005); Kasparov Versus Deep Blue Computer Chess Comes of Age, (1997); Zero Marginal Cost Society the Internet of Things the Collaborative Commons and the Eclipse of Capitalism, (2014); Journal of Management and Social Sciences, (2005); Reflections on the Formation and Distribution of Wealth, (1766)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139712743"
"Laldin, M.A.; Furqani, H.","Laldin, Mohamad Akram (57140845500); Furqani, Hafas (35558433300)","57140845500; 35558433300","Fintech and Islamic finance: Setting the Sharī‘ah parameters","2018","","","","","113","119","11","10.4324/9781351025584-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139690836&doi=10.4324%2F9781351025584-8&partnerID=40&md5=207c01c1a5683523cf9548d352add2ca","INCEIF University, Kuala Lumpur, Malaysia; Faculty of Islamic Economics and Business, Universitas Islam Negeri Ar-Raniry, Banda Aceh, Aceh, Indonesia","Laldin, Mohamad Akram, INCEIF University, Kuala Lumpur, Malaysia; Furqani, Hafas, Faculty of Islamic Economics and Business, Universitas Islam Negeri Ar-Raniry, Banda Aceh, Aceh, Indonesia","This chapter aims to elaborate on the Shariah parameters for fintech solutions in Islamic finance. Fintech is a new way of finance by providing innovative products that would improve existing practices and facilitate consumers’ experiences in transactions in an efficient and effective way. Fintech offers product innovation by structuring financial products that are new or significantly improved and enhanced with respect to their characteristics or intended uses. Innovation through fintech should be explored to emphasis the value proposition of Islamic finance such as how to use technology to ensure minimal risk in the musharakah and mudarabah models of financing or how istisna’a and salam can be operated and optimised using fintech. Fintech solutions should be guided by the broad principles of Shari‘ah by avoiding the prohibited elements in transactions, such as interest, gambling, uncertainty, harms, cheating. Fintech application in Islamic finance is expected to bring new hope to marginalised segment of society to nurture, empower and grow together. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Atbani, Faisal Mahmoud, The prevention of financial crime within an Islamic legal framework, Economic Affairs, 27, 1, pp. 27-33, (2007); Isra Bulletin, (2013); Islam and Civilisational Renewal, (2012); Fundamentals and Practices in Islamic Finance, (2008); Ifn News Magazine, (2017); Laldin, Mohamad Akram, Innovation versus replication: Some notes on the approaches in defining shariah compliance in islamic finance, Al-Jami'ah, 54, 2, pp. 249-272, (2016); Saeed, Abdullah, Islamic banking and finance in search of a pragmatic model, pp. 113-129, (2004); Rethinking Financial Innovation Reducing Negative Outcomes While Retaining the Benefits, (2012)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139690836"
"Mohammad, M.O.; El Amri, M.C.","Mohammad, Mustafa Omar (56503163500); El Amri, Mohamed Cherif (57315498600)","56503163500; 57315498600","Fintech in the light of maqāsid al-Sharī‘ah","2018","","","","","93","112","3","10.4324/9781351025584-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139664440&doi=10.4324%2F9781351025584-7&partnerID=40&md5=38395f35d87b7beabc9b6b8b694fa0d5","Department of Economics, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Faculty of Business and Management Sciences, İstanbul Sabahattin Zaim University, Kucukcekmece, Istanbul, Turkey","Mohammad, Mustafa Omar, Department of Economics, International Islamic University Malaysia, Kuala Lumpur, Malaysia; El Amri, Mohamed Cherif, Faculty of Business and Management Sciences, İstanbul Sabahattin Zaim University, Kucukcekmece, Istanbul, Turkey","This chapter shows that there is a gap in the literature that has evaluated fintech in Islamic finance relative to maqasid al-Shari‘ah. It discusses the potential of fintech, which includes its brief history, definitions and growth. The chapter examines the fintech ecosystem, business models and applications and focuses on the development of fintech in Islamic finance. It also discusses maqasid al-Shari‘ah and fintech and provides a maqasid theoretical framework necessary for developing the dimensions and elements for measuring the fintech solutions in Islamic finance. The chapter explores the various dimensions of the essential of mal in the literature, which can be categorised into three: Shari‘ah value proposition, development of mal and socio-economic welfare. It demonstrates that it is possible to develop a framework based on maqasid al-Shari‘ah for measuring the fintech business activities in Islamic finance. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Standards Online, (2018); Ilm Usul Al Fiqh, (1997); European Journal of Islamic Finance, (2016); Al Mutatallabat Al Iqtisadiyyah Li Tahqiq Maqasid Al Shari Ah Fi Iqtisad Islami, (1991); Shifal Ghall F Bayn Al Shabah Wa Al Mukhl Wa Maslik Al Tall, (1971); Revival of the Sciences of Religion, (2004); Imam Al Shatibi S Theory of the Higher Objectives and Intents of Islamic Law, (2005); Almuwafaqat, (1997); Al Ashbah Wa Al Naza Ir; Jami at Tirmidhi","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139664440"
"Oseni, U.A.; Ali, S.N.","Oseni, Umar A. (55274107000); Ali, Syed Nazim (56549100900)","55274107000; 56549100900","Fintech in Islamic Finance","2018","","","","","3","16","19","10.4324/9781351025584-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139651345&doi=10.4324%2F9781351025584-1&partnerID=40&md5=4d91953b33a116176e04bb568c69e415","International Islamic Liquidity Management Corporation, Kuala Lumpur, Malaysia; London Court of International Arbitration, London, United Kingdom; Nigerian Bar Association, Nigeria; International Centre for Dispute Resolution (ICDR), New York, NY, United States; Center for Islamic Economics and Finance, Hamad Bin Khalifa University, College of Islamic Studies, Doha, Ad-Dawhah, Qatar","Oseni, Umar A., International Islamic Liquidity Management Corporation, Kuala Lumpur, Malaysia, London Court of International Arbitration, London, United Kingdom, Nigerian Bar Association, Nigeria, International Centre for Dispute Resolution (ICDR), New York, NY, United States; Ali, Syed Nazim, Center for Islamic Economics and Finance, Hamad Bin Khalifa University, College of Islamic Studies, Doha, Ad-Dawhah, Qatar","A quick search of the available books on fintech reveals that one of the earliest publications on the subject was published in 2016. With the exception of a few books on fintech published in earlier years, most leading books on fintech were published in 2016 due to the novelty of the phenomenon. Fintech in Islamic finance should be generally understood in a broad manner as Islamic financial services transcend mere banking. For the purpose of identifying the applicable Shariah principles, it may be helpful to define fintech in its general sense and identify its different components and applications. One key aspect of fintech which is conspicuously missing in the ongoing discussions and application of fintech in Islamic financial services and products is online dispute resolution. From the Shariah perspective, maqasid al-Shariah will continue to be relevant in fintech, as the maslahah provided by the new technologies trumps any other argument that seeks to preserve the traditional financing methods. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Alternative Dispute Resolution in Islam, (2013); Paper Presented in July 2016 at the 21st Melbourne Money and Finance Conference Mmfc, (2016); Ifsb Annual Meetings and Side Events 2017, (2017); Investment Advisor Magazine, (2014); Ansari, Abdul Haseeb I., Sustainable development: Islamic dimension with special reference to conservation of the environment, Advances in Natural and Applied Sciences, 6, 5 SPL.ISS. 4, pp. 607-619, (2012); Development Finance Agenda Defa, (2015); Supporting Responsible Innovation in the Federal Banking System an Occ Perspective March, (2016); Nazaryt Al Maslaha Fi Al Fiqh Al Islami, (2025); Journal of Financial Planning, (2015); Principles of Islamic Jurisprudence, (2003)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139651345"
"Alam, N.; Zameni, A.","Alam, Nafis (36627874700); Zameni, Abdolhossein (57189641853)","36627874700; 57189641853","The regulation of fintech and cryptocurrencies","2018","","","","","159","173","0","10.4324/9781351025584-11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139647191&doi=10.4324%2F9781351025584-11&partnerID=40&md5=747b6d96c572557d95d40a975990da3a","Henley Business School, Reading, Berkshire, United Kingdom; Henley Business School, Reading, Berkshire, United Kingdom","Alam, Nafis, Henley Business School, Reading, Berkshire, United Kingdom; Zameni, Abdolhossein, Henley Business School, Reading, Berkshire, United Kingdom","This chapter provides an insight into the potential usage of fintech in the banking landscape and issues faced by bankers and regulators in regulating the usage of fintech and cryptocurrency, and what the potential areas are where the technology can be misused. It considers how the regulation of technology usage in the financial services landscape is important to avoiding financial crime. The chapter also provides case studies from countries such as Australia, the United States, the United Kingdom and Japan, who are taking a lead in regulating fintech and digital currency usage. It examines an example from Malaysia to demonstrate how a central bank is taking the lead by issuing a fintech regulatory sandbox. Fintech powered by blockchain technology has huge importance for the financial services industry and can come in handy to solve problems such as delays, cost, duplication and reconciliation. Fintech describes financial services using innovative or disruptive technology to enhance customer’s experience. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Telegraph Uk, (2014); Bank of Namibia, (2017); Press Release, (2006); Innovator S Dilemma When New Technologies Cause Great Firms to Fail, (1997); What Scholars Say and Where It Stands in Islamic Banking and Finance, (2016); Cryptocoins News, (2017); Cryptocurrency Round Up Bolivian Bitcoin Ban Ios Apps Dogecoin at Mcdonalds, (2014); de Filippi, Primavera, The invisible politics of bitcoin: Governance crisis of a decentralised infrastructure, Internet Policy Review, 5, 3, (2016); Coindesk, (2016); Connecting Global Fintech Interim Hub Review 2017, (2017)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139647191"
"Yasini, S.; Yasini, M.","Yasini, Sirajulhaq (57923830500); Yasini, Marifatulhaq (57924306400)","57923830500; 57924306400","Current trends and future impacts of fintech in Islamic finance","2018","","","","","327","336","5","10.4324/9781351025584-20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139633190&doi=10.4324%2F9781351025584-20&partnerID=40&md5=bfd18c6b4b902b95bc3617c3bc8d82a9","Mitsubishi UFJ Financial Group (MUFG), Dubai, United Arab Emirates; Bank Muamalat Malaysia Berhad, Berhad, Malaysia","Yasini, Sirajulhaq, Mitsubishi UFJ Financial Group (MUFG), Dubai, United Arab Emirates; Yasini, Marifatulhaq, Bank Muamalat Malaysia Berhad, Berhad, Malaysia","This chapter provides an increasing role for financial technology in enhancing the services of Islamic financial institutions and bringing investors and clients closer to one another through innovative platforms, particularly through crowdfunding. There may be a need for fintech-specific Shari‘ah and Shari‘ah-governance standards by the Islamic finance industry’s standard-setting bodies such as Accounting and Auditing Organisation for Islamic Financial Institutions and Islamic Financial Services Board. Shariah scholars, as well as the industry’s standard-setting bodies and freelancers, are expected to work towards surmounting the challenges of new developments in fintech solutions in Islamic finance. Islamic financial institutions can benefit from fintech by developing products that can be easily accessed by everyone in any part of the globe which should also be cost effective, for example, mobicash in Pakistan, M-pesa in Kenya and “TransferWise” in the United Kingdom. Tawarruq or commodity murabahah brokers’ platforms are a good example of fintech exclusively benefiting Islamic financial institutions. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Shariah Standards, (2015); Investing in Islamic Crowdfunding A Terrible Journey Online, (2018); Sfc Regulatory Sandbox Online, (2017); Financial Technology Regulatory Sandbox Framework, (2016); Beehive Operates an Islamic Window and is Regulated by the Dubai Financial Services Authority Under the License Number F003177 Online, (2018); Islamic Finance Upgraded Smarter Sukuk Using Blockchain, (2018); Regulatory Sandbox Framework, (2017); Fintech, (2017); Fintech, (2017); Jeddah, (2017)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139633190"
"de Anca, C.","de Anca, Celia (55824772400)","55824772400","Fintech in Islamic finance: From collaborative finance to community-based finance","2018","","","","","47","65","7","10.4324/9781351025584-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139627291&doi=10.4324%2F9781351025584-4&partnerID=40&md5=8e105e707f72e9de50bed46116432a95","IE Business School, Madrid, Madrid, Spain","de Anca, Celia, IE Business School, Madrid, Madrid, Spain","This chapter analyses several fundamental aspects of fintech solutions in Islamic finance. It discusses the new collaborative economy and the sociological elements behind this new form of collective economic relationships. The chapter explores collaborative fintech and new forms of technology-driven financial intermediation solutions being launched in the market between capital holders and capital seekers. It explains the opportunities and challenges for Islamic finance. The Islamic financial industry is young, highly technological and with the excess liquidity required to finance innovation. The Islamic finance industry has reacted more quickly than its conventional counterparts, in two fundamental areas; developing innovation in its own capacity and partnering with new Shari‘ah-compliant fintech ventures. Fintech offers a way whereby new technologies can help channel Islamic principles to create a new generation of financial products that can satisfy the demands of future generations. Fintech is revolutionising the financial world through automated complex reasoning mechanisms and new technologies able to make more efficient decision-making procedures. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Al Rajhi Bank Home Page Online, (2017); Arabesque Home Page Online, (2017); Rise of Peer to Peer P2p Lending 27 September 2016, (2016); Rapid Growth of Alternative Finance International Banker, (2016); Community Seeking Safety in an Insecure World, (2001); Beehive Home Page, (2017); Bensar, Fatima Z., Islamic FinTech and the paradigm shift in the financial landscape, pp. 129-143, (2018); Bimb Investment Home Page Online, (2017); Bahrain Islamic Bank Online, (2017); Power of Identity the Information Age Economy Society and Culture, (1997)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139627291"
"Kasri, N.S.; Muhammad, M.","Kasri, Noor Suhaida (57203167134); Muhammad, Marjan (55765564600)","57203167134; 55765564600","The Investment Account Platform: A practical application of fintech in Malaysia","2018","","","","","249","265","1","10.4324/9781351025584-16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139621543&doi=10.4324%2F9781351025584-16&partnerID=40&md5=eed0a8a47ace8f74446ccb36c832a70c","INCEIF University, Kuala Lumpur, Malaysia; Center for Islamic Economics and Finance, INCEIF University, Kuala Lumpur, Malaysia","Kasri, Noor Suhaida, INCEIF University, Kuala Lumpur, Malaysia; Muhammad, Marjan, Center for Islamic Economics and Finance, INCEIF University, Kuala Lumpur, Malaysia","The launching of Malaysia’s investment account platform (IAP) in 2016 marked another important milestone in positioning Malaysia as a leader in the Islamic banking industry. The platform that leverages on the advance and innovative financial technology system, or fintech, offers a safe and regulated investment ecosystem with better outreach and enhanced visibility to the ventures while the investors enjoy a greater transparency and disclosure on the listed ventures. The introduction of an investment account under the Islamic Financial Services Act regime marked another stage in the evolution of the Malaysian Islamic banking industry. The platform facilitates direct investment by investors in viable projects just like other fintech platforms such as Peer-to-peer lending. IAP provides an innovative avenue for Islamic banks’ customers to earn higher investment returns with competitive tax incentives. The key difference between IAP and other technology-based fund-raising platforms lies in the intermediation roles played by the Islamic banks. © 2019 selection and editorial matter, Umar A. Oseni and S. Nazim Ali; individual chapters, the contributors.","","","","","","","","","Available from, (2017); Governors Keynote Address of the Launch of the Investment Account Platform Iap at Sasana Kijang Bank Negara Malaysia Kuala Lumpur on 17 February 2016 Online, (2016); Invest Accounts Under Ifsa, (2014); Investment Account Policy Document Online, (2014); Financial Technology Regulatory Sandbox Framework, (2016); Dbs Asian Insights Sector Briefing, (2017); Press Release Communication on Crowdfunding in the European Union Frequently Asked Questions Online, (2014); Crowdfunding Islamic Banks Forbes Middle East Online, (2017); Investment Account Platform, (2016); Investment Account I A New Frontier Online, (2015)","","","Taylor and Francis","","","","","","","9781138494800; 9781351025577","","","English","Fintech in Islamic Finance: Theory and Practice","Book chapter","Final","","Scopus","2-s2.0-85139621543"
