record_no,line_no,text
2021-0044,4,"furthermore, the citation structures of authors and journals were investigated, including citation and co-citation."
2021-0044,5,"additionally, this paper presents the burst detection analysis of cited authors, journals, and references."
2021-0044,6,"finally, combining the analysis results with the current financial environment, the challenges and future development opportunities are discussed further."
2021-0044,7,"accordingly, a comprehensive study of the fintech documents not only reviews the current research characteristics and trajectories but also helps scholars find the appropriate research entry point and conduct in-depth research."
2021-0045,0,"organizations, such as the world health organization, encouraged consumers to use contactless payment methods instead of payment methods such as cash, which can be carriers of the sars-2 virus."
2021-0045,1,this study aims to evaluate factors that influence hungarian generation x's behavioral intentions to use mobile payment services during the pandemic.
2021-0045,2,we conducted an electronic questionnaire-based survey among 1120 generation x individuals.
2021-0045,3,"using structural equation modeling to analyze the study's conceptual model, our results confirm that perceived covid-19 risk, perceived usefulness, and subjective norms significantly influence hungarian generation x's behavioral intentions to use mobile payment services."
2021-0045,4,"moreover, perceived usefulness mediates the relationship between perceived ease of use and behavioral intention to use mobile payment systems."
2021-0045,5,"overall, our results show that the model of perceived covid-19 risk, perceived usefulness, subjective norms, and perceived ease of use explains 62.9% of the variance in intention to use mobile payment systems."
2021-0045,6,our study contributes to the technology acceptance model and highlights its effectiveness in explaining the behavioral intention to adopt mobile payments during the covid-19 pandemic.
2021-0025,0,"fintech, the merging of finance and modern internet-based technology, has rapidly presented itself as a disruptor to traditional business financing, notably in the form of crowdfunding and peer-to-peer lending."
2021-0025,1,"in this article, we examine the determinants of the use of fintech finance by businesses, with a particular focus on the ownership, governance, and business practices that may modify the relationships with conventional motivations for external finance."
2021-0025,2,"using a comprehensive sample of chinese hi-tech small and medium-sized enterprises (smes), we find that state-owned enterprises (soes) and family firms and financially constrained firms are respectively much less and much more likely to seek fintech finance."
2021-0025,3,"in the chinese context, we argue that part of this may be because of the relative ease with which soe smes can access cheaper conventional finance through soe banks."
2021-0025,4,the quality of traditional relationship banking also affects the relative desirability of fintech financing.
2021-0025,5,"as for family firms, we find that innovation, as exemplified by r&d activity, effectively overrides any conventional reluctance to access external finance, suggesting the relative benefits of fintech finance for innovative high-growth firms."
2021-0046,0,"the manuscript text contains an error on page 13. the text should read as follows: with a potential 60 billion twd in spending annually, tourists from mainland china account for about 35% of annual tourists to taiwan."
2021-0046,1,"these banks are interested in both the mainland chinese tourists and in cross-border e-commerce transactions and cross-border tuition payments (there are about 8,000 mainland chinese students studying in taiwan)."
2021-0039,0,can peer-to-peer lending platforms mitigate fraudulent behaviors?
2021-0039,1,or have lending players been acting similar to free-riders?
2021-0039,2,this paper constructs a new proxy to investigate lending platform misconduct and compares the fico score and the lendingclub credit grade.
2021-0039,3,"to examine whether the lack of verification by the fintech platform affects lenders collection performance, i explore the recovery rate (rr) of non-performing loans through a mixed-continuous model."
2021-0039,4,the regression results show that the degree of prudence taken by the lending platform in the pre-screening activity negatively affects the detection of some misreporting borrowers.
2021-0039,5,"i also find that the fintech platforms missing verification information (e.g., annual income and employment length) affects the rr of non-performing loans, thereby hampering lenders collection performance."
2021-0047,0,"in recent years, biometric technologies have been widely embedded in mobile devices."
2021-0047,1,these technologies were originally employed to enhance the security of mobile devices.
2021-0047,2,"with the rise of financial technology (fintech), which uses mobile devices and applications as promotional platforms, biometrics has the important role of strengthening the identification of such applications for security."
2021-0047,3,"however, users still have privacy and trust concerns about biometrics."
2021-0047,4,previous studies have demonstrated that the technology acceptance model (tam) can rigorously explain and predict user acceptance of new technologies.
2021-0047,5,this study therefore modifies the tam as a basic research architecture.
2021-0047,6,"based on a literature review, we add two new variables, namely, perceived privacy and perceived trust, to extend the traditional tam to examine user acceptance of biometric identification in fintech applications."
2021-0047,7,"first, we apply the analytic hierarchy process (ahp) to evaluate the defined objects and relevant criteria of the research framework."
2021-0047,8,"second, we use the ahp results in the scenario analysis to explore biometric identification methods that correspond to objects and criteria."
2021-0047,9,the results indicate that face and voice recognition are the two most preferred identification methods in fintech applications.
2021-0047,10,"in addition, there are significant changes in the results of the perceived trust and perceived privacy dominant scenarios."
2021-0007,0,"this study examines the spillover effect between financial technology (fintech) stocks and other financial assets (gold, bitcoin, a global equity index, crude oil, and the us dollar) during the covid-19 crisis."
2021-0007,1,"employing daily data from june 2019 to august 2020, our empirical analysis shows that the outbreak of covid-19 exacerbated volatility transmission across asset classes, while subsequent decreases in new confirmed cases globally reduced the intensity of these spillovers."
2021-0007,2,"the evidence for the usd and gold supports their safe haven properties during catastrophic events, while innovative technology products as represented by a financial technology index (kftx) and bitcoin were highly susceptible to external shocks."
2021-0007,3,"these results show that when push comes to shove, the buck stops with the usd and gold and that the exorbitant privilege enjoyed by the usd prevailed during the covid-19 pandemic."
2021-0002,0,"financial technology (fintech) makes a significant contribution to the financial system by reducing costs, providing higher quality services and increasing customer satisfaction."
2021-0002,1,"hence, new studies play an essential role to improve fintech investments."
2021-0002,2,this study evaluates fintech-based investments of european banking services with an application of an original methodology that considers interval type-2 (it2) fuzzy decision-making trial and evaluation laboratory and it2 fuzzy topsis models.
2021-0002,3,empirical findings are controlled for consistency by applying the vikor method.
2021-0002,4,"moreover, we conduct a sensitivity analysis by considering six distinct cases."
2021-0002,5,this study contributes to the existing literature by identifying the most important fintech-based investment alternatives to improve the financial performance of european banks.
2021-0002,6,"our empirical findings illustrate that results are coherent, reliable, and identify competitive advantage as the most important factor among fintech-based determinants."
2021-0002,7,"moreover, payment and money transferring systems are the most important fintech-based investment alternatives."
2021-0002,8,"it is recommended that, among fintech-based investments, european banks should mainly focus on payment and money transferring alternatives to attract the attention of customers and satisfy their expectations."
2021-0002,9,this is also believed to have a positive impact on the ease of bank receivable collection.
2021-0002,10,another important point is that fintech-based investments in money transferring systems could help to decrease costs.
2021-0034,0,this study aims to evaluate the crowdfunding alternatives regarding new service development process pathways of clean energy investment projects.
2021-0034,1,"in this framework, a new model has been generated by considering the consensus-based group decision-making with incomplete preferences, pythagorean fuzzy decision-making trial and evaluation laboratory (dematel) and technique for order preference by similarity to ideal solution (topsis)."
2021-0034,2,"moreover, a comparative evaluation has been performed with vise kriterijumska optimizacija i. kompromisno resenje methodology and sensitivity analysis has been made by considering 4 different cases."
2021-0034,3,the main contribution is to identify appropriate crowdfunding-based funding alternatives for the improvement of the clean energy investments with a novel mcdm model.
2021-0034,4,"by considering the iteration technique and consensus-based analysis, the missing parts in the evaluations can be completed and opposite opinion problems can be reduced."
2021-0034,5,"furthermore, with the help of hybrid mcdm model by combining dematel and topsis, more objective results can be reached."
2021-0034,6,it is concluded that the analysis results are coherent and reliable.
2021-0034,7,the findings indicate that the full launch is the most significant criterion for equity and debt-based crowdfunding alternatives.
2021-0034,8,"on the other side, the analysis has the highest weight for reward and donation-based alternatives whereas design is the most essential item regarding the royalty-based alternative."
2021-0034,9,"additionally, it is also defined that equity-based crowdfunding alternative is the most significant for the service development process of clean energy investment projects."
2021-0034,10,"in this way, it will be possible to provide a continuous resource for clean energy investment projects."
2021-0034,11,"on the other hand, by providing financing with equity, there will be no fixed financing cost for clean energy investors."
2021-0034,12,"if these investors make a profit, they distribute dividends with the decision of their authorized bodies."
2021-0048,0,"the u.s. financial markets faced an unprecedented rapid decline and recovery on may 6, 2010, known as the may 6 flash crash."
2021-0048,1,roughly one trillion $ market value in less than thirty minutes vanished with the biggest one-day point decline in the history of the djia at the time.
2021-0048,2,"since the market events took place in electronic markets, and algorithmic trading and high-frequency trading, parts of fintech, played significant roles, we handle the may 6 flash crash from the fintech, suptech, and financial supervision perspectives."
2021-0048,3,"with the flashback method, we analyzed the reactions of market participants, media, and two financial supervisors, the sec, and the cftc, to the market crash."
2021-0048,4,"we find that the technological imbalance between financial markets or institutions and their supervisors drove the markets in uncertainty, hence in a fear and panic environment."
2021-0048,5,"since the imbalance has not diminished yet, the same risks still exist."
2021-0048,6,"as a remedy, we introduce a new concept and model with a well-functioning suptech system to cope with the may 6 type fintech crises."
2021-0049,0,fintech offers a new way to mobilize resources for all kinds of uses  including for funding sustainable development.
2021-0049,1,roughly 3%13% of funding required for the uns sustainable development goals (sdgs) or around $50 billion to $125 billion -- could come from a fintech dividend.
2021-0049,2,"such a dividend derives from the use of fintech platforms to increase savings and investment (overall), channel resources into publicly-funded as well as privately-funded sdg-related activities and policies, and encourage the use of internet platforms, which deliver novel goods and services that relate to the seventeen sdgs."
2021-0049,3,less than half of un members have fintech laws and policies  making fintech a ripe area for right-regulating.
2021-0049,4,"unfortunately, in areas like institutional reform  no amount of money can guarantee achieving the sdgs, without wider legal and administrative reforms."
2021-0049,5,and no clear data about the exact policies needed to help grow an economy (or pay for sdg spending) serve as any guide.
2021-0049,6,with total investment in fintech stuck at around $150 billion to $200 billion  the hoped for deluge of fintech dollars on sdg activities may remain a trickle for years to come.
2021-0050,0,the contemporary innovations in financial technology (fintech) serve society with an environmentally friendly atmosphere.
2021-0050,1,fintech covers an enormous range of activities from data security to financial service deliverables that enable the companies to automate their existing business structure and introduce innovative products and services.
2021-0050,2,"therefore, there is an increasing demand for scholars and professionals to identify the future trends and directions of the topic."
2021-0050,3,"this is why the present study conducted a bibliometric analysis in social, environmental, and computer sciences fields to analyse the implementation of environment-friendly computer applications to benefit societal growth and well-being."
2021-0050,4,we have used the bibliometrix 3.0 package of the r-program to analyse the core aspects of fintech systematically.
2021-0050,5,the study suggests that acm international conference proceedings is the core source of published fintech literature.
2021-0050,6,china leads in both multiple and single country production of fintech publications.
2021-0050,7,bina nusantara university is the most relevant affiliation.
2021-0050,8,arner and buckley provide impactful fintech literature.
2021-0050,9,"in the conceptual framework, we analyse relationships between different topics of fintech and address dynamic research streams and themes."
2021-0050,10,these research streams and themes highlight the future directions and core topics of fintech.
2021-0050,11,the study deploys a co-occurrence network to differentiate the entire fintech literature into three research streams.
2021-0050,12,"these research streams are related to cryptocurrencies, smart contracts, financial technology, financial industry stability, service, innovation, regulatory technology (regtech), and machine learning and deep learning innovations."
2021-0050,13,"the study deploys a thematic map to identify basic, emerging, dropping, isolated, and motor themes based on centrality and density."
2021-0050,14,"these various themes and streams are designed to lead the researchers, academicians, policymakers, and practitioners to narrow, distinctive, and significant topics."
2021-0051,0,fintech has been in the focus of discussion for quite some time.
2021-0051,1,"however, the market share of fintech companies is still relatively small compared to that of more traditional financial services."
2021-0051,2,"the purpose of this paper is to analyse the status quo, current developments, and challenges ahead for the latvian fintech sector."
2021-0051,3,"we combine three analyses: a political and legal, economic, social, and technological environment (pest) analysis."
2021-0051,4,a survey among fintech companies.
2021-0051,5,and an analysis of the size and financial performance of fintech companies during the last 10 years.
2021-0051,6,"we find that the current status of regulation is one of the main obstacles to fintech development, because it does not sufficiently consider fintech-specific aspects."
2021-0051,7,problems in attracting a skilled workforce and an environment that is not very supportive of new developments in finance are further challenges and might explain at least part of the growth and financial performance difficulties.
2021-0051,8,"a revision, modernization, and harmonization of regulation is essential to create a level playing field for all market participants: fintech companies, traditional financial service providers, and those originally traditional players that are integrating fintech solutions in their business model."
2021-0051,9,further efforts are also required to foster latvias attractiveness for a skilled workforce.
2021-0051,10,we hope that this study helps increase the visibility of latvian fintech and contributes to the development of the new latvian fintech strategy.
2021-0031,0,we study the personal credit market using unique individual-level data covering fintech and traditional lenders.
2021-0031,1,"we show that fintech lenders acquire market share by lending first to higher-risk borrowers and then to safer borrowers, and rely mainly on hard information to make credit decisions."
2021-0031,2,fintech borrowers are significantly more likely to default than neighbor individuals with the same characteristics borrowing from traditional financial institutions.
2021-0031,3,"furthermore, they tend to experience a short-lived reduction in the cost of credit, because their indebtedness increases more than non-fintech borrowers after loan origination."
2021-0031,4,"however, fintech lenders' pricing strategies are likely to take this into account."
2021-0016,0,prior research suggests that corporate boards and directors play important roles in firm strategy and performance.
2021-0016,1,"in this paper, we examine an important yet under-explored avenue and focus on their role in overcoming the multilevel psychic distance (pd) faced by internationalizing small and medium-sized enterprises (smes) originating from an emerging market."
2021-0016,2,"analysing indian fintech smes, using multiple case studies, our findings reveal that boards contribute important network-level resources and knowledge about foreign markets, which in turn assists internationalizing smes in mitigating pd."
2021-0016,3,"we demonstrate that the human and social capital of boards play important, yet distinctly different, roles in mitigating pd at pre- and post-internationalization phases."
2021-0016,4,"at the pre-internationalization phase, directors prior international and industry experience, as well as board interlocks and prior connections, are most valuable, whereas at the post-entry phase, transnational boards, and those with stronger trust-based personal relationships (i.e."
2021-0016,5,"greater depth of social capital, facilitate faster experiential learning."
2021-0016,6,"taken together, our findings contribute novel insights into the mechanisms through which boards affect the outcomes of firms operating, and originating from, extreme institutional environments."
2021-0016,7,"further, we draw implications for research and practice."
2021-0003,0,the increasing pervasiveness of technology-driven firms that offer financial services has led to growing pressure on traditional banks to modernize their core business activities and services.
2021-0003,1,many banks tackle the challenges of digitalization by cooperating with startup firms that offer technology-driven financial services and novel service packages (fintechs).
2021-0003,2,"in this article, we examine which banks typically collaborate with fintechs, how intensely they do so, and which form of alliance they prefer."
2021-0003,3,"using hand-collected data covering the largest banks from canada, france, germany, and the united kingdom, we provide detailed evidence on the different forms of alliances occurring in practice."
2021-0003,4,we show that banks are significantly more likely to form alliances with fintechs when they pursue a well-defined digital strategy and/or employ a chief digital officer.
2021-0003,5,"moreover, in line with incomplete contract theory, we find that banks more frequently invest in small fintechs but often build product-related collaborations with larger fintechs."
2021-0052,0,the integration of the financial industry and financial technology (fintech) plays a pivotal role in increasing financial services reach and inclusion for the large unbanked population in indonesia.
2021-0052,1,"fintech adoption optimization expands the financial access to formal financial institutions, especially to vulnerable groups such as the unbanked population who predominantly reside in rural areas far from formal financial institutions."
2021-0052,2,fintech is viewed as a game changer to bring finance to the unreached communities via information technology and digital financial landscape.
2021-0052,3,"in this causal research, data collection was done via online questionnaires to 485 fintech users between december 2020 and april 2021. data analysis and path modelling was performed using smartpls 3.0 software."
2021-0052,4,"result shows user innovativeness as a significant predictor, directly and indirectly affecting the adoption of fintech in indonesia, while user attitude found the most important factor towards fintech adoption."
2021-0052,5,"financial literacy is the least important variable to predict fintech adoption, contrary to popular belief."
2021-0052,6,this indicates that fintech usage requires less financial literacy and is potential to reach unbanked population and those with low financial literacy.
2021-0052,7,"to make fintech more inclusive, the government needs to accelerate improving information and communications technology (ict) infrastructure such as widening mobile broadband penetration and soft infrastructure by encouraging fintech startup, allowing regulatory sandbox for startups, and driving financial institutions to innovate through fintech to bring financial services to unbanked population."
2021-0053,0,"with transformative evolution involving crypto-assets, machine learning applications and data-driven finance models, complex regulatory and policy issues are emerging."
2021-0053,1,inadequate frameworks in fintech markets create regulatory friction and regulatory fragmentation.
2021-0053,2,these limitations continue to feature when piecemeal regulatory transition occurs.
2021-0053,3,the danger of eu member states being left behind in the fintech innovation race if the regulatory landscape is cumbersome or incomplete for new business models is real.
2021-0053,4,regulatory lag and regulatory friction also act as a disenabler for ease of cross-border fintech trade in the eu.
2021-0053,5,this article critically engages with the manner in which the regulatory sandbox has rapidly gained critical mass in member states as a valuable adaptive measure supporting a route to market for fintech entrepreneurs.
2021-0053,6,"against the backdrop of the european commissions digital finance strategy, the article further advances scholarship on fintech in the eu by probing the eus resulting regulatory dilemma, undertaking a systematic evaluation of the continuum of complex policy options available to the european union in response to the spreading regulatory sandbox phenomenon."
2021-0054,0,tech-leading organizations are embracing the forthcoming artificial intelligence revolution.
2021-0054,1,intelligent systems are replacing and cooperating with traditional software components.
2021-0054,2,"thus, the same development processes and standards in software engineering ought to be complied in artificial intelligence systems."
2021-0054,3,this study aims to understand the processes by which artificial intelligence-based systems are developed and how state-of-the-art lifecycle models fit the current needs of the industry.
2021-0054,4,"we conducted an exploratory case study at ing, a global bank with a strong european base."
2021-0054,5,we interviewed 17 people with different roles and from different departments within the organization.
2021-0054,6,"we have found that the following stages have been overlooked by previous lifecycle models: data collection, feasibility study, documentation, model monitoring, and model risk assessment."
2021-0054,7,our work shows that the real challenges of applying machine learning go much beyond sophisticated learning algorithms  more focus is needed on the entire lifecycle.
2021-0054,8,"in particular, regardless of the existing development tools for machine learning, we observe that they are still not meeting the particularities of this field."
2021-0055,0,this research attempt to analyze risk and benefit factors as well as their influence on sustainability intention of fintech.
2021-0055,1,we elucidate the planned behavior theory by including the perceived benefits and perceived risk variables to investigate its effect on intention to continue using fintech.
2021-0055,2,we also examined whether or not men and women are affected differently by the benefits and risk they perceive when using fintech.
2021-0055,3,"data were collected through online surveys, then being analyzed using gsca."
2021-0055,4,the results reveal perceived benefits are affected significantly by the convenience aspect and deliver a significant effect on fintech continuance intention.
2021-0055,5,the risk perceived by fintech users is affected the most by legal risk.
2021-0055,6,"this study proves that gender is able to moderate the perceived risk influence on the intention to continue using fintech, especially in the female user group."
2021-0056,0,this study predicts factors affecting the tendency to use financial technology (fintech) services post-covid-19 lockdown as a new normal behavior.
2021-0056,1,fintech services have boosted the number of users during the covid-19 lockdown.
2021-0056,2,"however, to maintain the loyal behavior of consumers after usage, firms need to predict key reasons to enhance their intention to use the service and maintain current consumers in the long term."
2021-0056,3,this study offers a model to assess the components of the perceived usefulness toward fintech.
2021-0056,4,"data were collected via mechanical turk (mturk), and structural equation modeling was used to predict the factors that influence the intention and loyalty to use fintech post-covid-19 lockdown."
2021-0056,5,"the findings reveal that the covid-19 lockdown, trust, data security and privacy, and especially staff services are factors that enhance the intention to use through perceived usefulness."
2021-0056,6,"in return, it builds consumers loyalty toward fintech services and is considered a new normal behavior."
2021-0056,7,this research sheds light on how fintech firms develop their capabilities and increase their competitive advantages.
2021-0056,8,both theoretical and practical implications are also discussed.
2021-0020,0,the expansion of fintech credit around the world is challenging the global banking system.
2021-0020,1,this study investigates the interrelationships between the development of fintech credit and the efficiency of banking systems in 80 countries from 2013 to 2017. the findings indicate a two-way relationship between them.
2021-0020,2,"more specifically, a negative relationship between bank efficiency and fintech credit implies that fintech credit is more developed in countries with less efficient banking systems."
2021-0020,3,"meanwhile, a positive impact of fintech credit on the efficiency of banking systems suggests that fintech credit may serve as a wake-up call to the banking system."
2021-0020,4,"therefore, fintech credit should be encouraged by the authorities around the world."
2021-0029,0,"financial technology (fintech) has been playing an increasingly critical role in driving modern economies, society, technology, and many other areas."
2021-0029,1,"smart fintech is the new-generation fintech, largely inspired and empowered by data science and artificial intelligence (dsai) techniques."
2021-0029,2,"smart fintech synthesizes broad dsai and transforms finance and economies to drive intelligent, automated, whole-of-business and personalized economic and financial businesses, services and systems."
2021-0029,3,"the research on data science and ai in fintech involves many latest progress made in smart fintech for bankingtech, tradetech, lendtech, insurtech, wealthtech, paytech, risktech, cryptocurrencies, and blockchain, and the dsai techniques including complex system methods, quantitative methods, intelligent interactions, recognition and responses, data analytics, deep learning, federated learning, privacy-preserving processing, augmentation, optimization, and system intelligence enhancement."
2021-0029,4,"here, we present a highly dense research overview of smart financial businesses and their challenges, the smart fintech ecosystem, the dsai techniques to enable smart fintech, and some research directions of smart fintech futures to the dsai communities."
2021-0057,0,"financial technology (fintech) services have come to differentiate themselves from traditional financial services by offering unique, niche, and customized services."
2021-0057,1,mobile payment service (mps) has emerged as the most crucial fintech service.
2021-0057,2,"while many studies have addressed the essential role of security when service providers and users choose to engage in financial transactions, the relationship between users distinct perceptions of security and mps success determinants are yet to be examined."
2021-0057,3,"thus, this study primarily aims to uncover the distinctive roles of platform and technology security by investigating how users react differently to their varying understandings of the mps usage environment."
2021-0057,4,"this study proposes a research model comprising two security dimensions (platform and technology) and three mps success determinants (convenience, interoperability, and trust)."
2021-0057,5,we evaluated the proposed model empirically by using an online survey of 356 users.
2021-0057,6,the survey accounts users experiences of the selected mps.
2021-0057,7,the results show that a security driven mps can essentially enhance or deteriorate users positive perceptions of mps success determinants while they use it for financial transactions.
2021-0057,8,"to further understand how this recent trend of user perception of security affects the overall mps usage experience, this study provides theoretical insights into the roles of platform and technology securities."
2021-0057,9,managerial insights on the design strategies of mps providers are also provided based on the potential implications of users subjective and objective perceptions of mps security environment.
2021-0037,0,fintech platforms are one of the most important elements in the rapidly digitized worlds economy.
2021-0037,1,"this study investigates the factors that affected individuals acceptance of fintech services, especially on internet wealth management platforms."
2021-0037,2,"the current research extends the unified theory of acceptance and use of technology (utaut) published by mis quarterly with integrated financial consumption attributes (i.e., perceived value and perceived risk) alongside the core construct of utaut."
2021-0037,3,data were collected from an established survey company.
2021-0037,4,"the empirical results indicate that perceived value, perceived risk, and social influence are strongly related to individuals fintech adoption intention, whereas performance expectancy, effort expectancy, and perceived risk affect individuals perceived value, which in turn influences adoption intention."
2021-0037,5,the proposed fintech adoption model could contribute to information technology (it) adoption research by extending the utaut in which individuals performance expectancy and effort expectancy affect their adoption intention indirectly through perceived value.
2021-0037,6,"finally, the implications of the proposed new model for future research and fintech practice are discussed."
2021-0019,0,the purpose of this paper is to analyse customer experience (cx) in the fintech sector.
2021-0019,1,fintech is a dynamic and innovative field that fully benefits from advances in information and communication technology.
2021-0019,2,"the concept of customer experience is multidimensional, analysed from various perspectives, and with distinct valences in different industries."
2021-0019,3,"based on the stimulus-organism-response (s-o-r) approach, we proposed a model in which customer experience in fintech is the result of customers evaluation of the stimuli proposed by fintech companies."
2021-0019,4,"using partial least squares equation modelling (pls-sem), we tested a series of hypotheses and validated the proposed model."
2021-0019,5,"the results showed that perceived value, customer support, assurance, speed and perceived firm innovativeness are positively related to customer experience in fintech."
2021-0019,6,"in turn, customer experience is positively associated with loyalty intentions of the customer."
2021-0019,7,"our paper contributes in identifying the dimensions, the determinants and the outcomes of customer experience in fintech, while from a managerial perspective, we demonstrate how fintech companies must integrate customer experience in their business models."
2021-0018,0,"in this report, i review interdisciplinary research on the actual and potential consequences of fintech, with emphasis on ideas from and for geographers, and three areas: financial sector and centres, financial regulation and stability, and financial inclusion and governance."
2021-0018,1,"i show that the consequences of fintech are full of controversies, which are part of broader, long-standing debates on the role of finance in economy and society, and need to be approached from geographical perspectives."
2021-0018,2,"the intense fusion of fin and tech, arguably accelerated by the covid-19 pandemic, complicates and elevates these controversies to a new level."
2021-0004,0,"in this paper, we identify the ways in which the existing literature has examined financial technology (fintech)."
2021-0004,1,"using the frame of the fintech cube, we examine how fintech unfolds through the intersections of key actors, technologies and institutions."
2021-0004,2,"we demonstrate the relevance of fintech for two areas of geographical enquiry: i) the reshaping of global production and financial networks, and ii) financial inclusion and poverty reduction in poorer countries."
2021-0004,3,"in doing so, we accord particular attention to the significance of fintech for theoretical and empirical research in economic geography."
2021-0006,0,"this paper is one of the first to offer a comprehensive analysis of the impact of green finance related policies in china, utilizing text analysis and panel data from 290 cities between 2011 and 2018. employing the semi-parametric difference-in-differences (sdid) we show that overall china's green finance related policies have led to a significant reduction in industrial gas emissions in the review period."
2021-0006,1,"additionally, we found that fintech development contributes to the depletion of sulphur dioxide emissions and has a positive impact on environmental protection investment initiatives."
2021-0006,2,china is poised to be a global leader in green finance policy implementation and regulators need to accelerate the formulation of green finance products and enhance the capacity of financial institutions to offer green credit.
2021-0006,3,"while minimizing the systemic risk fintech poses, policy makers should encourage fintechs to actively participate in environmental protection initiatives that promote green consumption."
2021-0028,0,current concerns about environmental issues have led to many new trends in technology and financial management.
2021-0028,1,"within this context of digital transformation and sustainable finance, fintech has emerged as an alternative to traditional financial institutions."
2021-0028,2,"this paper, through a literature review and case study approach, analyzes the relationship between fintech and sustain-ability, and the different areas of collaboration between fintech and sustainable finance, from both a theoretical and descriptive perspective, while giving specific examples of current technological platforms."
2021-0028,3,"additionally, in this paper, two fintech initiatives (clarity ai and pensumo) are described, as well as several proposals to improve the detection of greenwashing and other deceptive behavior by firms."
2021-0028,4,"the results lead to the conclusion that sustainable finance and fintech have many aspects in common, and that fintech can make financial businesses more sustainable overall by promoting green finance."
2021-0028,5,"furthermore, this paper highlights the importance of european and global regulation, mainly from the perspective of consumer protection."
2021-0058,0,fintech is the innovative use of technology in the design and delivery of financial products and services.
2021-0058,1,this study aims to statistically investigate the fintech and other determinants that affect the profitability of six state-owned commercial banks (sobs) in china using the data from the 2014-2019 period.
2021-0058,2,"theoretically, fintech serves as a disruption for its banking services through adverse impacts on asset business, liquidity business and intermediary business."
2021-0058,3,"empirically, the result shows that the development of fintech has a negative impact on the profitability of sobs and the regression results from the ols estimation, the fgls estimation, the prais-winsten estimation and the fe estimation are compared to ensure the validity of the statistical inference."
2021-0059,0,information technology is a driving innovation in the financial industry now.
2021-0059,1,fintech is a disruptive innovation capable of changing traditional financial markets.
2021-0059,2,"although the fintech has been widely discussed, there is a lack of consensus on the definition of the term in the scientific literature."
2021-0059,3,"this article investigates the concept of fintech, discusses the emergence and development of fintech sector, and points out new routes and trends in the field of study."
2021-0059,4,"this research focuses on the next generation technologies impact on fintech, key drivers and challenges in the global fintech industry."
2021-0059,5,the research represents the current most sensitive aspects also linked to the more global theme of digital transformation.
2021-0059,6,"finally, subject related to the fintech infrastructure in russia is performed."
2021-0059,7,"from practical aspect, this paper is also a direction for companies to help them find out promising technology in fintech."
2021-0059,8,the paper can inspire future research on fintech and its application in the business world.
2021-0017,0,the purpose of the current study is to investigate the role of the islamic financial system in recovery post-covid-19 and the way fintech can be utilized to combat the economic reverberations created by covid-19.
2021-0017,1,the global financial crisis of 2008 has established the credentials of the islamic financial system as a sustainable financial system which can save the long run interests of the average citizens around the world while adding value to the real economy.
2021-0017,2,the basic ethical tenets available in the islamic financial system make it more suited and readymade to fight the economic aftershocks of a pandemic like covid-19.
2021-0017,3,the basic principles of ethical islamic finance have solid connections to financial stability and corporate social responsibility within the wide-reaching business context.
2021-0017,4,with the emergence of financial technology (fintech) it has provided a missing impetus to the islamic financial system to compete on equal ground with its conventional counterpart and prove its mettle.
